subject,roi,M,T,N,SCHEDULE_COVERAGE,cov_min_fold,cov_max_fold,cov_sd_fold,complete
subj05,ventral,8,1,8,0.8491666666666667,0.785,0.915,0.04295507989619959,1
subj05,ventral,10,8,80,1.0,1.0,1.0,0.0,1
subj06,ventral,2,1,2,0.01583333333333333,0.0,0.04,0.014264368973853074,1
subj06,ventral,2,2,4,0.13238095238095238,0.04428571428571428,0.2057142857142857,0.06707527838571781,1
subj06,ventral,4,1,4,0.15,0.02125,0.24375,0.07652273627273574,1
subj06,ventral,6,1,6,0.3914583333333333,0.14375,0.55375,0.1447113086362715,1
subj06,ventral,2,4,8,0.48085714285714287,0.17942857142857144,0.7302857142857143,0.18538718446339625,1
subj06,ventral,4,2,8,0.5526785714285715,0.2392857142857143,0.7717857142857143,0.1797008036335136,1
subj06,ventral,8,1,8,0.5175,0.255,0.725,0.15662455107677084,1
subj06,ventral,10,8,80,1.0,1.0,1.0,0.0,1
subj07,ventral,2,1,2,0.24583333333333335,0.125,0.33,0.08599499339431854,1
subj07,ventral,2,2,4,0.6221428571428571,0.43857142857142856,0.7271428571428571,0.0941981917009445,1
subj07,ventral,4,1,4,0.6760416666666668,0.54875,0.76375,0.06426028073822553,1
subj07,ventral,6,1,6,0.9097916666666667,0.85,0.9775,0.04215804012548761,1
subj07,ventral,2,4,8,0.9187619047619048,0.812,0.9862857142857143,0.06781922081547488,1
subj07,ventral,4,2,8,0.9438690476190476,0.8603571428571428,0.9871428571428571,0.04614907478134966,1
subj07,ventral,8,1,8,0.9633333333333333,0.915,1.0,0.03287180487219335,1
subj07,ventral,10,8,80,1.0,1.0,1.0,0.0,1
subj08,ventral,2,1,2,0.029166666666666664,0.0,0.09,0.03962497809322914,1
subj08,ventral,2,2,4,0.05785714285714285,0.008571428571428572,0.18,0.0654536757827197,1
subj08,ventral,4,1,4,0.07437499999999998,0.0,0.26625,0.10640124039847156,1
subj08,ventral,6,1,6,0.12833333333333333,0.0,0.46,0.17328725349033097,1
subj08,ventral,2,4,8,0.13038095238095238,0.05714285714285714,0.24514285714285713,0.06687538755265243,1
subj08,ventral,4,2,8,0.1417857142857143,0.036071428571428574,0.36964285714285716,0.1262926360955887,1
subj08,ventral,8,1,8,0.16333333333333333,0.0,0.565,0.20167355360141354,1
subj08,ventral,10,8,80,0.8333333333333334,0.0,1.0,0.37267799624996495,1
subj01,lateral,2,1,2,0.05416666666666666,0.02,0.105,0.03346847604670534,1
subj01,lateral,2,2,4,0.3438095238095238,0.2257142857142857,0.42857142857142855,0.0698475826872787,1
subj01,lateral,4,1,4,0.3577083333333333,0.24125,0.47,0.08276918416429041,1
subj01,lateral,6,1,6,0.7141666666666667,0.5575,0.8575,0.1030237297368373,1
subj01,lateral,2,4,8,0.8505714285714286,0.732,0.9337142857142857,0.0669838035048234,1
subj01,lateral,4,2,8,0.8779761904761904,0.7446428571428572,0.955,0.07077098095993686,1
subj01,lateral,8,1,8,0.8224999999999999,0.69,0.965,0.1043531663790483,1
subj01,lateral,10,8,80,1.0,1.0,1.0,0.0,1
subj02,lateral,2,1,2,0.05166666666666667,0.02,0.075,0.020548046676563257,1
subj02,lateral,2,2,4,0.16047619047619047,0.08142857142857143,0.25,0.05269387052523002,1
subj02,lateral,4,1,4,0.20666666666666667,0.10125,0.295,0.06701860230977333,1
subj02,lateral,6,1,6,0.4258333333333333,0.24375,0.5625,0.11548508802246095,1
subj02,lateral,2,4,8,0.46228571428571424,0.36457142857142855,0.6508571428571429,0.09527504045306587,1
subj02,lateral,4,2,8,0.5805357142857143,0.42928571428571427,0.7607142857142857,0.11139551364028837,1
subj02,lateral,8,1,8,0.5925,0.395,0.745,0.1315848902166709,1
subj02,lateral,10,8,80,1.0,1.0,1.0,0.0,1
subj03,lateral,2,1,2,0.051666666666666666,0.0,0.15,0.051532082779134354,1
subj03,lateral,2,2,4,0.23857142857142857,0.11142857142857143,0.40285714285714286,0.10765907388825241,1
subj03,lateral,4,1,4,0.310625,0.11,0.5875,0.1782565303852849,1
subj03,lateral,6,1,6,0.5525000000000001,0.345,0.78,0.16137430609197573,1
subj03,lateral,2,4,8,0.6346666666666666,0.46114285714285713,0.7891428571428571,0.11495691788892716,1
subj03,lateral,4,2,8,0.7220238095238095,0.5596428571428571,0.8778571428571429,0.11956654756683475,1
subj03,lateral,8,1,8,0.6316666666666667,0.435,0.81,0.13545191848852578,1
subj03,lateral,10,8,80,1.0,1.0,1.0,0.0,1
subj04,lateral,2,1,2,0.06333333333333334,0.01,0.155,0.053748384988657,1
subj04,lateral,2,2,4,0.19833333333333333,0.055714285714285716,0.32142857142857145,0.10789392834280635,1
subj04,lateral,4,1,4,0.255,0.08625,0.415,0.12071186423325034,1
subj04,lateral,6,1,6,0.41604166666666664,0.21125,0.55875,0.13444604065282928,1
subj04,lateral,2,4,8,0.5012380952380954,0.12971428571428573,0.6645714285714286,0.18012313752320055,1
subj04,lateral,4,2,8,0.5213690476190477,0.2857142857142857,0.6753571428571429,0.14436369543260147,1
subj04,lateral,8,1,8,0.48333333333333334,0.275,0.62,0.13882442948639198,1
subj04,lateral,10,8,80,1.0,1.0,1.0,0.0,1
subj05,lateral,2,1,2,0.025833333333333333,0.0,0.08,0.030743111242827862,1
subj05,lateral,2,2,4,0.12,0.03571428571428571,0.25142857142857145,0.07686015218041974,1
subj05,lateral,4,1,4,0.135,0.04125,0.285,0.07769464803532694,1
subj05,lateral,6,1,6,0.2864583333333333,0.16125,0.4625,0.10948605473098186,1
subj05,lateral,2,4,8,0.4196190476190476,0.23885714285714285,0.6971428571428572,0.1524553389864964,1
subj05,lateral,4,2,8,0.457797619047619,0.2839285714285714,0.7160714285714286,0.14903707601917274,1
subj05,lateral,8,1,8,0.3558333333333333,0.19,0.54,0.1351362481185398,1
subj05,lateral,10,8,80,1.0,1.0,1.0,0.0,1
subj06,lateral,2,1,2,0.0075,0.0,0.025,0.008036375634160797,1
subj06,lateral,2,2,4,0.13333333333333333,0.07285714285714286,0.28,0.07053086682157803,1
subj06,lateral,4,1,4,0.13625,0.08125,0.22,0.04256123040201415,1
subj06,lateral,6,1,6,0.36916666666666664,0.25625,0.45875,0.0690888116042597,1
subj06,lateral,2,4,8,0.5441904761904762,0.30114285714285716,0.844,0.19340266174269938,1
subj06,lateral,4,2,8,0.5782142857142857,0.4010714285714286,0.7725,0.1299278646018628,1
subj06,lateral,8,1,8,0.5299999999999999,0.42,0.605,0.06291528696058958,1
subj06,lateral,10,8,80,1.0,1.0,1.0,0.0,1
subj07,lateral,2,1,2,0.13416666666666668,0.05,0.24,0.06566434006030637,1
subj07,lateral,2,2,4,0.40904761904761905,0.2542857142857143,0.5342857142857143,0.10517451214308127,1
subj07,lateral,4,1,4,0.4762499999999999,0.32625,0.64125,0.11081375140297346,1
subj07,lateral,6,1,6,0.75625,0.6,0.87625,0.09966088333276335,1
subj07,lateral,2,4,8,0.8762857142857142,0.7565714285714286,0.9291428571428572,0.060649320985930434,1
subj07,lateral,4,2,8,0.8603571428571429,0.7407142857142858,0.93,0.07221795949394712,1
subj07,lateral,8,1,8,0.8658333333333333,0.7,0.96,0.09387121792943541,1
subj07,lateral,10,8,80,1.0,1.0,1.0,0.0,1
subj08,lateral,2,1,2,0.05416666666666667,0.005,0.08,0.024565671621639463,1
subj08,lateral,2,2,4,0.10714285714285715,0.06571428571428571,0.13142857142857142,0.020219879757678232,1
subj08,lateral,4,1,4,0.11958333333333333,0.06125,0.175,0.040296212256516396,1
subj08,lateral,6,1,6,0.23208333333333334,0.11,0.32625,0.06860084831027156,1
subj08,lateral,2,4,8,0.24990476190476194,0.20285714285714285,0.292,0.033379559783464324,1
subj08,lateral,4,2,8,0.25535714285714284,0.17785714285714285,0.2860714285714286,0.036028970769283394,1
subj08,lateral,8,1,8,0.3166666666666666,0.14,0.425,0.08881941729649484,1
subj08,lateral,10,8,80,0.8333333333333334,0.0,1.0,0.37267799624996495,1
