subject,roi,M,T,Q10,Q25,median,Q75,Q90
subj01,lateral,6,1,-0.08421681479907216,-0.013902814415295603,0.060478993178393836,0.1266539683256549,0.18063703027471598
subj01,lateral,2,4,-0.034220139379579365,0.04506506947994371,0.11719551645271492,0.18045574778628773,0.23403015156919799
subj01,lateral,4,2,-0.013589164478957177,0.056277284236296216,0.12623116656118,0.18816883274303003,0.23903092200726814
subj01,lateral,8,1,-0.03247903992284594,0.04160092110702526,0.11663772091640018,0.17995502747576347,0.2243469514261477
subj01,lateral,10,8,0.42738894510554715,0.4410497100465969,0.4862044514009385,0.5048160114737118,0.5117707892005655
subj02,lateral,2,1,-0.48120267888880097,-0.39575104010810086,-0.2959779663961952,-0.18964210577286925,-0.06588403490988894
subj02,lateral,2,2,-0.3473773923568583,-0.2588733224275176,-0.15918268431207414,-0.050528092504070685,0.05175019110322716
subj02,lateral,4,1,-0.30353327126768914,-0.22290699300368205,-0.1266533865772898,-0.02633041690384709,0.08100811096236454
subj02,lateral,6,1,-0.18632206986675573,-0.10174711504150862,-0.02159036738311859,0.06547915937256579,0.17156013636502507
subj02,lateral,2,4,-0.1983127760652419,-0.11380012048532433,-0.013758790111964792,0.08749641699246546,0.17825714523245392
subj02,lateral,4,2,-0.1445412625325619,-0.06110680844611399,0.026583634156867597,0.12153149859268711,0.212211446232302
subj02,lateral,8,1,-0.131553748968502,-0.05455241653959636,0.022752199323127498,0.10052912387893545,0.18839013037101301
subj02,lateral,10,8,0.3190574981287347,0.341662741170515,0.4076045218004993,0.4534549890998476,0.46803540269178123
subj03,lateral,2,1,-0.5085304885206721,-0.3876306812512747,-0.2850096045024189,-0.15931802556889876,-0.055650988654052325
subj03,lateral,2,2,-0.36170374120011023,-0.24670883251907064,-0.12253148212150161,-0.005403329321403805,0.08625240342007127
subj03,lateral,4,1,-0.2802624760292095,-0.19399030384846802,-0.08528736859393435,0.031401641801092506,0.11340706129300185
subj03,lateral,6,1,-0.17119131090759343,-0.09020856249424417,0.025654783616417487,0.1299017651572291,0.21062804672180774
subj03,lateral,2,4,-0.15348221578615387,-0.0525450818983009,0.05116113696772895,0.14711881839221969,0.22005243656476553
subj03,lateral,4,2,-0.11283464634240314,-0.014159708102386079,0.0924672901026164,0.1787003806201352,0.25035076096621456
subj03,lateral,8,1,-0.12366929948505782,-0.049427781279873476,0.0727305911458867,0.18293840400597638,0.25251343612664334
subj03,lateral,10,8,0.42566983144352566,0.4552853206081365,0.4951037761873455,0.5076277999189377,0.5200667402269082
subj04,lateral,2,1,-0.5955300487636869,-0.4290236629715204,-0.2763080455434671,-0.15043746303965594,-0.047174093689700124
subj04,lateral,2,2,-0.419808960114474,-0.2820675239653044,-0.14436585814070124,-0.026928075713099436,0.0629067434532349
subj04,lateral,4,1,-0.43307624336635536,-0.2966745482783698,-0.13149238704563115,0.004335505609368934,0.10791386350796289
subj04,lateral,6,1,-0.3305215398280017,-0.20440088080606056,-0.047994725005951366,0.0977692965952337,0.19004363060667853
subj04,lateral,2,4,-0.24565412662593528,-0.12075674480952255,0.0005686812449163803,0.10304878551719016,0.1839679418799987
subj04,lateral,4,2,-0.24118113038178804,-0.11174929949433997,0.009247958240718446,0.1167662382682591,0.20753414085209768
subj04,lateral,8,1,-0.2816180337089891,-0.157308011044687,-0.008091558302026264,0.14041692110498544,0.22221667535790487
