roi,identity_subset_idx,median_TOTAL,median_coverage
lateral,0,0.5710817159208086,0.625
lateral,1,0.5962186494235129,0.6726190476190477
lateral,2,0.5666326510451394,0.6815476190476191
lateral,3,0.5670504231328095,0.6845238095238095
lateral,4,0.5843763973664744,0.6845238095238095
lateral,5,0.554069616632749,0.625
lateral,6,0.5577230782332951,0.6369047619047619
lateral,7,0.578040672586352,0.6904761904761905
lateral,8,0.5775004344417534,0.6339285714285714
lateral,9,0.5475429383668168,0.6160714285714286
lateral,10,0.5657387730638924,0.7113095238095237
lateral,11,0.5850504135587781,0.6726190476190477
lateral,12,0.5577327789817645,0.675595238095238
lateral,13,0.5592809034633563,0.6636904761904762
lateral,14,0.5736697603596164,0.6517857142857142
lateral,15,0.5499131172203777,0.6488095238095238
lateral,16,0.5461707568835401,0.6339285714285714
lateral,17,0.5599765000245576,0.6666666666666666
lateral,18,0.5601731148057426,0.6607142857142857
lateral,19,0.5374115058834725,0.6160714285714286
lateral,20,0.5532794808818013,0.6309523809523809
lateral,21,0.5711345145150488,0.6309523809523809
lateral,22,0.5539362684165274,0.6666666666666666
lateral,23,0.557165499019245,0.6488095238095238
lateral,24,0.5552609244387489,0.6369047619047619
lateral,25,0.5440278426023886,0.6190476190476191
lateral,26,0.5421530680573922,0.625
lateral,27,0.5483833736713204,0.6130952380952381
lateral,28,0.5535397082757935,0.6279761904761905
lateral,29,0.5336778598106465,0.6130952380952381
lateral,30,0.561892934528322,0.6875000000000001
lateral,31,0.5763570147547282,0.6428571428571428
lateral,32,0.5538518025199425,0.6666666666666667
lateral,33,0.5531616939025422,0.6428571428571428
lateral,34,0.5577776133411688,0.6369047619047619
lateral,35,0.5518367965465785,0.6279761904761905
lateral,36,0.5467869310961062,0.6101190476190476
lateral,37,0.5605787561989427,0.6428571428571428
lateral,38,0.5642998704901057,0.6428571428571429
lateral,39,0.5338531061927412,0.6041666666666667
lateral,40,0.5402313413922579,0.5952380952380951
lateral,41,0.5736798249699697,0.6726190476190477
lateral,42,0.5299795127500173,0.5773809523809523
lateral,43,0.5377418967375758,0.6011904761904762
lateral,44,0.5618438993779878,0.6130952380952381
lateral,45,0.5217959460440071,0.5357142857142857
lateral,46,0.5252353552943407,0.5267857142857142
lateral,47,0.5478904734703026,0.5773809523809523
lateral,48,0.5499619518802268,0.5952380952380952
lateral,49,0.5215149245969681,0.5505952380952381
lateral,50,0.5360919539358802,0.5744047619047619
lateral,51,0.5541716165686688,0.6369047619047619
lateral,52,0.5256279338711851,0.5714285714285714
lateral,53,0.5282373481665974,0.5982142857142858
lateral,54,0.5362548952023238,0.5803571428571428
lateral,55,0.5252991778414431,0.5208333333333334
lateral,56,0.5252137694478389,0.5238095238095238
lateral,57,0.5361341559542938,0.5535714285714286
lateral,58,0.5410831558953471,0.5803571428571428
lateral,59,0.5175178850595652,0.5476190476190477
lateral,60,0.5435269349049369,0.6160714285714286
lateral,61,0.5605197644154964,0.6577380952380952
lateral,62,0.5427041254082645,0.6160714285714286
lateral,63,0.5406522426182269,0.6220238095238095
lateral,64,0.542663401019927,0.5892857142857142
lateral,65,0.5450564501224356,0.5773809523809523
lateral,66,0.5393480489294158,0.5952380952380953
lateral,67,0.5535842432656306,0.5892857142857143
lateral,68,0.5526395873427812,0.5922619047619048
lateral,69,0.5317638826821132,0.5833333333333333
lateral,70,0.521289122042238,0.5595238095238095
lateral,71,0.5401260652089469,0.5714285714285714
lateral,72,0.5138761565456688,0.5357142857142857
lateral,73,0.5175960079838621,0.5446428571428572
lateral,74,0.5252898748063426,0.5446428571428571
lateral,75,0.5093491340896797,0.5089285714285714
lateral,76,0.5064157086956808,0.5
lateral,77,0.5240463835959523,0.5148809523809523
lateral,78,0.5278705699808103,0.5476190476190476
lateral,79,0.5054138548443747,0.5148809523809523
lateral,80,0.526243594258163,0.5476190476190477
lateral,81,0.5361238584113672,0.5535714285714286
lateral,82,0.5279013169602791,0.5595238095238095
lateral,83,0.5268061273766058,0.5714285714285714
lateral,84,0.5348765318206882,0.5803571428571428
lateral,85,0.5286660614494205,0.5357142857142857
lateral,86,0.5294376302970459,0.5357142857142857
lateral,87,0.543415580443969,0.5714285714285714
lateral,88,0.5398117075742143,0.5505952380952381
lateral,89,0.5220732256413966,0.5267857142857143
lateral,90,0.5206433084821085,0.5178571428571429
lateral,91,0.5117655015275195,0.5416666666666666
lateral,92,0.5282368923527965,0.5267857142857143
lateral,93,0.5201444463148673,0.5267857142857142
lateral,94,0.5078170498867278,0.5595238095238095
lateral,95,0.5334790164004002,0.5625
lateral,96,0.5273036496545719,0.5446428571428572
lateral,97,0.5299819575910483,0.5773809523809523
lateral,98,0.5135007482446916,0.556547619047619
