subject,roi,M,T,F_ID,F_REPEAT,F_INTERACTION
subj06,ventral,6,1,0.04762732378094725,0.6859642171863993,0.26640845903265326
subj06,ventral,2,4,0.4719359487373819,0.13214859805298304,0.395915453209635
subj06,ventral,4,2,0.16922574883495792,0.40269522860622287,0.42807902255881913
subj06,ventral,8,1,0.02155254580551795,0.8487087269577921,0.12973872723669
subj06,ventral,10,8,nan,nan,nan
subj07,ventral,2,1,0.10521561979833212,0.16059615319154968,0.7341882270101182
subj07,ventral,2,2,0.1528271778138956,0.17972110921355935,0.6674517129725449
subj07,ventral,4,1,0.07940160403465636,0.35876886035331185,0.561829535612032
subj07,ventral,6,1,0.04585304544119181,0.5699305257286954,0.38421642883011325
subj07,ventral,2,4,0.2656225143561363,0.174807285351169,0.5595702002926944
subj07,ventral,4,2,0.10426908377546945,0.3779800190044555,0.5177508972200754
subj07,ventral,8,1,0.022622580787750785,0.7688351364353179,0.20854228277693146
subj07,ventral,10,8,nan,nan,nan
subj08,ventral,2,1,0.09683209724776752,0.21540680586869357,0.6877610968835389
subj08,ventral,2,2,0.14811516513455164,0.2339302876662216,0.6179545471992267
subj08,ventral,4,1,0.08059457564083708,0.34239903101717295,0.5770063933419897
subj08,ventral,6,1,0.05352555067551285,0.5276101528001879,0.4188642965242992
subj08,ventral,2,4,0.33090610161991046,0.19573944942549146,0.473354448954598
subj08,ventral,4,2,0.10820229633831141,0.3624109867135868,0.5293867169481018
subj08,ventral,8,1,0.027400075665150778,0.723965447902299,0.2486344764325503
subj08,ventral,10,8,nan,nan,nan
subj01,lateral,2,1,0.1045472768250691,0.1869954113435949,0.708457311831336
subj01,lateral,2,2,0.1752497381289253,0.19251611891438705,0.6322341429566875
subj01,lateral,4,1,0.0858019475368758,0.33061719969768216,0.5835808527654418
subj01,lateral,6,1,0.05950593124819045,0.5500437374203929,0.39045033133141693
subj01,lateral,2,4,0.35147554483844207,0.1643083769444933,0.48421607821706486
subj01,lateral,4,2,0.12290880232356126,0.3904342633665805,0.4866569343098583
subj01,lateral,8,1,0.031364677346014606,0.7692717061800675,0.19936361647391806
subj01,lateral,10,8,nan,nan,nan
subj02,lateral,2,1,0.19344258873779133,0.27360900345470124,0.5329484078075073
subj02,lateral,2,2,0.33746712075442103,0.20112715090875943,0.4614057283368196
subj02,lateral,4,1,0.12060749806366293,0.4595122692578993,0.41988023267843766
subj02,lateral,6,1,0.08169701476243114,0.6139740100471903,0.30432897519037877
subj02,lateral,2,4,0.5577348309296241,0.1153320718926039,0.326933097177772
subj02,lateral,4,2,0.21458790184871535,0.39874402238202683,0.3866680757692582
subj02,lateral,8,1,0.04870830139434861,0.7558600599429849,0.19543163866266663
subj02,lateral,10,8,nan,nan,nan
subj03,lateral,2,1,0.10009318324965667,0.2682664178209628,0.6316403989293805
subj03,lateral,2,2,0.18350409276424615,0.2230709952893549,0.593424911946399
subj03,lateral,4,1,0.06056395049758966,0.5118060794956519,0.42762997000675845
subj03,lateral,6,1,0.039477995526166945,0.7128479589978501,0.24767404547598307
subj03,lateral,2,4,0.3634668226979778,0.14620598895690856,0.4903271883451135
subj03,lateral,4,2,0.1233575418068202,0.463125837788581,0.41351662040459874
subj03,lateral,8,1,0.022914502963281593,0.848315110645097,0.1287703863916216
subj03,lateral,10,8,nan,nan,nan
subj04,lateral,2,1,0.06161849964457919,0.4817077960355783,0.4566737043198425
subj04,lateral,2,2,0.12853885862138226,0.37145373970657247,0.5000074016720452
