subject,roi,M,T,fold,SCHEDULE_COVERAGE_FOLD
subj06,ventral,8,1,1,0.255
subj06,ventral,8,1,2,0.405
subj06,ventral,8,1,3,0.485
subj06,ventral,8,1,4,0.645
subj06,ventral,8,1,5,0.725
subj06,ventral,10,8,0,1.0
subj06,ventral,10,8,1,1.0
subj06,ventral,10,8,2,1.0
subj06,ventral,10,8,3,1.0
subj06,ventral,10,8,4,1.0
subj06,ventral,10,8,5,1.0
subj07,ventral,2,1,0,0.33
subj07,ventral,2,1,1,0.325
subj07,ventral,2,1,2,0.125
subj07,ventral,2,1,3,0.25
subj07,ventral,2,1,4,0.135
subj07,ventral,2,1,5,0.31
subj07,ventral,2,2,0,0.6728571428571428
subj07,ventral,2,2,1,0.7271428571428571
subj07,ventral,2,2,2,0.6771428571428572
subj07,ventral,2,2,3,0.6442857142857142
subj07,ventral,2,2,4,0.43857142857142856
subj07,ventral,2,2,5,0.5728571428571428
subj07,ventral,4,1,0,0.67625
subj07,ventral,4,1,1,0.76375
subj07,ventral,4,1,2,0.695
subj07,ventral,4,1,3,0.67375
subj07,ventral,4,1,4,0.54875
subj07,ventral,4,1,5,0.69875
subj07,ventral,6,1,0,0.875
subj07,ventral,6,1,1,0.9025
subj07,ventral,6,1,2,0.9775
subj07,ventral,6,1,3,0.945
subj07,ventral,6,1,4,0.85
subj07,ventral,6,1,5,0.90875
subj07,ventral,2,4,0,0.9262857142857143
subj07,ventral,2,4,1,0.9817142857142858
subj07,ventral,2,4,2,0.9862857142857143
subj07,ventral,2,4,3,0.9628571428571429
subj07,ventral,2,4,4,0.812
subj07,ventral,2,4,5,0.8434285714285714
subj07,ventral,4,2,0,0.9442857142857143
subj07,ventral,4,2,1,0.9839285714285714
subj07,ventral,4,2,2,0.9871428571428571
subj07,ventral,4,2,3,0.9778571428571429
subj07,ventral,4,2,4,0.8603571428571428
subj07,ventral,4,2,5,0.9096428571428572
subj07,ventral,8,1,0,0.93
subj07,ventral,8,1,1,0.915
subj07,ventral,8,1,2,1.0
subj07,ventral,8,1,3,1.0
subj07,ventral,8,1,4,0.955
subj07,ventral,8,1,5,0.98
subj07,ventral,10,8,0,1.0
subj07,ventral,10,8,1,1.0
subj07,ventral,10,8,2,1.0
subj07,ventral,10,8,3,1.0
subj07,ventral,10,8,4,1.0
subj07,ventral,10,8,5,1.0
subj08,ventral,2,1,0,0.08
subj08,ventral,2,1,1,0.005
subj08,ventral,2,1,2,0.0
subj08,ventral,2,1,3,0.0
subj08,ventral,2,1,4,0.0
subj08,ventral,2,1,5,0.09
subj08,ventral,2,2,0,0.18
subj08,ventral,2,2,1,0.025714285714285714
subj08,ventral,2,2,2,0.012857142857142857
subj08,ventral,2,2,3,0.008571428571428572
subj08,ventral,2,2,4,0.008571428571428572
subj08,ventral,2,2,5,0.11142857142857143
subj08,ventral,4,1,0,0.26625
subj08,ventral,4,1,1,0.00625
subj08,ventral,4,1,2,0.0
subj08,ventral,4,1,3,0.0
subj08,ventral,4,1,4,0.0
subj08,ventral,4,1,5,0.17375
subj08,ventral,6,1,0,0.46
subj08,ventral,6,1,1,0.025
subj08,ventral,6,1,2,0.02
subj08,ventral,6,1,3,0.0075
