subject,roi,M,T,N,R_COMP,TOTAL_avg,FCF_avg,SCHEDULE_COVERAGE
subj05,ventral,10,8,80,0.7093398056439795,1.0,1.0,1.0
subj06,ventral,2,1,2,0.18457061978463798,0.22140231432865282,0.22773442044421727,0.01583333333333333
subj06,ventral,2,2,4,0.25981066701126504,0.35216738868715153,0.3622393758855242,0.13238095238095238
subj06,ventral,4,1,4,0.26932371342846395,0.36870079433978153,0.3792456369342759,0.15
subj06,ventral,6,1,6,0.3273084852205826,0.4694766879568925,0.4829037210750466,0.3914583333333333
subj06,ventral,2,4,8,0.3482607611514185,0.5058911510130233,0.5203596377623732,0.48085714285714287
subj06,ventral,4,2,8,0.3633807052911137,0.5321691863492887,0.5473892249004448,0.5526785714285715
subj06,ventral,8,1,8,0.35577649134713546,0.5189532775550376,0.5337953411191094,0.5175
subj06,ventral,10,8,80,0.6165643602368053,0.972195218837121,1.0,1.0
subj07,ventral,2,1,2,0.32638898745076766,0.3866090590814965,0.39077080927564073,0.24583333333333335
subj07,ventral,2,2,4,0.4280193389974709,0.5320867683332104,0.5378145498204661,0.6221428571428571
subj07,ventral,4,1,4,0.44436057436042625,0.5554782596619932,0.5614578447252182,0.6760416666666668
subj07,ventral,6,1,6,0.5112952580998721,0.6512912162414827,0.6583022039096894,0.9097916666666667
subj07,ventral,2,4,8,0.5294056380745659,0.6772151312166841,0.6845051833704395,0.9187619047619048
subj07,ventral,4,2,8,0.5410171931363867,0.6938363708910109,0.7013053465485402,0.9438690476190476
subj07,ventral,8,1,8,0.5413874938935703,0.69436643405688,0.7018411157123202,0.9633333333333333
subj07,ventral,10,8,80,0.7474621759259401,0.9893498934328698,0.999999998530906,1.0
subj08,ventral,2,1,2,0.17766155542421558,0.1790388325496044,0.2891262388080348,0.029166666666666664
subj08,ventral,2,2,4,0.20899492658373697,0.2317940032330718,0.3743195114639033,0.05785714285714285
subj08,ventral,4,1,4,0.22868699356601466,0.2649490170830467,0.4278608818781437,0.07437499999999998
subj08,ventral,6,1,6,0.26372774481231115,0.3239462058459149,0.5231342650003765,0.12833333333333333
subj08,ventral,2,4,8,0.26037079074913444,0.3182941908208533,0.5140069386957336,0.13038095238095238
subj08,ventral,4,2,8,0.269516438250408,0.33369247632560023,0.5388733227571146,0.1417857142857143
subj08,ventral,8,1,8,0.27700060341838384,0.34629336784313647,0.5592222510773657,0.16333333333333333
subj08,ventral,10,8,80,0.4391149637006861,0.619241040897306,1.0,0.8333333333333334
subj01,lateral,2,1,2,0.30068036975768386,0.28404928031017374,0.2836899981102209,0.05416666666666666
subj01,lateral,2,2,4,0.4012048463370548,0.44746618888605016,0.44690020738955794,0.3438095238095238
subj01,lateral,4,1,4,0.4116408984184297,0.46443148357752334,0.4638440433806502,0.3577083333333333
subj01,lateral,6,1,6,0.4755368605087235,0.5683035051048654,0.567584681479148,0.7141666666666667
subj01,lateral,2,4,8,0.5094717935515896,0.6234695904136106,0.6226809894856207,0.8505714285714286
subj01,lateral,4,2,8,0.5165107258675657,0.6349123812431996,0.6341093068018167,0.8779761904761904
subj01,lateral,8,1,8,0.508210969901103,0.6214199413108951,0.6206339328993795,0.8224999999999999
subj01,lateral,10,8,80,0.7418702217899872,1.0,1.0,1.0
subj02,lateral,2,1,2,0.248553573923285,0.2165481902822188,0.2404207447987195,0.05166666666666667
subj02,lateral,2,2,4,0.3293984893362532,0.34828082557566126,0.38667575736784604,0.16047619047619047
subj02,lateral,4,1,4,0.34952698739334404,0.3810791788179751,0.42308984378626335,0.20666666666666667
subj02,lateral,6,1,6,0.4146245497157553,0.4871523114584821,0.5408566167125485,0.4258333333333333
subj02,lateral,2,4,8,0.41510377188413333,0.4879331793560982,0.5417235685041548,0.46228571428571424
subj02,lateral,4,2,8,0.4414841228467033,0.5309186056443641,0.5894477641681625,0.5805357142857143
subj02,lateral,8,1,8,0.44005597608969893,0.5285915138919026,0.5868641307902404,0.5925
subj02,lateral,10,8,80,0.6684237689703982,0.9007050972712715,1.0,1.0
subj03,lateral,2,1,2,0.2783389437487985,0.2268463656249303,0.22892966859044328,0.051666666666666666
subj03,lateral,2,2,4,0.3609382503916694,0.3763970634326677,0.3798538043696425,0.23857142857142857
subj03,lateral,4,1,4,0.38566702628731436,0.42116990525704945,0.42503782930418876,0.310625
subj03,lateral,6,1,6,0.44503922207032565,0.528666610382156,0.5335217585532219,0.5525000000000001
subj03,lateral,2,4,8,0.4568566882146441,0.5500627985589325,0.5551144442236063,0.6346666666666666
subj03,lateral,4,2,8,0.47731814804331646,0.5871094242500338,0.5925012972970238,0.7220238095238095
subj03,lateral,8,1,8,0.4694965714203305,0.5729480191551741,0.578209837232367,0.6316666666666667
subj03,lateral,10,8,80,0.700338214351434,0.9908998178632894,1.0,1.0
subj04,lateral,2,1,2,0.2478099703929393,0.22186224213552963,0.23091438898740665,0.06333333333333334
subj04,lateral,2,2,4,0.31878795401855015,0.36160127810610593,0.37635488304463055,0.19833333333333333
subj04,lateral,4,1,4,0.3262790071937393,0.3763494083802315,0.3917047481599214,0.255
subj04,lateral,6,1,6,0.37597575917961223,0.4741906805415459,0.4935380180368167,0.41604166666666664
subj04,lateral,2,4,8,0.39863623075478,0.5188038449455289,0.5399714332046277,0.5012380952380954
subj04,lateral,4,2,8,0.404083448951738,0.5295281425471535,0.5511332902388024,0.5213690476190477
subj04,lateral,8,1,8,0.3993843087153079,0.5202766353474991,0.5415043145660705,0.48333333333333334
subj04,lateral,10,8,80,0.6231397296223898,0.9607986847716256,0.9999999959362811,1.0
subj05,lateral,2,1,2,0.20248615942325876,0.1699942279807375,0.1781704799757657,0.025833333333333333
subj05,lateral,2,2,4,0.2706826263061401,0.30626582569734884,0.32099636448158725,0.12
subj05,lateral,4,1,4,0.27934947586142483,0.32358410463541243,0.33914760471721817,0.135
subj05,lateral,6,1,6,0.32762365918191527,0.420046581215693,0.44024965951114403,0.2864583333333333
subj05,lateral,2,4,8,0.35529369415465717,0.47533742027170506,0.4981998349370341,0.4196190476190476
