subject,roi,M,T,N_TRIALS,R_HYBRID,R_CONTROL,DELTA_PRIOR
subj04,lateral,2,1,2,0.2855865381904918,0.24780997039293928,0.03777656779755251
subj05,lateral,2,1,2,0.25601738672705693,0.20248615942325876,0.05353122730379817
subj06,lateral,2,1,2,0.25351469499421725,0.22223415597846183,0.03128053901575542
subj07,lateral,2,1,2,0.36471061782800956,0.3284673315446454,0.03624328628336415
subj08,lateral,2,1,2,0.21701924884845117,0.20263354525217178,0.014385703596279387
subj01,lateral,2,2,4,0.42775549825284476,0.4012048463370548,0.02655065191578998
subj02,lateral,2,2,4,0.3689500921166367,0.32939848933625315,0.039551602780383555
subj03,lateral,2,2,4,0.40792453684223995,0.3609382503916693,0.046986286450570625
subj04,lateral,2,2,4,0.3508802201311048,0.31878795401855015,0.03209226611255467
subj05,lateral,2,2,4,0.3177905668198202,0.27068262630614015,0.04710794051368006
subj06,lateral,2,2,4,0.3323224100608043,0.3035096085623308,0.02881280149847354
subj07,lateral,2,2,4,0.4487332585375058,0.4250614392331537,0.023671819304352082
subj08,lateral,2,2,4,0.25744202572219355,0.2504150785491605,0.007026947173033038
subj01,lateral,4,1,4,0.4236658698192537,0.4116408984184297,0.01202497140082398
subj02,lateral,4,1,4,0.36646814409153117,0.349526987393344,0.016941156698187188
subj03,lateral,4,1,4,0.4055180456580672,0.3856670262873145,0.01985101937075273
subj04,lateral,4,1,4,0.3423751451407033,0.3262790071937393,0.016096137946963962
subj05,lateral,4,1,4,0.2996308521238056,0.2793494758614249,0.02028137626238069
subj06,lateral,4,1,4,0.31888953880150894,0.3055814312377834,0.013308107563725524
subj07,lateral,4,1,4,0.45624326690995926,0.4451886816545169,0.01105458525544234
subj08,lateral,4,1,4,0.27330853345387346,0.2646735097266046,0.008635023727268876
subj01,lateral,6,1,6,0.47430699098475265,0.4755368605087235,-0.0012298695239708612
subj02,lateral,6,1,6,0.41144014076602803,0.4146245497157553,-0.0031844089497272687
subj03,lateral,6,1,6,0.44448416199871144,0.44503922207032565,-0.0005550600716142107
subj04,lateral,6,1,6,0.37646804044904636,0.37597575917961223,0.000492281269434125
subj05,lateral,6,1,6,0.3281193611973372,0.3276236591819152,0.0004957020154219838
subj06,lateral,6,1,6,0.35859401512302164,0.359039395905711,-0.000445380782689353
subj07,lateral,6,1,6,0.5100300788183189,0.5120179971964516,-0.0019879183781327248
subj08,lateral,6,1,6,0.3072526188736829,0.31074396276473115,-0.003491343891048271
subj01,lateral,4,2,8,0.5246152443633291,0.5165107258675657,0.008104518495763324
subj02,lateral,4,2,8,0.45499687589735316,0.44148412284670335,0.013512753050649806
subj03,lateral,4,2,8,0.4919659114515505,0.4773181480433165,0.014647763408233982
subj04,lateral,4,2,8,0.42011526280382927,0.404083448951738,0.016031813852091292
subj05,lateral,4,2,8,0.38019929607684494,0.3622845979915591,0.01791469808528584
subj06,lateral,4,2,8,0.4166339199580564,0.4044468051151023,0.012187114842954094
subj07,lateral,4,2,8,0.5481853542361884,0.540837254921375,0.007348099314813394
subj08,lateral,4,2,8,0.3324482547852269,0.3251674112388164,0.007280843546410509
subj01,lateral,10,8,80,0.7407728163623691,0.7418702217899872,-0.0010974054276180478
subj02,lateral,10,8,80,0.6643070234295679,0.6684237689703982,-0.004116745540830302
subj03,lateral,10,8,80,0.6975932792263455,0.700338214351434,-0.0027449351250884435
subj04,lateral,10,8,80,0.6244975083098466,0.6231397296223898,0.0013577786874567899
subj05,lateral,10,8,80,0.599308503176445,0.5948931163513608,0.004415386825084244
subj06,lateral,10,8,80,0.6530267890678965,0.6531973895319237,-0.0001706004640272818
subj07,lateral,10,8,80,0.764706657797022,0.7670715800184226,-0.0023649222214006116
subj08,lateral,10,8,80,0.45281680480359826,0.45340512790929627,-0.0005883231056980076
