subject,roi,M,T,N_TRIALS,q,R_CONTROL,R_HYBRID
subj07,lateral,2,1,2,2,0.3284673315446454,0.36471061782800956
subj08,lateral,2,1,2,2,0.20263354525217178,0.21701924884845117
subj01,lateral,2,2,4,2,0.4012048463370548,0.42775549825284476
subj02,lateral,2,2,4,2,0.32939848933625315,0.3689500921166367
subj03,lateral,2,2,4,2,0.3609382503916693,0.40792453684223995
subj04,lateral,2,2,4,2,0.31878795401855015,0.3508802201311048
subj05,lateral,2,2,4,2,0.27068262630614015,0.3177905668198202
subj06,lateral,2,2,4,2,0.3035096085623308,0.3323224100608043
subj07,lateral,2,2,4,2,0.4250614392331537,0.4487332585375058
subj08,lateral,2,2,4,2,0.2504150785491605,0.25744202572219355
subj01,lateral,4,1,4,4,0.4116408984184297,0.4236658698192537
subj02,lateral,4,1,4,4,0.349526987393344,0.36646814409153117
subj03,lateral,4,1,4,4,0.3856670262873145,0.4055180456580672
subj04,lateral,4,1,4,4,0.3262790071937393,0.3423751451407033
subj05,lateral,4,1,4,4,0.2793494758614249,0.2996308521238056
subj06,lateral,4,1,4,4,0.3055814312377834,0.31888953880150894
subj07,lateral,4,1,4,4,0.4451886816545169,0.45624326690995926
subj08,lateral,4,1,4,4,0.2646735097266046,0.27330853345387346
subj01,lateral,6,1,6,6,0.4755368605087235,0.47430699098475265
subj02,lateral,6,1,6,6,0.4146245497157553,0.41144014076602803
subj03,lateral,6,1,6,6,0.44503922207032565,0.44448416199871144
subj04,lateral,6,1,6,6,0.37597575917961223,0.37646804044904636
subj05,lateral,6,1,6,6,0.3276236591819152,0.3281193611973372
subj06,lateral,6,1,6,6,0.359039395905711,0.35859401512302164
subj07,lateral,6,1,6,6,0.5120179971964516,0.5100300788183189
subj08,lateral,6,1,6,6,0.31074396276473115,0.3072526188736829
subj01,lateral,4,2,8,4,0.5165107258675657,0.5246152443633291
subj02,lateral,4,2,8,4,0.44148412284670335,0.45499687589735316
subj03,lateral,4,2,8,4,0.4773181480433165,0.4919659114515505
subj04,lateral,4,2,8,4,0.404083448951738,0.42011526280382927
subj05,lateral,4,2,8,4,0.3622845979915591,0.38019929607684494
subj06,lateral,4,2,8,4,0.4044468051151023,0.4166339199580564
subj07,lateral,4,2,8,4,0.540837254921375,0.5481853542361884
subj08,lateral,4,2,8,4,0.3251674112388164,0.3324482547852269
subj01,lateral,10,8,80,6,0.7418702217899872,0.7407728163623691
subj02,lateral,10,8,80,6,0.6684237689703982,0.6643070234295679
subj03,lateral,10,8,80,6,0.700338214351434,0.6975932792263455
subj04,lateral,10,8,80,6,0.6231397296223898,0.6244975083098466
subj05,lateral,10,8,80,6,0.5948931163513608,0.599308503176445
subj06,lateral,10,8,80,6,0.6531973895319237,0.6530267890678965
subj07,lateral,10,8,80,6,0.7670715800184226,0.764706657797022
subj08,lateral,10,8,80,6,0.45340512790929627,0.45281680480359826
