subject,roi,M,T,SIM_prior_oracle_IN,SIM_hybrid_oracle_IN,PRIOR_ALIGNMENT_IN,SIM_prior_oracle_OUT,SIM_hybrid_oracle_OUT,PRIOR_ALIGNMENT_OUT
subj03,ventral,4,1,0.37625062488797667,0.487422541399807,0.6389650629593353,0.0035038360962063903,0.32159707718688885,0.01678079520501681
subj03,ventral,6,1,0.37625062488797667,0.5254636241423373,0.48080592847611686,0.0035038360962063903,0.3780406947556969,0.012091125737234745
subj03,ventral,4,2,0.3762506248879766,0.515022435304676,0.6555207697492614,0.0035038360962063903,0.4780658552490462,0.016668636852387682
subj03,ventral,10,8,0.37625062488797667,0.9091757494175096,0.5453607446708494,0.00350383609620639,0.9997217034843705,0.005359044916404633
subj04,ventral,2,1,0.39653654972662017,0.4546325599266279,0.8323877912523097,0.0054207765558789275,0.25869772121718065,0.07530513325983638
subj04,ventral,2,2,0.3965365497266202,0.4678867453657273,0.8385701250660699,0.005420776555878927,0.3744980148392402,0.08307755985729048
subj04,ventral,4,1,0.39653654972662017,0.5039009242652708,0.685033899335585,0.005420776555878928,0.3414352375442566,0.021475652002811457
subj04,ventral,6,1,0.39653654972662017,0.5490447370999075,0.5500414398308485,0.005420776555878928,0.391064052574968,0.012348432138648427
subj04,ventral,4,2,0.3965365497266201,0.5313990406603003,0.7004501761829811,0.0054207765558789275,0.4919633716631256,0.020862510683456757
subj04,ventral,10,8,0.39653654972662017,0.8882513937145836,0.5650478610516249,0.0054207765558789275,0.9995635948278173,0.008698207568535666
subj05,ventral,2,1,0.2962736669880269,0.3871104276702404,0.8025706276409653,0.010946507666862254,0.28013049815899765,0.07961443101892253
subj05,ventral,2,2,0.29627366698802693,0.4091858006374614,0.7970130914053768,0.010946507666862252,0.39568501934216693,0.12340689582058309
subj05,ventral,4,1,0.2962736669880268,0.46086512727388923,0.6328652833622347,0.010946507666862254,0.3638032254024815,0.030151412238075267
subj05,ventral,6,1,0.2962736669880268,0.5238754844351715,0.4809700107708898,0.010946507666862254,0.4123300780497933,0.02130948919628438
subj05,ventral,4,2,0.2962736669880268,0.4940978268996909,0.6299112312913545,0.010946507666862252,0.5136919741086822,0.03933722503681908
subj05,ventral,10,8,0.2962736669880269,0.8994287663014786,0.4466782209434765,0.010946507666862254,0.997280597606739,0.022659714032556958
subj06,ventral,2,1,0.18726557147435377,0.2823696858116917,0.7442506563705771,0.004783015195754498,0.22534506200966908,0.04756796477247171
subj06,ventral,2,2,0.18726557147435374,0.31771260221573483,0.7451289827675126,0.0047830151957544975,0.3478802404308207,0.047547136064192384
subj06,ventral,4,1,0.18726557147435374,0.3557701257797436,0.5032224219037723,0.004783015195754498,0.3048614488700565,0.023043417153467874
subj06,ventral,6,1,0.18726557147435374,0.41364878139770606,0.276134315313962,0.004783015195754498,0.3603367370221309,0.016993060443161734
subj06,ventral,4,2,0.18726557147435374,0.41628842465565274,0.5119228930157216,0.004783015195754499,0.4687454079153754,0.022547188990663197
subj06,ventral,10,8,0.18726557147435377,0.9595853124170007,0.28768169632316587,0.004783015195754498,0.9997066553956867,0.0070961150272788
