participant,ROI,fold,TV_vis,TV_img,alignment_ratio,alignment_evaluable,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile
subj03,V2,fold_0,32.209495651185556,21.8243255153946,0.6775742703872887,True,9.0,0.433733365846467,0.061926277458435215,0.9749411722227168,0.6
subj03,V2,fold_1,15.834984978637882,14.06505439964924,0.8882265703834668,True,1.0,0.11285559785361089,0.0071925577461798545,1.0,0.91
subj03,V2,fold_2,9.352427667554817,5.805699181955614,0.6207692150452641,True,1.0,0.07131956893016274,0.006092381134341463,0.2571399109798948,0.96
subj03,V2,fold_3,22.10194620519394,15.51985137174241,0.7021938804690085,True,11.0,0.4830366714034019,0.06639984185215674,0.9753630045364335,0.54
subj03,V3,fold_0,20.0735477258673,18.508082509851427,0.9220135255912649,True,10.0,0.7870558761429979,0.3590238472731106,1.2566328355622849,0.53
subj03,V3,fold_1,8.331791154279033,2.6631365129029674,0.3196355337753799,True,2.0,0.25064560560876475,0.04891332052729923,1.0052570352611898,0.85
subj03,V3,fold_2,5.632841253898905,3.749661099381967,0.6656784614312625,True,1.0,0.14989071407121457,0.01815763396532693,1.0,0.94
subj03,V3,fold_3,16.243747742866113,15.15390271502308,0.9329067992747136,True,10.0,0.5926776823179146,0.17115174209476358,1.0506917962459834,0.53
subj03,hV4,fold_0,12.252835504201062,12.25283550420105,0.999999999999999,True,9.0,1.0,1.0,1.0000000000000002,0.0
subj03,hV4,fold_1,4.689702158956322,3.923556112933717,0.8366322593516027,True,1.0,0.2511685361071521,0.04236088385005812,1.0,0.84
subj03,hV4,fold_2,3.544316313464491,3.520916965808681,0.9933980645105184,True,1.0,0.24616666910990703,0.07793272345694115,1.0,0.87
subj03,hV4,fold_3,7.529700909621857,7.130496038935924,0.9469826390878544,True,6.0,0.7473856862412502,0.2465003756922997,1.010019252302144,0.68
subj03,ventral,fold_0,73.48626697110205,46.18104389643267,0.6284309409075445,True,11.0,0.3147293729228862,0.12086874172825841,0.8491164950389871,0.78
