participant,ROI,fold,n_voxels,d_vis,d_vis_reason,vis_peak_test_r,d_img,d_img_reason,img_peak_test_r,TV_vis,TV_img,alignment_ratio,alignment_evaluable,alignment_reason,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile,vis_projector_hash,img_projector_hash,v2v_r_model,v2i_r_model,dimension_ratio_fold
subj02,V1,fold_1,23,3.0,OK,0.7962765172568358,4.0,OK,0.1424162591215969,18.858261226254072,7.896934106372858,0.418751973558353,True,OK,4.0,0.19820891377073915,0.017005103403231848,0.8495516152389444,0.82,355ee44241d912b0,616d92d1e79b94a5,7,9,1.3333333333333333
subj02,V1,fold_2,23,4.0,OK,0.7290279874674882,7.0,OK,0.20787668709462376,21.84844196812049,11.121242503107728,0.509017646170604,True,OK,7.0,0.36126599413950344,0.03595161928201183,0.9134104037616262,0.67,a10f5d5f16db4e88,87e394764ab9afac,4,10,1.75
subj02,V1,fold_3,23,2.0,OK,0.6765441734688489,11.0,OK,0.24046614698193033,20.301845495837927,18.628058193904284,0.9175549187251579,True,OK,11.0,0.6242804040904502,0.14923300096502967,1.138917513147385,0.54,023000d898e999a7,ecb1d8388c954071,11,12,5.5
subj02,V2,fold_0,22,4.0,OK,0.6534789455833203,6.0,OK,0.1391434060553282,14.831937359106634,10.54227399186085,0.7107819927103466,True,OK,6.0,0.4821700577634286,0.17256787489032394,1.0186353753875423,0.69,6a747add8912ca0c,b871af56b03ab8e1,8,12,1.5
subj02,V2,fold_1,22,3.0,OK,0.7040071229048622,5.0,OK,0.05475581024734148,16.33375851477497,6.704347816546442,0.4104595895967186,True,OK,5.0,0.34042165601646346,0.10156808157140604,0.8167691759867627,0.76,631d69e4aef908b7,307bba90031512a6,11,9,1.6666666666666667
subj02,V2,fold_2,22,4.0,OK,0.6715649702454718,7.0,OK,0.16391732002152726,17.585919049001053,9.395768139113235,0.5342779136497248,True,OK,7.0,0.414022499988751,0.14408630003093614,0.8263019279822323,0.68,5975e0e5e9c227b1,09a489e3c85bb071,8,11,1.75
subj02,V2,fold_3,22,6.0,OK,0.6218843884248282,7.0,OK,0.05670489442823814,18.954484766731632,11.53960208697072,0.6088058962818499,True,OK,7.0,0.3836709630534337,0.1274036152264983,0.8602944103899911,0.73,9f438fc8e8ac56a8,8166324d318ac7a5,6,12,1.1666666666666667
subj02,V3,fold_0,22,3.0,OK,0.6797308041225283,7.0,OK,0.15067001532451454,21.869395698230868,11.381800042438995,0.5204441951434319,True,OK,7.0,0.3882991450725749,0.06961234062167207,0.9014923307203184,0.66,125261b14ec9d411,4ecdcf7d2b7f3481,4,8,2.3333333333333335
subj02,V3,fold_1,22,6.0,OK,0.6362849047741874,1.0,OK,0.1576444046042999,10.153830131039864,5.781767196242333,0.5694173648392733,True,OK,1.0,0.10308239800491288,0.0081276676545147,0.27372691529330434,0.96,81da562909b0e6fc,7a16e6a49170c267,3,12,0.16666666666666666
subj02,V3,fold_2,22,1.0,OK,0.6157056662901579,9.0,OK,0.11212039912260803,19.32428265304252,11.606031721145218,0.6005931464326776,True,OK,9.0,0.41759911396072946,0.08366158667919996,0.950892462202135,0.65,7b28fc17c9e3ac2b,8792cf8d1d767ef0,6,12,9.0
