participant,ROI,fold,model,rank,test_r,val_r
subj04,parietal,fold_0,vis2vis,11,0.1487693580428446,0.08054488628997822
subj04,parietal,fold_0,vis2vis,12,0.14134710799181657,0.09744323876564431
subj04,parietal,fold_1,vis2vis,1,-0.039637135956074494,-0.18206658902871029
subj04,parietal,fold_1,vis2vis,2,-0.00832993952497373,-0.12405109650471313
subj04,parietal,fold_1,vis2vis,3,0.005385707290107075,-0.13077308572251484
subj04,parietal,fold_1,vis2vis,4,0.018975681627786543,-0.11396351708347699
subj04,parietal,fold_1,vis2vis,5,-0.00562125993249921,-0.11864220212974882
subj04,parietal,fold_1,vis2vis,6,-0.017099524998983637,-0.08359696667656699
subj04,parietal,fold_1,vis2vis,7,-0.022240466892169717,-0.08450682134460805
subj04,parietal,fold_1,vis2vis,8,-0.004354124386063567,-0.07958276609886132
subj04,parietal,fold_1,vis2vis,9,0.002067027571944957,-0.06674928223404576
subj04,parietal,fold_1,vis2vis,10,0.0009142597863719234,-0.04364829708289058
subj04,parietal,fold_1,vis2vis,11,0.07257173571841487,-0.03440074345507689
subj04,parietal,fold_1,vis2vis,12,0.12890395873156743,0.00039091774762586645
subj04,parietal,fold_2,vis2vis,1,-0.09248312581112365,-0.04569778544250094
subj04,parietal,fold_2,vis2vis,2,-0.07631111481782156,0.029833377741537402
subj04,parietal,fold_2,vis2vis,3,-0.06642485797222308,0.042343377654507415
subj04,parietal,fold_2,vis2vis,4,-0.06447250229993423,0.05937589825509325
subj04,parietal,fold_2,vis2vis,5,-0.057023529751165494,0.05528356870186786
subj04,parietal,fold_2,vis2vis,6,-0.06282841198766864,0.06809520358611149
subj04,parietal,fold_2,vis2vis,7,-0.057027329689819876,0.06752119143817936
subj04,parietal,fold_2,vis2vis,8,-0.0640516394956089,0.06925353391278548
subj04,parietal,fold_2,vis2vis,9,-0.07020884390397868,0.07529243031883173
subj04,parietal,fold_2,vis2vis,10,-0.07022155689833605,0.0774030809569627
subj04,parietal,fold_2,vis2vis,11,-0.07577616946940713,0.08950658998657499
subj04,parietal,fold_2,vis2vis,12,-0.08907386396068001,0.09354545807316066
subj04,parietal,fold_3,vis2vis,1,0.06919292559346825,-0.0913321905885749
subj04,parietal,fold_3,vis2vis,2,0.0844469212683635,-0.04111956643687279
subj04,parietal,fold_3,vis2vis,3,0.14059515339228396,-0.037991527909816004
subj04,parietal,fold_3,vis2vis,4,0.12074452565166667,-0.005486086488760869
subj04,parietal,fold_3,vis2vis,5,0.11806554125101877,-0.004061704085381174
subj04,parietal,fold_3,vis2vis,6,0.08761820491985876,-0.01828411504729143
subj04,parietal,fold_3,vis2vis,7,0.07423590395602041,-0.001545941634958856
subj04,parietal,fold_3,vis2vis,8,0.07250200148268852,-0.003379221490425304
subj04,parietal,fold_3,vis2vis,9,0.07522390583086326,-0.005537588948281935
subj04,parietal,fold_3,vis2vis,10,0.07638514449910241,-0.012873807840561951
subj04,parietal,fold_3,vis2vis,11,0.06787247136896613,-0.007798878158384799
subj04,parietal,fold_3,vis2vis,12,0.06484307185733613,0.0010302563197244507
subj05,V1,fold_0,vis2vis,1,0.2892313349253048,0.547970335324407
subj05,V1,fold_0,vis2vis,2,0.3560454475981609,0.5664012490359047
subj05,V1,fold_0,vis2vis,3,0.36356855262838844,0.5641400681301844
subj05,V1,fold_0,vis2vis,4,0.37127423847019986,0.5640629880070925
subj05,V1,fold_0,vis2vis,5,0.3741240998034958,0.5706873015355327
subj05,V1,fold_0,vis2vis,6,0.3684043182396233,0.5653042549705641
subj05,V1,fold_0,vis2vis,7,0.3814246148232346,0.5717813503526646
subj05,V1,fold_0,vis2vis,8,0.37988074845535896,0.5733695162545577
subj05,V1,fold_0,vis2vis,9,0.37409572783219774,0.5654941175263815
subj05,V1,fold_0,vis2vis,10,0.36515686805739733,0.5665005501358349
subj05,V1,fold_0,vis2vis,11,0.36482475848265256,0.565259135038774
subj05,V1,fold_0,vis2vis,12,0.36540001136674133,0.5663214630315678
subj05,V1,fold_1,vis2vis,1,0.11150714925527294,0.5784679489250591
subj05,V1,fold_1,vis2vis,2,0.0789643875792152,0.5956268119340015
subj05,V1,fold_1,vis2vis,3,0.10580949678850969,0.6096206276206914
subj05,V1,fold_1,vis2vis,4,0.1111068361932109,0.6122066124664325
subj05,V1,fold_1,vis2vis,5,0.10723668648143554,0.6021057911230777
subj05,V1,fold_1,vis2vis,6,0.09936627584585316,0.6077297218061308
subj05,V1,fold_1,vis2vis,7,0.10342421396236316,0.6105106032136802
subj05,V1,fold_1,vis2vis,8,0.10403613734447939,0.6115379998484929
subj05,V1,fold_1,vis2vis,9,0.10247179824079415,0.6104958838876668
subj05,V1,fold_1,vis2vis,10,0.10046090554787475,0.6120324703646242
subj05,V1,fold_1,vis2vis,11,0.10223079548090111,0.6120943999572408
subj05,V1,fold_1,vis2vis,12,0.10272378421605102,0.6122798451797283
subj05,V1,fold_2,vis2vis,1,0.23057263091601685,0.5205939811724779
subj05,V1,fold_2,vis2vis,2,0.30113890389553194,0.5338827682017916
subj05,V1,fold_2,vis2vis,3,0.30898424637047894,0.5419414082655105
subj05,V1,fold_2,vis2vis,4,0.32382786316196166,0.5556653486818941
subj05,V1,fold_2,vis2vis,5,0.33307700501112764,0.5626797913314087
subj05,V1,fold_2,vis2vis,6,0.33417245415484076,0.5638575264083995
subj05,V1,fold_2,vis2vis,7,0.3351609365162963,0.5653792274149235
subj05,V1,fold_2,vis2vis,8,0.3352718674666854,0.5624261169204756
