participant,ROI,alignment_ratio,alignment_fold_sd,alignment_min,alignment_max,null_median,n_alignment_folds_evaluable,public_alignment_reference
subj07,V3,0.9081482984417403,0.30471013812213654,0.596356112696665,1.2052445788341353,0.1530628190722285,3,
subj07,hV4,0.6721380887523998,,0.6721380887523998,0.6721380887523998,0.7445500436345887,1,~0.50
subj07,lateral,1.026923798803444,0.10778526677951869,0.9069700179932979,1.115640584593601,0.12318619309972394,3,
subj07,parietal,0.9136023353452867,0.24563768157606583,0.7289309291737615,1.1923789792596087,0.13780044027876195,3,~1.0
subj07,ventral,0.7396018535981559,0.12884432445269953,0.5769033426049126,0.8873672410073061,0.08853289294753068,4,
subj08,V1,0.4660116822742175,0.1660250699983921,0.2823827227049175,0.629180774858461,0.10254444256169477,4,0.25-0.30
subj08,V2,0.5386348672438451,0.12384512337102678,0.4325319633868378,0.7068775359177739,0.38720539117955505,4,
subj08,V3,0.5460618740778083,0.27373754062082356,0.23017402319231609,0.7136696699845981,0.17632569259856753,3,
subj08,hV4,0.6781346481823294,0.26202886195307934,0.43851470602887876,1.0515402735831096,0.1883766530968618,4,~0.50
subj08,lateral,0.718343619684114,0.17943025238110885,0.538102028493913,0.9658648691805027,0.16366020231282674,4,
subj08,parietal,0.6172769535670866,0.11605769923693039,0.5164450901104471,0.7548199833270177,0.129321053955552,4,~1.0
subj08,ventral,0.6901201977468231,0.28320267875915295,0.4998432401330273,1.1029216520444378,0.21503672834283535,4,
