participant,ROI,outer_fold,model,identity,family,held_out_r,lam,rank,normalized_mse,cosine,explained_variance,centroid_norm_ratio
subj07,hV4,0,O4,B:B,naturalistic,0.9788969753069063,75.43120063354607,3,0.17542161679640342,0.9353838140484653,0.9318619586426471,1.1598042238617374
subj07,hV4,1,O0,A:H,simple,0.9131677746772766,0.0,1,0.47319677472114563,0.8746554851531982,0.8336828947067261,1.3627322912216187
subj07,hV4,1,O0,B:C,naturalistic,0.941409707069397,0.0,1,0.16065146028995514,0.9521853923797607,0.8861421942710876,1.2116237878799438
subj07,hV4,1,O1,A:H,simple,0.8900641798973083,0.0,1,0.673934817314148,0.8461940288543701,0.7921797633171082,1.4706770181655884
subj07,hV4,1,O1,B:C,naturalistic,0.9641945362091064,0.0,1,0.16129451990127563,0.9657304883003235,0.9274524450302124,1.2722102403640747
subj07,hV4,1,O2,A:H,simple,0.9131704568862915,10000.0,1,0.47325029969215393,0.874652624130249,0.8336880207061768,1.3627790212631226
subj07,hV4,1,O2,B:C,naturalistic,0.9414821267127991,10000.0,1,0.16065047681331635,0.952220618724823,0.8862807750701904,1.2117863893508911
subj07,hV4,1,O3,A:H,simple,0.7956963278153,1.2067926406393288,7,0.3400903207457862,0.8506763577416291,0.6232760877607975,1.103145394639013
subj07,hV4,1,O3,B:C,naturalistic,0.9479165181123669,1.2067926406393288,7,0.9430709024855005,0.9523073283931326,0.6831087725288847,1.8742401577238712
subj07,hV4,1,O4,A:H,simple,0.8994861106897606,109.85411419875572,2,0.5124440685966262,0.861285999355044,0.8084049503478502,1.3655256841441914
subj07,hV4,1,O4,B:C,naturalistic,0.9453656724263433,109.85411419875572,2,0.18922855794505755,0.9506181462406472,0.8936963660242065,1.2554187516819724
subj07,hV4,2,O0,A:L,simple,0.9382649064064026,0.0,1,0.32417306303977966,0.9589036107063293,0.774057924747467,1.4525320529937744
subj07,hV4,2,O0,B:D,naturalistic,0.8588003516197205,0.0,1,0.3295072615146637,0.8565961718559265,0.7369562387466431,1.1081197261810303
subj07,hV4,2,O1,A:L,simple,0.944388210773468,0.0,1,0.3393588364124298,0.962428092956543,0.7709184885025024,1.4778180122375488
subj07,hV4,2,O1,B:D,naturalistic,0.9008644223213196,0.0,1,0.18132758140563965,0.9100324511528015,0.8102351427078247,1.007431983947754
subj07,hV4,2,O2,A:L,simple,0.9412433505058289,109.85411419875572,1,0.32305461168289185,0.9609052538871765,0.774404764175415,1.4572856426239014
subj07,hV4,2,O2,B:D,naturalistic,0.8726051449775696,109.85411419875572,1,0.2953330874443054,0.8697603940963745,0.7607008814811707,1.0973918437957764
subj07,hV4,2,O3,A:L,simple,0.9078278424836128,0.5689866029018293,7,0.3872133512268383,0.9197091580680614,0.8155793838539876,1.402490924539762
subj07,hV4,2,O3,B:D,naturalistic,0.8738225216086699,0.5689866029018293,7,1.2094706527442611,0.5674646533825342,0.4974842499279879,1.2964960467393083
subj07,hV4,2,O4,A:L,simple,0.9407324156314063,11.513953993264458,1,0.36186652779495226,0.9559626111294389,0.7961001152787242,1.4810635407824904
subj07,hV4,2,O4,B:D,naturalistic,0.8783220931598178,11.513953993264458,1,0.25956567957602483,0.8681329305326633,0.7305144229008652,0.9831131035692646
subj07,hV4,3,O0,A:P,simple,0.9684577584266663,0.0,1,0.06268474459648132,0.9874708652496338,0.894376277923584,0.7930917143821716
subj07,hV4,3,O0,B:K,naturalistic,0.9500411152839661,0.0,1,0.07704200595617294,0.9608655571937561,0.8796000480651855,0.9783229231834412
subj07,hV4,3,O1,A:P,simple,0.9636462330818176,0.0,1,0.0680985152721405,0.9857327938079834,0.893568217754364,0.7863147854804993
subj07,hV4,3,O1,B:K,naturalistic,0.9480825662612915,0.0,1,0.07514961063861847,0.9617591500282288,0.8789150714874268,0.9731729030609131
subj07,hV4,3,O2,A:P,simple,0.9660584926605225,109.85411419875572,1,0.06421902775764465,0.9865889549255371,0.8913416266441345,0.7927421927452087
subj07,hV4,3,O2,B:K,naturalistic,0.9516746401786804,109.85411419875572,1,0.07593564689159393,0.9614149928092957,0.8815943002700806,0.9773685336112976
subj07,hV4,3,O3,A:P,simple,0.8511021480302332,0.3906939937054613,7,0.11516054212778823,0.9433089645616463,0.713723779893632,0.8726530035529334
subj07,hV4,3,O3,B:K,naturalistic,0.9164201452968829,0.3906939937054613,7,0.08756634832883699,0.9552181234729662,0.839609939142711,0.9523844530342279
subj07,hV4,3,O4,A:P,simple,0.9684484916978129,10000.0,2,0.06270204028626913,0.9874686229851717,0.8943797614650331,0.7930560761696878
subj07,hV4,3,O4,B:K,naturalistic,0.9500940153475483,10000.0,2,0.07694295817409122,0.9609157568487403,0.8797333007880842,0.9782958605094247
subj07,hV4,4,O0,A:R,simple,0.8807467818260193,0.0,1,0.2052275687456131,0.9458661675453186,0.775692880153656,0.6298118233680725
subj07,hV4,4,O0,B:T,naturalistic,0.9962767958641052,0.0,1,0.06402836740016937,0.9985640645027161,0.9367512464523315,0.7512613534927368
subj07,hV4,4,O1,A:R,simple,0.8810936808586121,0.0,1,0.20383673906326294,0.9463279843330383,0.7763062715530396,0.6310926675796509
subj07,hV4,4,O1,B:T,naturalistic,0.9962354898452759,0.0,1,0.06460510194301605,0.9985331892967224,0.9367936253547668,0.7501912117004395
subj07,hV4,4,O2,A:R,simple,0.8183417320251465,16.768329368110066,1,0.24323205649852753,0.9096624851226807,0.6443140506744385,0.6437342762947083
subj07,hV4,4,O2,B:T,naturalistic,0.9591442346572876,16.768329368110066,1,0.06976734101772308,0.9849096536636353,0.8747075796127319,0.7853742837905884
subj07,hV4,4,O3,A:R,simple,0.8160142377277989,0.3906939937054613,7,0.5743772823475729,0.6625519060377305,0.5464767188506455,0.5469997484495303
subj07,hV4,4,O3,B:T,naturalistic,0.8248160255592032,0.3906939937054613,7,0.1812822103711323,0.9180016654666745,0.6337282539639297,1.0729510765231325
subj07,hV4,4,O4,A:R,simple,0.8470526631345295,0.0062505519252739694,1,0.9164734188293923,0.33148797550094433,0.6394891286524098,0.49383848176410344
subj07,hV4,4,O4,B:T,naturalistic,0.9964794417332012,0.0062505519252739694,1,0.035462915163276335,0.99195205234052,0.9141971534722779,0.8525538822250642
subj07,hV4,5,O0,A:V,simple,0.9323665499687195,0.0,1,0.20465722680091858,0.9091985821723938,0.49096179008483887,0.7322828769683838
subj07,hV4,5,O0,B:W,naturalistic,0.9290277361869812,0.0,1,0.28268685936927795,0.9084521532058716,0.7747694849967957,0.5798608064651489
subj07,hV4,5,O1,A:V,simple,0.9442363977432251,0.0,1,0.17484711110591888,0.9192695617675781,0.4533008933067322,0.7781891226768494
subj07,hV4,5,O1,B:W,naturalistic,0.9305078387260437,0.0,1,0.28682294487953186,0.905433714389801,0.7726479172706604,0.5788862109184265
subj07,hV4,5,O2,A:V,simple,0.9312722086906433,51.79474679231202,1,0.19755849242210388,0.9117733836174011,0.4785826802253723,0.7418048977851868
subj07,hV4,5,O2,B:W,naturalistic,0.9247217178344727,51.79474679231202,1,0.2794552743434906,0.9099417328834534,0.7663794755935669,0.5821470022201538
subj07,hV4,5,O3,A:V,simple,0.8752773375058988,0.5689866029018293,5,0.18846410301158187,0.9371488788625874,-0.9741150345583582,1.1954357625857503
subj07,hV4,5,O3,B:W,naturalistic,0.8732711675211235,0.5689866029018293,5,0.26080324977820385,0.8849764255917099,0.40025843661878335,0.675246513752024
subj07,hV4,5,O4,A:V,simple,0.9324239587733993,10000.0,2,0.20433226235827806,0.9093767462728428,0.49159365571950475,0.7324634371491925
subj07,hV4,5,O4,B:W,naturalistic,0.9289875552033213,10000.0,2,0.28260942290065616,0.9084631740076538,0.774587751028231,0.5799591834108871
subj07,ventral,0,O0,A:E,simple,0.735710859298706,0.0,1,0.1938096284866333,0.9029194712638855,0.5409566164016724,0.8076653480529785
subj07,ventral,0,O0,B:B,naturalistic,0.7896727919578552,0.0,1,0.2149803787469864,0.8862434029579163,0.6064823865890503,0.8660488724708557
subj07,ventral,0,O1,A:E,simple,0.7252406477928162,0.0,1,0.19206342101097107,0.9001297950744629,0.5258527994155884,0.8522018194198608
subj07,ventral,0,O1,B:B,naturalistic,0.770043134689331,0.0,1,0.22343677282333374,0.8812328577041626,0.5899150371551514,0.8840821981430054
subj07,ventral,0,O2,A:E,simple,0.7341538667678833,11.513953993264458,1,0.18849553167819977,0.9028171896934509,0.5389590263366699,0.8430307507514954
subj07,ventral,0,O2,B:B,naturalistic,0.7919952273368835,11.513953993264458,1,0.20796069502830505,0.8899698853492737,0.620459794998169,0.8926153779029846
subj07,ventral,0,O3,A:E,simple,0.616268712400901,0.0001,2,0.30734356548431496,0.8632324860155147,0.27735084668361476,1.0923917616990575
subj07,ventral,0,O3,B:B,naturalistic,0.6795330601673503,0.0001,2,0.7854914448430141,0.8259218683858288,-0.2326352720972682,1.5097627525117832
subj07,ventral,0,O4,A:E,simple,0.7660948471241554,0.0001,1,0.1777613159858473,0.9142048207326838,0.5803742700555411,0.7978782905529131
subj07,ventral,0,O4,B:B,naturalistic,0.8386737398302981,0.0001,1,0.16314090852169802,0.916062082429595,0.700874933119769,0.9641306797436812
subj07,ventral,1,O0,A:H,simple,0.6644694209098816,0.0,1,0.24728649854660034,0.8707218170166016,0.42625659704208374,0.9444964528083801
subj07,ventral,1,O0,B:C,naturalistic,0.7120571732521057,0.0,1,0.4771103262901306,0.7534101605415344,0.4960411787033081,0.9649214744567871
subj07,ventral,1,O1,A:H,simple,0.652555525302887,0.0,1,0.2675826847553253,0.8670076727867126,0.3960431218147278,1.0058770179748535
subj07,ventral,1,O1,B:C,naturalistic,0.7816585898399353,0.0,1,0.37455299496650696,0.8069966435432434,0.6004709601402283,0.967609167098999
subj07,ventral,1,O2,A:H,simple,0.6902811527252197,7.9060432109076855,1,0.23227453231811523,0.8804482221603394,0.4678678512573242,0.9668400287628174
