participant,ROI,direction,model,held_out_r
subj04,V2,naturalistic_to_simple,O3,0.6883140658590116
subj04,V2,naturalistic_to_simple,O4,0.8443738498973041
subj04,V3,simple_to_naturalistic,O0,0.6434479833890995
subj04,V3,simple_to_naturalistic,O1,0.6205092581609885
subj04,V3,simple_to_naturalistic,O2,0.643472750360767
subj04,V3,simple_to_naturalistic,O3,0.594837139343287
subj04,V3,simple_to_naturalistic,O4,0.6469796064193604
subj04,V3,naturalistic_to_simple,O0,0.8206555942694346
subj04,V3,naturalistic_to_simple,O1,0.8340612848599752
subj04,V3,naturalistic_to_simple,O2,0.8219296733538309
subj04,V3,naturalistic_to_simple,O3,0.7631669088499059
subj04,V3,naturalistic_to_simple,O4,0.8179421567549939
subj04,hV4,simple_to_naturalistic,O0,-0.0008961562222490708
subj04,hV4,simple_to_naturalistic,O1,-0.04657947520414988
subj04,hV4,simple_to_naturalistic,O2,0.24321074415153512
subj04,hV4,simple_to_naturalistic,O3,0.05807481764104036
subj04,hV4,simple_to_naturalistic,O4,0.15364363481281784
subj04,hV4,naturalistic_to_simple,O0,0.5862620001037916
subj04,hV4,naturalistic_to_simple,O1,0.5795511081814766
subj04,hV4,naturalistic_to_simple,O2,0.5863598336776098
subj04,hV4,naturalistic_to_simple,O3,0.7046991178688179
subj04,hV4,naturalistic_to_simple,O4,0.6580650791127634
subj04,ventral,simple_to_naturalistic,O0,0.3206697969386975
subj04,ventral,simple_to_naturalistic,O1,0.3043702964981397
subj04,ventral,simple_to_naturalistic,O2,0.317086448892951
subj04,ventral,simple_to_naturalistic,O3,0.37725253666087366
subj04,ventral,simple_to_naturalistic,O4,0.32116669104121365
subj04,ventral,naturalistic_to_simple,O0,0.5157609631617864
subj04,ventral,naturalistic_to_simple,O1,0.5242533634106318
subj04,ventral,naturalistic_to_simple,O2,0.5102444142103195
subj04,ventral,naturalistic_to_simple,O3,0.5900480553665547
subj04,ventral,naturalistic_to_simple,O4,0.49257124569097915
subj04,lateral,simple_to_naturalistic,O0,0.4664806028207143
subj04,lateral,simple_to_naturalistic,O1,0.4672822852929433
subj04,lateral,simple_to_naturalistic,O2,0.4497962047656377
subj04,lateral,simple_to_naturalistic,O3,0.2278393681059898
subj04,lateral,simple_to_naturalistic,O4,0.4626866448405325
subj04,lateral,naturalistic_to_simple,O0,0.8183498680591583
subj04,lateral,naturalistic_to_simple,O1,0.7880868415037791
subj04,lateral,naturalistic_to_simple,O2,0.8165126840273539
subj04,lateral,naturalistic_to_simple,O3,0.8148215447404805
subj04,lateral,naturalistic_to_simple,O4,0.8173186770549741
subj04,parietal,simple_to_naturalistic,O0,0.46534295566380024
subj04,parietal,simple_to_naturalistic,O1,0.447775112465024
subj04,parietal,simple_to_naturalistic,O2,0.46532408768932026
subj04,parietal,simple_to_naturalistic,O3,0.3759542712945645
subj04,parietal,simple_to_naturalistic,O4,0.468060661689206
subj04,parietal,naturalistic_to_simple,O0,0.6251027484734853
subj04,parietal,naturalistic_to_simple,O1,0.630196655790011
subj04,parietal,naturalistic_to_simple,O2,0.6250794430573782
subj04,parietal,naturalistic_to_simple,O3,0.6109442863575589
subj04,parietal,naturalistic_to_simple,O4,0.6255770774652556
subj05,V1,simple_to_naturalistic,O0,0.34121112525463104
subj05,V1,simple_to_naturalistic,O1,0.46386198202768963
subj05,V1,simple_to_naturalistic,O2,-0.22619046891729036
subj05,V1,simple_to_naturalistic,O3,0.3372210852833719
subj05,V1,simple_to_naturalistic,O4,-0.0320615164515947
subj05,V1,naturalistic_to_simple,O0,0.8926761051019033
subj05,V1,naturalistic_to_simple,O1,0.8864130675792694
subj05,V1,naturalistic_to_simple,O2,0.8926451106866201
subj05,V1,naturalistic_to_simple,O3,0.8565050706015148
subj05,V1,naturalistic_to_simple,O4,0.8923585048388762
subj05,V2,simple_to_naturalistic,O0,0.826856791973114
subj05,V2,simple_to_naturalistic,O1,0.8654454052448273
subj05,V2,simple_to_naturalistic,O2,0.8269411226113638
subj05,V2,simple_to_naturalistic,O3,0.5015765436397324
subj05,V2,simple_to_naturalistic,O4,0.8270377816564336
subj05,V2,naturalistic_to_simple,O0,0.9515305658181509
subj05,V2,naturalistic_to_simple,O1,0.961474229892095
subj05,V2,naturalistic_to_simple,O2,0.9515327215194702
subj05,V2,naturalistic_to_simple,O3,0.9098654114147716
subj05,V2,naturalistic_to_simple,O4,0.9507545075120144
subj05,V3,simple_to_naturalistic,O0,0.5366629784305891
subj05,V3,simple_to_naturalistic,O1,0.5450932582219442
subj05,V3,simple_to_naturalistic,O2,0.5367403775453568
subj05,V3,simple_to_naturalistic,O3,0.4834237290691547
subj05,V3,simple_to_naturalistic,O4,0.41369770870263683
subj05,V3,naturalistic_to_simple,O0,0.8356577257315317
subj05,V3,naturalistic_to_simple,O1,0.8443042238553365
subj05,V3,naturalistic_to_simple,O2,0.8356517752011617
subj05,V3,naturalistic_to_simple,O3,0.8621698598671591
subj05,V3,naturalistic_to_simple,O4,0.8357662256730517
subj05,hV4,simple_to_naturalistic,O0,0.17078222210208574
subj05,hV4,simple_to_naturalistic,O1,0.30421146750450134
subj05,hV4,simple_to_naturalistic,O2,0.1718659233301878
subj05,hV4,simple_to_naturalistic,O3,0.2948283517398699
subj05,hV4,simple_to_naturalistic,O4,0.17065124804261933
subj05,hV4,naturalistic_to_simple,O0,0.7107769846916199
subj05,hV4,naturalistic_to_simple,O1,0.73458664615949
subj05,hV4,naturalistic_to_simple,O2,0.722532053788503
subj05,hV4,naturalistic_to_simple,O3,0.7436975054363605
subj05,hV4,naturalistic_to_simple,O4,0.7112119235607172
subj05,ventral,simple_to_naturalistic,O0,0.5279708653688431
subj05,ventral,simple_to_naturalistic,O1,0.5427185793717703
subj05,ventral,simple_to_naturalistic,O2,0.5144010384877523
subj05,ventral,simple_to_naturalistic,O3,0.4755320278719856
