participant,ROI,outer_fold,identity,family,residual_norm
subj03,ventral,3,B:K,naturalistic,9.089236042646478
subj03,ventral,4,A:R,simple,7.383971796340666
subj03,ventral,4,B:T,naturalistic,12.35642950079957
subj03,ventral,5,A:V,simple,8.790880077964914
subj03,ventral,5,B:W,naturalistic,8.527296116993785
subj03,lateral,0,A:E,simple,11.238067991329043
subj03,lateral,0,B:B,naturalistic,9.705842594553316
subj03,lateral,1,A:H,simple,8.827434873671482
subj03,lateral,1,B:C,naturalistic,10.709043002451637
subj03,lateral,2,A:L,simple,9.542062829456007
subj03,lateral,2,B:D,naturalistic,12.050981568267149
subj03,lateral,3,A:P,simple,10.189993269248031
subj03,lateral,3,B:K,naturalistic,10.499207595063206
subj03,lateral,4,A:R,simple,9.050631123031357
subj03,lateral,4,B:T,naturalistic,9.229632222036958
subj03,lateral,5,A:V,simple,9.361894303529082
subj03,lateral,5,B:W,naturalistic,8.47600565971486
subj03,parietal,0,A:E,simple,10.104536883801378
subj03,parietal,0,B:B,naturalistic,12.550575850970613
subj03,parietal,1,A:H,simple,6.184837684762823
subj03,parietal,1,B:C,naturalistic,12.486961382413728
subj03,parietal,2,A:L,simple,9.765899195193615
subj03,parietal,2,B:D,naturalistic,6.538067468451274
subj03,parietal,3,A:P,simple,8.4822519543192
subj03,parietal,3,B:K,naturalistic,5.731743277973182
subj03,parietal,4,A:R,simple,6.307990436681207
subj03,parietal,4,B:T,naturalistic,6.63124233279584
subj03,parietal,5,A:V,simple,7.528071967714294
subj03,parietal,5,B:W,naturalistic,11.262624232357066
subj04,V1,0,A:E,simple,1.0216763000363165
subj04,V1,0,B:B,naturalistic,0.6818438457686733
subj04,V1,1,A:H,simple,0.8957848729589152
subj04,V1,1,B:C,naturalistic,2.1581660519160852
subj04,V1,2,A:L,simple,1.4162010243597607
subj04,V1,2,B:D,naturalistic,1.2751957436689862
subj04,V1,3,A:P,simple,0.45100414385046217
subj04,V1,3,B:K,naturalistic,0.773883978625334
subj04,V1,4,A:R,simple,2.3424480327749198
subj04,V1,4,B:T,naturalistic,2.2743030320250757
subj04,V1,5,A:V,simple,0.8909147574219696
subj04,V1,5,B:W,naturalistic,1.430591531742158
subj04,V2,0,A:E,simple,0.8782762304938095
subj04,V2,0,B:B,naturalistic,0.6421773442165463
subj04,V2,1,A:H,simple,0.5285582213876071
subj04,V2,1,B:C,naturalistic,1.3116483041610663
subj04,V2,2,A:L,simple,1.161531130374465
subj04,V2,2,B:D,naturalistic,0.759505691790065
subj04,V2,3,A:P,simple,0.486379828530124
subj04,V2,3,B:K,naturalistic,1.2437364285852563
subj04,V2,4,A:R,simple,0.8379110880975713
subj04,V2,4,B:T,naturalistic,2.4410693088267155
subj04,V2,5,A:V,simple,0.788430565700273
subj04,V2,5,B:W,naturalistic,0.6382365961084643
subj04,V3,0,A:E,simple,2.1295908135643993
subj04,V3,0,B:B,naturalistic,1.2502583492870503
subj04,V3,1,A:H,simple,2.0920519280613754
subj04,V3,1,B:C,naturalistic,1.8585116886116935
subj04,V3,2,A:L,simple,1.7553020832193609
subj04,V3,2,B:D,naturalistic,1.2607665500155172
subj04,V3,3,A:P,simple,1.3477858941701744
subj04,V3,3,B:K,naturalistic,1.2897916828558773
subj04,V3,4,A:R,simple,1.2432634809710337
subj04,V3,4,B:T,naturalistic,3.577795739523342
subj04,V3,5,A:V,simple,2.919119512343931
subj04,V3,5,B:W,naturalistic,1.0961901345287017
subj04,hV4,0,A:E,simple,1.3856068077224188
subj04,hV4,0,B:B,naturalistic,0.9757818838772634
subj04,hV4,1,A:H,simple,2.219937523796641
subj04,hV4,1,B:C,naturalistic,1.789058107911607
subj04,hV4,2,A:L,simple,2.6070727441909693
subj04,hV4,2,B:D,naturalistic,1.617049353947479
subj04,hV4,3,A:P,simple,1.9407055490156684
subj04,hV4,3,B:K,naturalistic,2.2474783366984883
subj04,hV4,4,A:R,simple,0.9104282523598809
