participant,ROI,model,held_out_r,classification
subj04,hV4,O0,0.5569902552912632,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,hV4,O1,0.5390572908023993,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,hV4,O2,0.5703648291528225,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,hV4,O3,0.6055754517813092,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,hV4,O4,0.5810925967681048,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,ventral,O0,0.5998364153007666,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj04,ventral,O1,0.5828929860144854,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj04,ventral,O2,0.6328584551811218,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj04,ventral,O3,0.6606032814146616,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj04,ventral,O4,0.7494895460917409,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj04,lateral,O0,0.772663394610087,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,lateral,O1,0.7582398901383082,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,lateral,O2,0.7738343675931295,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,lateral,O3,0.6455634422300186,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,lateral,O4,0.7878544641387423,DIAGONAL_REWEIGHTING_SUFFICIENT
subj04,parietal,O0,0.7082889527082443,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj04,parietal,O1,0.6935960352420807,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj04,parietal,O2,0.7085130463043848,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj04,parietal,O3,0.5991870065759178,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj04,parietal,O4,0.7551090193413083,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,V1,O0,0.8409103030959765,DIAGONAL_REWEIGHTING_SUFFICIENT
subj05,V1,O1,0.8163863296310107,DIAGONAL_REWEIGHTING_SUFFICIENT
subj05,V1,O2,0.8386474624276161,DIAGONAL_REWEIGHTING_SUFFICIENT
subj05,V1,O3,0.6789470204819977,DIAGONAL_REWEIGHTING_SUFFICIENT
subj05,V1,O4,0.8434708408292169,DIAGONAL_REWEIGHTING_SUFFICIENT
subj05,V2,O0,0.8623362282911936,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,V2,O1,0.8709655553102493,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,V2,O2,0.8702161411444346,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,V2,O3,0.7523989269495863,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,V2,O4,0.8617551097072574,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,V3,O0,0.703889973461628,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,V3,O1,0.6917497863372167,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,V3,O2,0.6987509205937386,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,V3,O3,0.6483197019451986,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,V3,O4,0.8061635917850346,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,hV4,O0,0.638837818056345,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,hV4,O1,0.636573196699222,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,hV4,O2,0.6518288773174087,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,hV4,O3,0.6054981201595181,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,hV4,O4,0.5791797205362157,NO_REUSABLE_OPERATOR_EVIDENCE
subj05,ventral,O0,0.7557726254065832,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,ventral,O1,0.7590828289588293,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,ventral,O2,0.7600000947713852,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,ventral,O3,0.6317448803155179,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,ventral,O4,0.7932167041784149,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,lateral,O0,0.6625606169303259,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,lateral,O1,0.6615424603223801,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,lateral,O2,0.6592018753290176,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,lateral,O3,0.5080844295116939,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,lateral,O4,0.7289435558853198,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,parietal,O0,0.7734912981589636,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,parietal,O1,0.770536427696546,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,parietal,O2,0.7824473232030869,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,parietal,O3,0.634659418994431,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj05,parietal,O4,0.8101328076886984,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,V1,O0,0.7907964736223221,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V1,O1,0.7835342834393183,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V1,O2,0.7879030257463455,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V1,O3,0.48577842150187184,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V1,O4,0.7888118469751552,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V2,O0,0.8327011863390604,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V2,O1,0.8240917921066284,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V2,O2,0.8241471747557322,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V2,O3,0.608475979918914,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V2,O4,0.8295336348106415,NO_REUSABLE_OPERATOR_EVIDENCE
subj06,V3,O0,0.8072002728780111,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,V3,O1,0.8062049324313799,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,V3,O2,0.8052513475219408,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,V3,O3,0.701622705155787,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,V3,O4,0.867188362274534,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,hV4,O0,0.7605897635221481,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,hV4,O1,0.7519537657499313,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,hV4,O2,0.7555263762672743,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,hV4,O3,0.6818214930740191,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,hV4,O4,0.8246057282202682,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,ventral,O0,0.6348371977607409,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,ventral,O1,0.5978380093971888,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,ventral,O2,0.6392042910059293,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,ventral,O3,0.619510368376664,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,ventral,O4,0.7424651783316197,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,lateral,O0,0.6794937774538994,DIAGONAL_REWEIGHTING_SUFFICIENT
subj06,lateral,O1,0.6652225280801455,DIAGONAL_REWEIGHTING_SUFFICIENT
subj06,lateral,O2,0.6782927165428797,DIAGONAL_REWEIGHTING_SUFFICIENT
subj06,lateral,O3,0.510306818786344,DIAGONAL_REWEIGHTING_SUFFICIENT
subj06,lateral,O4,0.6958108438509448,DIAGONAL_REWEIGHTING_SUFFICIENT
subj06,parietal,O0,0.5257842217882475,FULL_CROSS_VOXEL_OPERATOR_NEEDED
