query_nsd_id,anchor_nsd_id,gt_rank,bucket,confidence,strength,guidance_scale,steps,n_candidates,retrieval_pixcorr,retrieval_ssim,retrieval_psnr,retrieval_lpips,retrieval_clip_image_similarity,retrieval_alexnet2,retrieval_alexnet5,diffusion_pixcorr,diffusion_ssim,diffusion_psnr,diffusion_lpips,diffusion_clip_image_similarity,diffusion_alexnet2,diffusion_alexnet5,delta_pixcorr,delta_ssim,delta_psnr,delta_lpips,delta_clip_image_similarity,delta_alexnet2,delta_alexnet5
25111,72257,5,good,0.05981588363647461,0.2821,3.27,48,16,0.35673938176597747,0.12600894272327423,11.44460972954011,0.5710146427154541,0.7364757657051086,0.5505908131599426,0.45892250537872314,0.35602008899682086,0.14001581072807312,11.536655509310307,0.5658297538757324,0.721766471862793,0.5445073246955872,0.43842536211013794,-0.0007192927691566098,0.01400686800479889,0.09204577977019746,-0.00518488883972168,-0.014709293842315674,-0.006083488464355469,-0.020497143268585205
25268,7944,2,good,0.053369998931884766,0.284,3.24,48,16,0.13057317728463233,0.04379202798008919,9.658177364889816,0.6411982178688049,0.9039890766143799,0.47338390350341797,0.3269091248512268,0.13045091673933187,0.046762753278017044,9.71540762028633,0.6498399972915649,0.8828574419021606,0.46511560678482056,0.32774436473846436,-0.0001222605453004566,0.0029707252979278564,0.057230255396513385,0.00864177942276001,-0.02113163471221924,-0.008268296718597412,0.0008352398872375488
25711,4930,2,good,0.05477142333984375,0.2836,3.25,48,16,-0.19180700606799905,0.16647768020629883,9.454519119187148,0.8017880320549011,0.6132291555404663,0.508255124092102,0.3084096908569336,-0.20295921098477257,0.18321390450000763,9.486395662170695,0.8046619296073914,0.6810130476951599,0.5025345683097839,0.29755914211273193,-0.011152204916773517,0.0167362242937088,0.031876542983546585,0.0028738975524902344,0.0677838921546936,-0.005720555782318115,-0.01085054874420166
26780,8843,4,good,0.0931706428527832,0.272,3.42,47,16,-0.13504446026466138,0.12905842065811157,11.603805451237763,0.6545107364654541,0.691251277923584,0.40864014625549316,0.3886649012565613,-0.13975860793720396,0.16649480164051056,11.676728677610331,0.663536548614502,0.6537021994590759,0.41164249181747437,0.3809087872505188,-0.004714147672542579,0.03743638098239899,0.0729232263725681,0.009025812149047852,-0.03754907846450806,0.003002345561981201,-0.0077561140060424805
27580,33245,2,good,0.005991458892822266,0.2982,3.03,49,16,-0.0936367427640212,0.2481960505247116,10.719766623553468,0.7920253276824951,0.8734042644500732,0.5152478814125061,0.3447485864162445,-0.09390016001110665,0.28446120023727417,10.844749103981592,0.7879635691642761,0.8704109191894531,0.5134896039962769,0.36562398076057434,-0.0002634172470854512,0.03626514971256256,0.12498248042812321,-0.004061758518218994,-0.002993345260620117,-0.001758277416229248,0.020875394344329834
27878,38246,2,good,0.03021419048309326,0.2909,3.14,49,16,-0.03538140379785664,0.13001161813735962,11.962735376387938,0.6601629257202148,0.9332778453826904,0.5050635933876038,0.40589573979377747,-0.04569514571216778,0.1467915177345276,12.071097059791423,0.6948724985122681,0.9245589375495911,0.4867982864379883,0.38067707419395447,-0.010313741914311142,0.01677989959716797,0.10836168340348529,0.03470957279205322,-0.008718907833099365,-0.01826530694961548,-0.025218665599822998
28024,10105,2,good,0.04574549198150635,0.2863,3.21,48,16,0.4865288336678042,0.48091554641723633,13.310790818077153,0.41521549224853516,0.7344996333122253,0.6622834205627441,0.6437489986419678,0.48707892482598075,0.49337875843048096,13.458442992500853,0.41891753673553467,0.7562224268913269,0.6677087545394897,0.6489896178245544,0.0005500911581765577,0.012463212013244629,0.14765217442369938,0.0037020444869995117,0.021722793579101562,0.0054253339767456055,0.00524061918258667
28745,44097,4,good,0.03157484531402588,0.2905,3.14,49,16,-0.1483267208955968,0.07280822843313217,7.9610304118483395,0.5922467708587646,0.7861952185630798,0.45072585344314575,0.3266175389289856,-0.15459814509317407,0.08011078834533691,7.988601528741356,0.6058622598648071,0.8171043395996094,0.43963176012039185,0.2992602586746216,-0.0062714241975772855,0.007302559912204742,0.027571116893016168,0.01361548900604248,0.03090912103652954,-0.011094093322753906,-0.027357280254364014
28751,6640,2,good,0.02538907527923584,0.2924,3.11,49,16,0.08634793283891076,0.0939558818936348,7.49156646889662,0.697930097579956,0.9351896047592163,0.4974229335784912,0.41428571939468384,0.08184976276078178,0.10159898549318314,7.494536895580408,0.6958204507827759,0.9375776052474976,0.49446290731430054,0.4005664885044098,-0.004498170078128985,0.00764310359954834,0.0029704266837882187,-0.0021096467971801758,0.00238800048828125,-0.002960026264190674,-0.013719230890274048
29660,64893,2,good,0.051668405532836914,0.2845,3.23,48,16,0.05574409454054089,0.1519450694322586,6.4607228263230905,0.7217347621917725,0.8484981060028076,0.41029953956604004,0.4007733464241028,0.05475918837126642,0.15573740005493164,6.50879343588487,0.721687912940979,0.8726712465286255,0.4064456820487976,0.3947266936302185,-0.0009849061692744701,0.0037923306226730347,0.048070609561779776,-4.684925079345703e-05,0.02417314052581787,-0.0038538575172424316,-0.006046652793884277
