subject,roi,fold,n_fail,frac_TOTAL_ONLY,frac_FCF_ONLY,frac_BOTH
subj03,lateral,2,342,0.22807017543859648,0.0,0.7719298245614035
subj03,lateral,3,1127,0.0,0.08873114463176575,0.9112688553682342
subj03,lateral,4,389,0.11053984575835475,0.0,0.8894601542416453
subj03,lateral,5,1233,0.0,0.1597729115977291,0.8402270884022709
subj04,lateral,0,950,0.0,0.029473684210526315,0.9705263157894737
subj04,lateral,1,1177,0.38657604078164826,0.0,0.6134239592183517
subj04,lateral,2,1755,0.5635327635327635,0.0,0.43646723646723645
subj04,lateral,3,909,0.2002200220022002,0.0,0.7997799779977998
subj04,lateral,4,2000,0.0,0.6915,0.3085
subj04,lateral,5,1250,0.3808,0.0,0.6192
subj05,lateral,0,1305,0.13026819923371646,0.0,0.8697318007662835
subj05,lateral,1,2005,0.371571072319202,0.0,0.628428927680798
subj05,lateral,2,1990,0.0,0.05025125628140704,0.949748743718593
subj05,lateral,3,1598,0.0,0.10763454317897372,0.8923654568210263
subj05,lateral,4,1416,0.2754237288135593,0.0,0.7245762711864406
subj05,lateral,5,795,0.0,0.07924528301886792,0.9207547169811321
subj06,lateral,0,1239,0.6053268765133172,0.0,0.3946731234866828
subj06,lateral,1,637,0.0,0.02511773940345369,0.9748822605965463
subj06,lateral,2,1677,0.013714967203339297,0.0,0.9862850327966607
subj06,lateral,3,1564,0.0,0.23657289002557544,0.7634271099744245
subj06,lateral,4,873,0.6712485681557846,0.0,0.32875143184421535
subj06,lateral,5,1096,0.03467153284671533,0.0,0.9653284671532847
subj07,lateral,0,196,0.0,0.2755102040816326,0.7244897959183674
subj07,lateral,1,558,0.0,0.3100358422939068,0.6899641577060932
subj07,lateral,2,726,0.06060606060606061,0.0,0.9393939393939394
subj07,lateral,3,196,0.04081632653061224,0.0,0.9591836734693877
subj07,lateral,4,228,0.0,0.08333333333333333,0.9166666666666666
subj07,lateral,5,442,0.2692307692307692,0.0,0.7307692307692307
subj08,lateral,0,2021,0.6224641266699653,0.0,0.37753587333003463
subj08,lateral,1,2039,0.7214320745463463,0.0,0.2785679254536538
subj08,lateral,2,1999,0.7018509254627313,0.0,0.29814907453726863
subj08,lateral,3,2066,0.4801548886737657,0.0,0.5198451113262342
subj08,lateral,4,2302,0.5408340573414422,0.0,0.45916594265855776
subj08,lateral,5,2083,0.5933749399903985,0.0,0.4066250600096015
