subject,roi,pair_idx,pair_d2,pair_win2,pair_out2,comp_d2,comp_win2,comp_out2
subj08,ventral,1,1019.0901718814135,144.48163315601096,874.6085387254028,537.8739206613878,83.52162162082844,454.3522990405595
subj08,ventral,2,1077.6317967855748,206.33272458925342,871.2990721963216,483.86045849930997,85.31394790846038,398.54651059084966
subj08,ventral,3,895.9324553487049,113.94994157360671,781.9825137750981,524.7055390583056,80.54084343448525,444.1646956238204
subj08,ventral,4,1207.8198955304063,171.74162980676692,1036.0782657236393,532.51039317961,100.60114713272637,431.9092460468838
subj08,ventral,5,1493.4633210078184,256.56859001422293,1236.8947309935957,568.2841066827289,103.10999625404105,465.17411042868775
subj08,ventral,6,1346.589229938536,229.128981471745,1117.4602484667912,482.3272205249775,75.69464921201958,406.6325713129579
subj08,ventral,7,1071.2776187029467,205.3985767956737,865.8790419072733,481.2898658891396,67.4517279615317,413.838137927608
subj08,ventral,8,1255.7367658520332,231.25284401399333,1024.4839218380398,441.26723953205345,65.2444071141722,376.0228324178812
subj08,ventral,9,964.8110488601915,201.50112583217896,763.3099230280126,469.97605614049655,67.43030984395622,402.54574629654047
subj08,ventral,10,1213.3992314580005,136.71338337389327,1076.6858480841072,470.74765941914626,73.87067679870334,396.87698262044296
subj08,ventral,11,1300.3603247312737,205.3510546441263,1095.0092700871473,484.4455582329162,74.58071603810441,409.86484219481184
subj08,ventral,12,1361.4183698083918,259.52725962905475,1101.891110179337,421.5922427580984,56.233792721350284,365.3584500367482
subj08,ventral,13,1286.6860937353124,232.77182973373897,1053.9142640015737,538.5619575567066,77.44598406882436,461.11597348788223
subj08,ventral,14,1458.099026268112,288.16133337234044,1169.9376928957718,618.6417352234432,89.09202255643234,529.5497126670109
subj08,ventral,15,1282.7280006388414,250.6307389735544,1032.0972616652873,572.3067598101952,98.56096151779056,473.7457982924047
subj08,ventral,16,1015.3622545337377,175.4092858167362,839.9529687170017,546.6350098041455,83.28665359863035,463.34835620551524
subj08,ventral,17,1485.13782962365,226.48220961020803,1258.655620013442,529.1947532196381,64.59492126060327,464.59983195903493
subj08,ventral,18,1144.1547957036312,195.66032801823326,948.4944676853985,523.2409557870718,73.7341158676921,449.5068399193798
subj08,ventral,19,1051.2734390915311,164.2188430458854,887.0545960456461,486.07149915350936,83.87962254309899,402.1918766104104
subj08,ventral,20,920.4517483983899,134.82702985387013,785.6247185445199,475.5713108598999,73.69749684225025,401.87381401764975
subj08,ventral,21,1205.0517730183328,185.5530412551453,1019.4987317631874,437.5559931120626,54.96721868286796,382.5887744291947
subj08,ventral,22,935.7989292269023,164.23540086273096,771.5635283641714,534.2748943316428,89.3731114949563,444.9017828366865
subj08,ventral,23,1014.5319554863383,199.98796290162517,814.5439925847135,547.0585634772087,86.42924970865307,460.62931376855573
subj08,ventral,24,1195.3161898187025,247.38742662867776,947.928763190025,497.5081579196404,67.32935514102385,430.17880277861667
subj08,ventral,25,1040.6868069398904,148.2004661862374,892.4863407536532,523.1153521842742,94.31408841261106,428.80126377166334
subj08,ventral,26,1384.058959534395,172.0909558019045,1211.9680037324906,491.630270878055,72.60208561038347,419.0281852676715
subj08,ventral,27,1503.9636456957026,307.5662581541993,1196.3973875415033,508.9885689016066,80.73852830334692,428.2500405982597
subj01,lateral,0,128.96579413668917,30.67874434196242,98.2870497947267,65.64218509965937,7.940118461614398,57.702066638044975
subj01,lateral,1,114.63587262115543,25.36237119778681,89.27350142336859,62.762947278530206,8.344839855167354,54.41810742336284
subj01,lateral,2,109.11851299435024,22.116149146483824,87.00236384786639,63.59809455773934,9.371922360506113,54.22617219723321
subj01,lateral,3,133.6977313849054,30.775756641507,102.92197474339835,61.95409258484224,8.145217555863177,53.80887502897907
subj01,lateral,4,135.61677551715988,24.376588744157413,111.24018677300246,58.35323563781833,9.531122937888163,48.822112699930145
subj01,lateral,5,133.52162306036203,28.37566274128858,105.14596031907345,63.03749472359499,8.849101323290554,54.188393400304435
subj01,lateral,6,171.87640277236662,40.24819821061617,131.62820456175044,55.73217195979552,6.897110777077771,48.835061182717745
subj01,lateral,7,97.978006176947,19.158097986982067,78.8199081899649,74.01031608119844,12.732415224143654,61.277900857054796
subj01,lateral,8,89.22637195278566,16.21797121476837,73.00840073801726,74.4860995162569,13.793508316047895,60.692591200209
subj01,lateral,9,86.13834690269533,16.43964763807672,69.69869926461863,69.76795938328807,11.629255614547743,58.13870376874033
subj01,lateral,10,101.54290628670675,11.77457648825357,89.76832979845315,67.6654930197927,13.207838412964565,54.45765460682814
subj01,lateral,11,82.9779618151133,11.246732758685328,71.73122905642796,70.51977521503655,12.0228259398448,58.496949275191724
subj01,lateral,12,129.02333065123167,22.224525497561046,106.7988051536706,64.06896235391638,9.971419534692917,54.097542819223456
subj01,lateral,13,98.98628314630395,10.625835127838874,88.36044801846504,74.28350977391128,14.167589382628194,60.11592039128307
subj01,lateral,14,90.15399714040487,11.48629789502238,78.66769924538247,68.92711842363039,12.074312941558622,56.85280548207176
subj01,lateral,15,115.2865475441943,12.212775477761499,103.0737720664328,67.90553995122146,14.251956710260137,53.65358324096131
subj01,lateral,16,85.01078595744727,11.604805987119452,73.40597997032778,69.45862024478153,13.05804137479884,56.4005788699827
subj01,lateral,17,127.88990959900889,19.500833914436882,108.38907568457196,62.656002362043964,10.664216657251593,51.99178570479238
subj01,lateral,18,101.21433232370119,14.295494746467707,86.91883757723349,71.6042317928508,13.77421976942497,57.83001202342581
subj01,lateral,19,106.24696697748467,8.80091922575666,97.446047751728,68.34932934821899,15.260635415520914,53.08869393269805
subj01,lateral,20,84.45144673459417,7.957581118565184,76.49386561602901,70.84465867998537,14.040568011554129,56.80409066843122
subj01,lateral,21,115.11278278718115,13.053927419363681,102.05885536781746,62.684508842917246,11.335667557726989,51.34884128519026
subj01,lateral,22,121.67373108025957,13.369259225105218,108.30447185515436,65.68838801001297,13.579345333580791,52.10904267643217
subj01,lateral,23,96.31999399798035,11.635493089983191,84.68450090799716,67.78835991518059,12.260341482066162,55.528018433114426
subj01,lateral,24,128.0525716807112,19.345834331661546,108.70673734904963,59.74723692590626,9.845884910559016,49.90135201534724
subj01,lateral,25,129.2393707273606,15.582353942675953,113.6570167846846,67.6319843678373,14.795805614095862,52.836178753741436
subj01,lateral,26,149.1947325485004,17.798922746390446,131.39580980210994,58.282281838386204,11.770929882814947,46.51135195557124
subj01,lateral,27,151.68979155962234,21.181556966316247,130.50823459330607,63.47656442059839,11.020414959638968,52.456149460959416
subj02,lateral,0,208.30359212170123,35.83656418388274,172.46702793781841,93.42516959959704,15.95150129082079,77.47366830877625
subj02,lateral,1,158.8086750019042,24.232970835926757,134.57570416597747,93.40082662138373,14.688850646514751,78.71197597486896
subj02,lateral,2,140.52275566844048,21.273363468154972,119.24939220028551,95.84032197069251,16.710469123136324,79.12985284755615
subj02,lateral,3,133.70748292315727,20.515856280546853,113.19162664261044,94.29751818786673,16.41892583879261,77.87859234907413
subj02,lateral,4,152.9791338791091,25.44860827439466,127.53052560471443,87.66785380588823,14.974136674981441,72.69371713090676
subj02,lateral,5,123.26702498457942,13.985107625318056,109.28191735926137,95.57979953743313,17.83105717199009,77.74874236544302
