subject,roi,fold,Q_RES_NATIVE,Q_RES_IN,Q_RES_OUT
subj02,lateral,5,0.3028736587504688,0.42258847787022547,0.29268617886584924
subj03,lateral,0,0.2844949403617201,0.5321772665716311,0.24626034324616902
subj03,lateral,1,0.29657318942601313,0.48839689889771504,0.27139883392097613
subj03,lateral,2,0.299683207870438,0.4778090085720779,0.27805413961438785
subj03,lateral,3,0.2763324947610704,0.5061704649093014,0.2387859642388775
subj03,lateral,4,0.31989938027436443,0.5995730000884982,0.26355616762299944
subj03,lateral,5,0.29342746456651003,0.5320211338560449,0.2574088383220229
subj04,lateral,0,0.20089763477985254,0.3767099702016235,0.183511903877886
subj04,lateral,1,0.25420924148831353,0.4220093456835491,0.2371412383297821
subj04,lateral,2,0.2285203326342724,0.43565819571372977,0.20710978898077342
subj04,lateral,3,0.22878469276921984,0.38253391329515046,0.21595174706412942
subj04,lateral,4,0.22761934225301073,0.40058112292977627,0.21125066615483365
subj04,lateral,5,0.2531314020112097,0.48481951418497193,0.22148594664800084
subj05,lateral,0,0.18106800080185909,0.32134647559843516,0.1699881639943605
subj05,lateral,1,0.17078781556047223,0.3656155328037773,0.15152338770233334
subj05,lateral,2,0.1771400972918186,0.33177994804535,0.16577180777149944
subj05,lateral,3,0.1962218900263929,0.4067878423074313,0.17264696104635097
subj05,lateral,4,0.170166928274097,0.3248635892014525,0.15691636383533555
subj05,lateral,5,0.1829464734104357,0.36131045807297457,0.16780082102158828
subj06,lateral,0,0.22478997336208734,0.3452349435152601,0.21841658796076988
subj06,lateral,1,0.23282299748450028,0.30189089287686377,0.2356754222029081
subj06,lateral,2,0.20099718828985277,0.2761449301780202,0.20367848313403336
subj06,lateral,3,0.21030529003600948,0.2812563531019843,0.21163901756583783
subj06,lateral,4,0.23594146247274222,0.3648703994675521,0.22912787354631706
subj06,lateral,5,0.2038863075125151,0.2820355580522228,0.20483228186925348
subj07,lateral,0,0.3203145927158378,0.44436728492146044,0.30654004405780994
subj07,lateral,1,0.2972748232560661,0.3418117850192908,0.302847104034927
subj07,lateral,2,0.2612722848322913,0.3111361233716657,0.26507202273996716
