subject,roi,fold,component,median_Q_success,median_Q_fail
subj06,ventral,3,IN,0.3523462225854778,0.3194928234444946
subj06,ventral,3,OUT,0.3349857198343048,0.27351051223020817
subj06,ventral,4,IN,0.3560862099801456,0.30790595035092866
subj06,ventral,4,OUT,0.34599981572752525,0.2462137926046838
subj06,ventral,5,IN,0.33216874721357714,0.31260754719915607
subj06,ventral,5,OUT,0.32705698903182934,0.26364363219766007
subj07,ventral,0,IN,0.337458571138506,0.3263232072269952
subj07,ventral,0,OUT,0.3967830566129502,0.26806084379883166
subj07,ventral,1,IN,0.36664973214837493,0.3595319566260392
subj07,ventral,1,OUT,0.39548364831907223,0.2877382746225671
subj07,ventral,2,IN,0.34299882835140766,0.28076889743261385
subj07,ventral,2,OUT,0.3950018560743729,0.354474996246789
subj07,ventral,3,IN,0.3653536400115912,0.3052064032465942
subj07,ventral,3,OUT,0.3895621942624571,0.2731895237426458
subj07,ventral,4,IN,0.34062071618497747,0.3077670160207921
subj07,ventral,4,OUT,0.38589115129060225,0.3438234961208442
subj07,ventral,5,IN,0.3200084117596418,0.2896623234530529
subj07,ventral,5,OUT,0.36286311628670787,0.30774259248065927
subj08,ventral,0,IN,0.4353770012321768,0.4219193280211917
subj08,ventral,0,OUT,0.19515427953740871,0.17430013376279113
subj08,ventral,1,IN,0.45249280066815156,0.4430857316249903
subj08,ventral,1,OUT,0.24256675808398093,0.22123105544624377
subj08,ventral,2,IN,0.433810012026007,0.43601134765785976
subj08,ventral,2,OUT,0.21758659999668953,0.21463195831619009
subj08,ventral,3,IN,0.4559424027281711,0.44176062865494686
subj08,ventral,3,OUT,0.24391521197707677,0.23370604546402424
subj08,ventral,4,IN,0.43190512815371185,0.45013977834410657
subj08,ventral,4,OUT,0.20125382290382662,0.24839144679452319
subj08,ventral,5,IN,0.4715699616300265,0.4593629940702516
subj08,ventral,5,OUT,0.20161037721181882,0.20849534876781795
subj01,lateral,0,IN,0.6551416776605355,0.6453174563439776
subj01,lateral,0,OUT,0.4059372255203571,0.3269160173459606
subj01,lateral,1,IN,0.6408159553275924,0.6296984522568285
subj01,lateral,1,OUT,0.4332475973723645,0.36638631080020767
subj01,lateral,2,IN,0.6338291731760851,0.6047574361743625
subj01,lateral,2,OUT,0.3955867924644375,0.2781932776080086
subj01,lateral,3,IN,0.6510182883241806,0.6529040960744965
subj01,lateral,3,OUT,0.394472073959841,0.3377237476150042
subj01,lateral,4,IN,0.6464764958279994,0.6379598329765206
subj01,lateral,4,OUT,0.40238434035179305,0.29995109318031155
subj01,lateral,5,IN,0.6565657461442865,0.6568844804945686
subj01,lateral,5,OUT,0.4195970549743989,0.3240134508721932
subj02,lateral,0,IN,0.6510351531218055,0.6286921364600551
subj02,lateral,0,OUT,0.3867473395643998,0.3068120270575811
subj02,lateral,1,IN,0.6297102775326582,0.6008202047895
subj02,lateral,1,OUT,0.4026240649310866,0.3206502254559377
subj02,lateral,2,IN,0.6573124030263852,0.6148228622719767
subj02,lateral,2,OUT,0.4431701762209259,0.31701154939570997
subj02,lateral,3,IN,0.6616779682251368,0.6113465136207463
subj02,lateral,3,OUT,0.4273574145650148,0.29927505862148474
subj02,lateral,4,IN,0.6436689301999998,0.6345106476861337
subj02,lateral,4,OUT,0.40938947027595574,0.3996432284712382
subj02,lateral,5,IN,0.6429465261293867,0.6097948848775977
