subject,roi,repeat_position,cos2_native,cos2_within,cos2_outside
subj02,lateral,2,0.2380267513735264,0.48766300353386666,0.21529796327596884
subj02,lateral,3,0.24353317267531907,0.421778776100627,0.21787327620723343
subj02,lateral,4,0.26556105732614893,0.49467646527527886,0.24310806978674454
subj02,lateral,5,0.20689469400964597,0.34961575222043456,0.1937372149106883
subj02,lateral,6,0.18747608323037188,0.26330343768424747,0.1825386166835548
subj02,lateral,7,0.06778299529538165,0.18477749845397107,0.06621913302037605
subj03,lateral,0,0.1683830141702994,0.47078521643786286,0.13956505013221532
subj03,lateral,1,0.16689768313318798,0.35333220547071553,0.14369950978098378
subj03,lateral,2,0.2585521017199724,0.42323345860407136,0.2392345989988936
subj03,lateral,3,0.2514469428526688,0.5226757285513101,0.21078295519071388
subj03,lateral,4,0.21591744860285153,0.5466046527139145,0.17406811642700032
subj03,lateral,5,0.21978577245169525,0.41404107385009015,0.18828252193780576
subj03,lateral,6,0.17772230024953226,0.4345492870942861,0.15393074214780564
subj03,lateral,7,0.12269170840971062,0.4186145768106142,0.08776387118947489
subj04,lateral,0,0.10561420487887815,0.2654830816875051,0.09136186301718571
subj04,lateral,1,0.2118404022671679,0.44820396396646406,0.19022746186831152
subj04,lateral,2,0.18453050641461016,0.23139344020738575,0.18499230705352762
subj04,lateral,3,0.25107850723284325,0.3448663307855863,0.24409659010345752
subj04,lateral,4,0.16394397135122665,0.3104179611780871,0.14772401941103852
subj04,lateral,5,0.08699422956254736,0.1219762691045565,0.08673507432836643
subj04,lateral,6,0.07884954439810368,0.3133686735558058,0.06551549545382293
subj04,lateral,7,0.08592349446994729,0.2507564443443475,0.0671229162589502
subj05,lateral,0,0.06790369470127744,0.2047638459868124,0.06811290567900628
subj05,lateral,1,0.12365995204323603,0.28464385110448914,0.11785185035449992
subj05,lateral,2,0.14349911974581417,0.31837070610919793,0.12047955477293085
subj05,lateral,3,0.16128348378934976,0.3509071318040423,0.14487884537045181
subj05,lateral,4,0.1226473648470336,0.26301933117330945,0.11023497742591411
subj05,lateral,5,0.18206684267633072,0.2685881223816756,0.17856757954644845
subj05,lateral,6,0.137107839840729,0.28563956925117473,0.1289664628689589
subj05,lateral,7,0.07848525656953534,0.23859551792801775,0.07287502526469124
subj06,lateral,0,0.1363835448717427,0.3483351712171936,0.11993360250361321
subj06,lateral,1,0.1971193872525756,0.29696970255236543,0.1892933722066369
subj06,lateral,2,0.20366442377692467,0.40301186660584304,0.18881479691580166
subj06,lateral,3,0.16248242948100267,0.2542743868958873,0.15942824190920368
subj06,lateral,4,0.14191294163567333,0.20477414633968913,0.15458532512771372
subj06,lateral,5,0.11774139804683881,0.30046333035888234,0.11545041343485293
subj06,lateral,6,0.12181782730391451,0.21215103907494176,0.11571748995687917
subj06,lateral,7,0.11203612585746417,0.30721958648336595,0.09395640346790993
subj07,lateral,0,0.1777638849665848,0.3194329270651878,0.17328228771276338
subj07,lateral,1,0.20752788072333414,0.27590340238324074,0.21555832693023014
subj07,lateral,2,0.34733964628417835,0.4699716903042468,0.32651588601124704
subj07,lateral,3,0.23481200473945057,0.4271877402317491,0.21633178717414117
subj07,lateral,4,0.3256173565011978,0.48172026033867227,0.2925791305728954
subj07,lateral,5,0.2458073092066207,0.4178373684538199,0.222155297102061
subj07,lateral,6,0.18970774273569196,0.31721015328392677,0.18886392541894972
subj07,lateral,7,0.1772134623605583,0.40475959309950815,0.14926257313097327
subj08,lateral,0,0.025322017365731912,0.0392890421718871,0.028433408976678988
subj08,lateral,1,0.12512538197979306,0.13926210924647925,0.12661800182937696
subj08,lateral,2,0.17653286618615324,0.20968763639350932,0.17347017235492276
subj08,lateral,3,0.22032505185358736,0.2415826541712554,0.2250486148625936
subj08,lateral,4,0.2002087679894863,0.17364410323424972,0.21268258051986036
subj08,lateral,5,0.1121214105754809,0.24793014166478722,0.09651923512675382
subj08,lateral,6,0.08588677970619493,0.18182586314705262,0.0804773736632726
subj08,lateral,7,0.11557062384396175,0.1537075402521957,0.1150836150842292
