subject,roi,family,component,fold,R0,R_PRIOR,R_CORR,R_NULL_mean,E_NATIVE,R_ORACLE
subj08,ventral,behavior,OUT,2,0.08242595104951156,0.005247127021545365,0.006627494426541819,0.0072133042471975994,-0.0005858098206557808,0.27250574749605994
subj08,ventral,behavior,OUT,3,0.10113737392592892,0.007776006646504978,0.008883660617858091,0.007148627478320597,0.001735033139537494,0.1813429995348245
subj08,ventral,behavior,OUT,4,0.05034875602711626,0.006544295838880235,0.0029505695249465304,0.0066028389777265765,-0.003652269452780046,0.3506484066421294
subj08,ventral,behavior,OUT,5,0.055102901016561324,0.0020631993929177608,0.00970129510373418,0.008216446587417459,0.0014848485163167207,0.2569531168326441
subj01,lateral,anatomy,IN,0,0.12951659164603532,0.08935337964506782,0.09479476069410137,0.09316543681438605,0.0016293238797153164,0.14774079683645225
subj01,lateral,anatomy,IN,1,0.11338771962475133,0.06294073956469434,0.04975684269236239,0.05576619070615066,-0.006009348013788267,0.13888865063819256
subj01,lateral,anatomy,IN,2,0.09944987000629948,0.07961912274386526,0.07666995728294494,0.08409251156615703,-0.0074225542832120905,0.1412214367356899
subj01,lateral,anatomy,IN,3,0.15490599365820598,0.1106549841543841,0.11718510214777311,0.11949581812827315,-0.0023107159805000332,0.18282881267723916
subj01,lateral,anatomy,IN,4,0.13724521381212826,0.10392677893033642,0.11399867219276932,0.11753843626109543,-0.0035397640683261095,0.1664787368900539
subj01,lateral,anatomy,IN,5,0.1211943040943988,0.08095039388210687,0.09479790528815912,0.08901320714862924,0.0057846981395298785,0.13638886774829867
subj01,lateral,anatomy,OUT,0,0.12951659164603532,0.008882074114850565,0.010389240916422435,0.007348929086860506,0.003040311829561929,0.5523747889844164
subj01,lateral,anatomy,OUT,1,0.11338771962475133,0.008932549549532542,0.005906411940785745,0.00423813476011921,0.0016682771806665348,0.5833479535514439
subj01,lateral,anatomy,OUT,2,0.09944987000629948,0.007409011389434662,0.002003517710287722,0.005411898548338862,-0.00340838083805114,0.6232122793799261
subj01,lateral,anatomy,OUT,3,0.15490599365820598,0.0023200503468576617,0.006985502400044939,0.008965100706870044,-0.0019795983068251043,0.5138246286236525
subj01,lateral,anatomy,OUT,4,0.13724521381212826,0.0074656333153647544,0.00423676619961005,0.0022532452336568374,0.0019835209659532127,0.6056944653911113
subj01,lateral,anatomy,OUT,5,0.1211943040943988,0.01064321606321078,0.010960987025101952,0.009006369404564061,0.0019546176205378907,0.6592199105787035
subj01,lateral,behavior,IN,0,0.12951659164603532,0.08935337964506782,0.09375346399144516,0.09964034687316109,-0.0058868828817159324,0.14774079683645225
subj01,lateral,behavior,IN,1,0.11338771962475133,0.06294073956469434,0.07227137725200358,0.07343144150286351,-0.0011600642508599324,0.13888865063819256
subj01,lateral,behavior,IN,2,0.09944987000629948,0.07961912274386526,0.06806901511420368,0.10024139501464846,-0.032172379900444775,0.1412214367356899
subj01,lateral,behavior,IN,3,0.15490599365820598,0.1106549841543841,0.11675930522676742,0.1258994106373898,-0.009140105410622379,0.18282881267723916
subj01,lateral,behavior,IN,4,0.13724521381212826,0.10392677893033642,0.11849831930868751,0.11698221452271042,0.0015161047859770932,0.1664787368900539
subj01,lateral,behavior,IN,5,0.1211943040943988,0.08095039388210687,0.0983548751123523,0.09223450653053118,0.00612036858182112,0.13638886774829867
subj01,lateral,behavior,OUT,0,0.12951659164603532,0.008882074114850565,0.004548167576888096,0.005521875101231561,-0.0009737075243434652,0.5523747889844164
subj01,lateral,behavior,OUT,1,0.11338771962475133,0.008932549549532542,0.0030438227490150412,0.006773991539064045,-0.003730168790049004,0.5833479535514439
subj01,lateral,behavior,OUT,2,0.09944987000629948,0.007409011389434662,0.005195453110648973,0.0050933654569185645,0.00010208765373040819,0.6232122793799261
subj01,lateral,behavior,OUT,3,0.15490599365820598,0.0023200503468576617,0.005586627276617073,0.005706666721727792,-0.00012003944511071885,0.5138246286236525
subj01,lateral,behavior,OUT,4,0.13724521381212826,0.0074656333153647544,0.004375723628731149,0.0031831402059819243,0.001192583422749225,0.6056944653911113
subj01,lateral,behavior,OUT,5,0.1211943040943988,0.01064321606321078,0.007837797664914044,0.006361037533358846,0.0014767601315551987,0.6592199105787035
subj02,lateral,anatomy,IN,0,0.1504794182831691,0.06580621070047023,0.09990638680860131,0.08094217686412918,0.018964209944472135,0.17107886394523356
subj02,lateral,anatomy,IN,1,0.11251160313859357,0.0766827046804424,0.07570949961185754,0.08397771230235769,-0.008268212690500154,0.11299291085748214
subj02,lateral,anatomy,IN,2,0.13477055014787254,0.0958024680374632,0.07409456637379004,0.11103440765335085,-0.036939841279560806,0.14548852545943608
subj02,lateral,anatomy,IN,3,0.0893491128561634,0.11277636042165104,0.12348114196488713,0.1264484526965738,-0.0029673107316866565,0.19652956031736285
subj02,lateral,anatomy,IN,4,0.1178729713164479,0.1067470648204901,0.11655932988556957,0.10555486007395895,0.011004469811610615,0.1298285203234755
subj02,lateral,anatomy,IN,5,0.0889581519676716,0.09396952234665593,0.11734870781818306,0.09840644808672064,0.01894225973146242,0.15951372117609472
subj02,lateral,anatomy,OUT,0,0.1504794182831691,0.0032411194392641942,0.0019418216230632857,0.004411756018422383,-0.002469934395359097,0.5845059191966524
