subject,roi,family,component,fold,SIM_PRIOR,SIM_CORR,SIM_NULL_mean,E_GEOM
subj04,ventral,behavior,IN,4,0.48854874945622573,0.3177304732426512,0.34186589776704296,-0.02413542452439177
subj04,ventral,behavior,IN,5,0.518682326591627,0.37460119266966463,0.3535719717532958,0.02102922091636883
subj04,ventral,behavior,OUT,0,0.38497675833959444,0.27136977396563294,0.22437816368956529,0.04699161027606766
subj04,ventral,behavior,OUT,1,0.39265172309596375,0.24892858068472412,0.23880726914557518,0.010121311539148942
subj04,ventral,behavior,OUT,2,0.4230957964665176,0.09578986960883318,0.20477580753290706,-0.10898593792407388
subj04,ventral,behavior,OUT,3,0.41410496006605474,0.2724579733384396,0.18857498972566078,0.0838829836127788
subj04,ventral,behavior,OUT,4,0.3643807742474358,0.14688763455435824,0.1981886919747124,-0.05130105742035415
subj04,ventral,behavior,OUT,5,0.40778122016729607,0.21888155177505597,0.2355645166046304,-0.01668296482957443
subj05,ventral,anatomy,IN,0,0.4356156088790737,0.28560178731250224,0.3114644595368171,-0.025862672224314875
subj05,ventral,anatomy,IN,1,0.47860293890239225,0.34838911999028,0.35226408618875654,-0.0038749661984765482
subj05,ventral,anatomy,IN,2,0.47359643506221943,0.31574925306242996,0.34228923405158773,-0.026539980989157774
subj05,ventral,anatomy,IN,3,0.5023781857213633,0.34628602675265907,0.34854939741260005,-0.0022633706599409775
subj05,ventral,anatomy,IN,4,0.4591529954262623,0.3218970328364884,0.32948632155200464,-0.007589288715516229
subj05,ventral,anatomy,IN,5,0.44951193299217623,0.3119567268230484,0.33284938612399495,-0.020892659300946526
subj05,ventral,anatomy,OUT,0,0.350152382683317,0.16673471865777878,0.21385406794175743,-0.04711934928397865
subj05,ventral,anatomy,OUT,1,0.4202668402812806,0.1694678413041559,0.26355120278120664,-0.09408336147705074
subj05,ventral,anatomy,OUT,2,0.2678869611194118,0.042503984422073815,0.11494978776733689,-0.07244580334526307
subj05,ventral,anatomy,OUT,3,0.3740854016233227,0.05285326744207388,0.22401796777864785,-0.17116470033657397
subj05,ventral,anatomy,OUT,4,0.31234007904762373,0.1352495988063227,0.16318859484876902,-0.027938996042446318
subj05,ventral,anatomy,OUT,5,0.4402446518266383,0.22868554915138922,0.25088612019376155,-0.02220057104237233
subj05,ventral,behavior,IN,0,0.4356156088790737,0.3314042842307194,0.33073125802036946,0.0006730262103499252
subj05,ventral,behavior,IN,1,0.47860293890239225,0.3789849708842887,0.37955520404936194,-0.0005702331650732639
subj05,ventral,behavior,IN,2,0.47359643506221943,0.36145042913840203,0.3623010362180514,-0.0008506070796493459
subj05,ventral,behavior,IN,3,0.5023781857213633,0.3762714761293901,0.377050690553795,-0.0007792144244048727
subj05,ventral,behavior,IN,4,0.4591529954262623,0.35036021717433224,0.35123941103196143,-0.0008791938576291902
subj05,ventral,behavior,IN,5,0.44951193299217623,0.36153370874293844,0.3613353621817034,0.00019834656123501881
subj05,ventral,behavior,OUT,0,0.350152382683317,0.24208354297684434,0.24434288047036762,-0.002259337493523278
subj05,ventral,behavior,OUT,1,0.4202668402812806,0.29748101287871287,0.29878415423883875,-0.0013031413601258812
subj05,ventral,behavior,OUT,2,0.2678869611194118,0.12146285058724716,0.12421668453750105,-0.0027538339502538867
subj05,ventral,behavior,OUT,3,0.3740854016233227,0.26324711020762076,0.265202170282355,-0.0019550600747342273
subj05,ventral,behavior,OUT,4,0.31234007904762373,0.1792516231650962,0.18330457855521906,-0.004052955390122848
subj05,ventral,behavior,OUT,5,0.4402446518266383,0.2921908783876694,0.29593945810002126,-0.003748579712351874
subj06,ventral,anatomy,IN,0,0.40251149530688884,0.29926288784832455,0.2757407622156541,0.023522125632670476
subj06,ventral,anatomy,IN,1,0.42563615628048646,0.2981059484027256,0.3101566113730494,-0.012050662970323811
subj06,ventral,anatomy,IN,2,0.37703869187727973,0.2831203089992609,0.2795997072111823,0.003520601788078559
subj06,ventral,anatomy,IN,3,0.40911398768909346,0.28916715456521885,0.2911305078171546,-0.001963353251935751
subj06,ventral,anatomy,IN,4,0.36842347993340635,0.28482486987446265,0.2835292779979196,0.0012955918765430452
subj06,ventral,anatomy,IN,5,0.4285799610596354,0.2734061543993815,0.31304286107637397,-0.039636706676992484
subj06,ventral,anatomy,OUT,0,0.3068256374421873,0.12501776716640306,0.1788049805591986,-0.053787213392795546
subj06,ventral,anatomy,OUT,1,0.33486190913301106,0.1775561412525371,0.19787626428516944,-0.020320123032632337
subj06,ventral,anatomy,OUT,2,0.10056205335656049,0.02744936303081121,0.04894427967999131,-0.021494916649180098
subj06,ventral,anatomy,OUT,3,0.25167580670140577,0.12528185782428475,0.13940971536424146,-0.014127857539956712
subj06,ventral,anatomy,OUT,4,0.17334165219099476,0.061337912753344014,0.08700834573792095,-0.025670432984576934
subj06,ventral,anatomy,OUT,5,0.21308754078831363,0.0826900591790328,0.1205942658680671,-0.0379042066890343
subj06,ventral,behavior,IN,0,0.40251149530688884,0.30940520139227784,0.28506481970561953,0.024340381686658308
subj06,ventral,behavior,IN,1,0.42563615628048646,0.34302026830151955,0.3092645380352277,0.03375573026629186
subj06,ventral,behavior,IN,2,0.37703869187727973,0.3263618141773941,0.2755425419283379,0.050819272249056247
subj06,ventral,behavior,IN,3,0.40911398768909346,0.3263109802698903,0.2892189712619383,0.03709200900795201
subj06,ventral,behavior,IN,4,0.36842347993340635,0.2952834087146382,0.28659516496589654,0.008688243748741664
subj06,ventral,behavior,IN,5,0.4285799610596354,0.35027340707538696,0.3035726338749998,0.04670077320038718
subj06,ventral,behavior,OUT,0,0.3068256374421873,0.24182728909314855,0.16146607015259673,0.08036121894055182
subj06,ventral,behavior,OUT,1,0.33486190913301106,0.24715177422526455,0.1899733715846324,0.05717840264063215
subj06,ventral,behavior,OUT,2,0.10056205335656049,0.058452048097260186,0.04397666906592418,0.014475379031336007
subj06,ventral,behavior,OUT,3,0.25167580670140577,0.2148670929346164,0.11949018100852948,0.09537691192608691
subj06,ventral,behavior,OUT,4,0.17334165219099476,0.106358182006081,0.07631382611448116,0.030044355891599844
subj06,ventral,behavior,OUT,5,0.21308754078831363,0.16134087677139566,0.11045349077174521,0.05088738599965045
subj07,ventral,anatomy,IN,0,0.39869060350194324,0.32382806427995997,0.3104954787776646,0.01333258550229538
subj07,ventral,anatomy,IN,1,0.42326729674590674,0.3621434004472926,0.33724138288126243,0.024902017566030166
subj07,ventral,anatomy,IN,2,0.3711662498363851,0.3291994913997526,0.310776383429906,0.018423107969846586
subj07,ventral,anatomy,IN,3,0.38293885766626995,0.32163639123016563,0.3184600076943319,0.0031763835358337156
subj07,ventral,anatomy,IN,4,0.4077996898411837,0.33584431500778683,0.326119464696302,0.009724850311484845
subj07,ventral,anatomy,IN,5,0.3799790151082158,0.3276041657203054,0.31467447067251014,0.012929695047795231
subj07,ventral,anatomy,OUT,0,0.08915647644183708,0.05979510054716847,0.03623447427726626,0.023560626269902206
subj07,ventral,anatomy,OUT,1,0.28429457873532504,0.2346558950613459,0.17605196643909365,0.05860392862225225
subj07,ventral,anatomy,OUT,2,0.2169114375410627,0.14664122718083572,0.11662417862784683,0.030017048552988895
subj07,ventral,anatomy,OUT,3,0.15287258115769237,0.10606325382074744,0.08524262665497866,0.020820627165768782
subj07,ventral,anatomy,OUT,4,0.2265990840252042,0.1631325004117645,0.12847837642724838,0.034654123984516116
subj07,ventral,anatomy,OUT,5,0.25001970108755134,0.19576051896728852,0.14991904633814881,0.04584147262913971
subj07,ventral,behavior,IN,0,0.39869060350194324,0.31890871125683434,0.29845083057188904,0.020457880684945307
subj07,ventral,behavior,IN,1,0.42326729674590674,0.33666496043851385,0.32706696174194005,0.009597998696573795
subj07,ventral,behavior,IN,2,0.3711662498363851,0.29791674066011353,0.3046091952738037,-0.006692454613690169
subj07,ventral,behavior,IN,3,0.38293885766626995,0.3000266828817261,0.3103373755325791,-0.010310692650852993
subj07,ventral,behavior,IN,4,0.4077996898411837,0.31629377473338527,0.3180858785140767,-0.0017921037806914453
subj07,ventral,behavior,IN,5,0.3799790151082158,0.3132271618329854,0.3055557493808428,0.00767141245214259
subj07,ventral,behavior,OUT,0,0.08915647644183708,0.04648425370276423,0.04222986446948501,0.00425438923327922
subj07,ventral,behavior,OUT,1,0.28429457873532504,0.14089554560682044,0.17889891170117125,-0.038003366094350816
subj07,ventral,behavior,OUT,2,0.2169114375410627,0.13448291671164034,0.10685730846943851,0.027625608242201824
subj07,ventral,behavior,OUT,3,0.15287258115769237,0.07043264844690598,0.08158399796170396,-0.011151349514797973
subj07,ventral,behavior,OUT,4,0.2265990840252042,0.12411254296880435,0.13313993782928069,-0.009027394860476337
subj07,ventral,behavior,OUT,5,0.25001970108755134,0.08885517132375143,0.16164468246144156,-0.07278951113769014
subj08,ventral,anatomy,IN,0,0.40759240912555067,0.3240097847920693,0.329925861210288,-0.005916076418218674
