subject,roi,family,component,E_NATIVE,DOP_NATIVE,E_GEOM,DOP_GEOM,RESIDUAL_GEOM_RECOVERY,NATIVE_RESIDUAL_RECOVERY
subj02,lateral,behavior,IN,-0.0107503810474363,-0.0017766018257434023,0.015665127876430773,-0.17934444645713066,-0.37872068907008477,-0.021996540538655757
subj02,lateral,behavior,OUT,0.0011845083815228616,0.002932184147116506,0.10446134639867884,-0.08044108334342266,-0.128131446052448,0.006244361246420916
subj03,lateral,anatomy,IN,0.010662257161052034,0.010673427610917103,-0.024592088571445975,-0.19327081956878736,-0.4095041425245221,0.11309010120802704
subj03,lateral,anatomy,OUT,-0.0017899912182415174,0.0019365691952197266,-0.014732318626463172,-0.1261217301143566,-0.16569525458507525,0.0037611321800137126
subj03,lateral,behavior,IN,-0.006729222043100408,-0.0039750728253123285,-0.03093183403487665,-0.20651885426435326,-0.4378218202624451,-0.05864952588557009
subj03,lateral,behavior,OUT,0.005646664312001515,0.008290268218262481,-0.04512453516522195,-0.1571019667019031,-0.2083196147567453,0.016792637280196438
subj04,lateral,anatomy,IN,0.0016502575099959782,0.013521681180928774,-0.004572387001494084,-0.1742388133616589,-0.33570811916214427,0.1705627012387222
subj04,lateral,anatomy,OUT,-0.002177608819562235,-0.0016259497746610614,-0.05130520294926014,-0.1250444829041181,-0.15845349122485783,-0.00435057513125725
subj04,lateral,behavior,IN,0.0006306012853310705,0.013464543712165841,-0.025641693816730354,-0.19012580567959367,-0.3659334909070604,0.21180666914664315
subj04,lateral,behavior,OUT,-0.006030892960145869,-0.004368635213534218,0.007265707804687461,-0.07398796960526428,-0.0928249591772183,-0.008686006995912803
subj05,lateral,anatomy,IN,0.004735237049053203,-0.006703197099051096,0.011495791959874555,-0.17485810460305737,-0.3822071004231607,-945384847.9692416
subj05,lateral,anatomy,OUT,0.003182170716148928,0.00711087767848339,0.01775577329844885,-0.10516809876081885,-0.1412276449590292,0.016222607662394983
subj05,lateral,behavior,IN,0.00012545061897643178,-0.011367087637205004,-0.0002725844759848828,-0.16584641635799438,-0.3626160218297679,1541224890.2966
subj05,lateral,behavior,OUT,-0.0003097943830827384,0.008523031617233697,-0.0026551767615420065,-0.1125123241606271,-0.15154035819710546,0.018880872593238326
subj06,lateral,anatomy,IN,0.015394409082259105,0.01846344987768372,-0.057467309903485204,-0.1816390060282018,-0.33285498436929695,-821861550.2588202
subj06,lateral,anatomy,OUT,-0.0005790118508138165,-0.006058655623260051,0.00149691320736015,-0.11433463597361382,-0.15540599218325044,-0.0117922116938839
subj06,lateral,behavior,IN,0.0034777349189108048,0.008600302403337229,-0.025393036932016805,-0.16223442309795108,-0.29658194202463894,-3617699480.76103
