subject,roi,family,fold,R0,R_COMP,R_native,TOTAL_RECOVERY
subj08,lateral,anatomy,1,0.045558450302665095,0.04280934796720646,0.7459280503622554,-0.003925216535990043
subj08,lateral,anatomy,2,0.06557485899630351,0.042289835162930486,0.7007410932843698,-0.03665973185660967
subj08,lateral,anatomy,3,0.0707740832872125,0.06486151898089695,0.6832989149996058,-0.009652774875732309
subj08,lateral,anatomy,4,0.06781860374769322,0.03683132766483647,0.6868221011263709,-0.05005993700210093
subj08,lateral,anatomy,5,0.050423096444881105,0.022376213391065398,0.6962489008740878,-0.04342793809331308
subj08,lateral,behavior,0,0.11430588205661721,0.073880730251314,0.7937611920678613,-0.0594964101533539
subj08,lateral,behavior,1,0.045558450302665095,0.049869455259351415,0.7459280503622554,0.006155328495582223
subj08,lateral,behavior,2,0.06557485899630351,0.03783919333095689,0.7007410932843698,-0.043666782281703745
subj08,lateral,behavior,3,0.0707740832872125,0.0681084100294701,0.6832989149996058,-0.0043519431698632784
subj08,lateral,behavior,4,0.06781860374769322,0.04475286378086282,0.6868221011263709,-0.03726269732644151
subj08,lateral,behavior,5,0.050423096444881105,0.026821397295208493,0.6962489008740878,-0.036544992454323265
