ROI,target_subject,identity_fold,K,r_sel,predicted_residual_retention,oracle_retention,null_median,null_p95,oracle_recovery
lateral,subj01,3,8,6,0.1027604986722925,0.192356490235525,0.1833828425523408,0.1903162606563063,0.5342190354298446
lateral,subj01,4,8,6,0.1061897984481771,0.1318271196817355,0.1096234529003513,0.1294563515226111,0.8055231632500701
lateral,subj01,5,8,6,0.0617121143411256,0.0722680390389809,0.056953003053646,0.0704031039559426,0.8539337051589094
lateral,subj02,0,8,6,0.2551943835162446,0.3075588722333877,0.212422439118921,0.2896747935146192,0.829741576508946
lateral,subj02,1,8,6,0.0719304043292045,0.1714209670244516,0.1483475222187115,0.1695581518735119,0.4196126388608248
lateral,subj02,2,8,6,0.1438176307205117,0.1493408429160482,0.129466068479091,0.1447164701320758,0.963016063873154
lateral,subj02,3,8,6,0.2765551222507997,0.3306706320696202,0.2361886979250218,0.3268910998520196,0.8363461868986695
lateral,subj02,4,8,6,0.1605772901448103,0.1680257998695208,0.1373192789485217,0.1608887571842221,0.955670440310389
lateral,subj02,5,8,6,0.1910141524876584,0.2409168572582388,0.1778223489908284,0.2340197048335105,0.792863374782074
lateral,subj03,0,8,6,0.2094871306479462,0.2131013523499833,0.1776408970489013,0.2074350203160083,0.9830398931673536
lateral,subj03,1,8,6,0.0232937644927094,0.1458918115996929,0.1121765489589642,0.1443847431950282,0.1596646462696916
lateral,subj03,2,8,6,0.1696485393378118,0.2640996094627131,0.1932915164241376,0.2393335196540905,0.6423657334554433
lateral,subj03,3,8,6,0.1513800557200776,0.1611341150968251,0.1311929278814604,0.1472239182326542,0.9394662057076724
lateral,subj03,4,8,6,0.1961795272348611,0.1967105698122739,0.1370801582940383,0.1710387900430384,0.9973003861565772
lateral,subj03,5,8,6,0.1453834563403579,0.1464878210145997,0.1180524589898606,0.1438934054567649,0.992461047842798
lateral,subj04,0,8,6,0.03657319939271,0.0651868011688624,0.0519817521018896,0.0649903072779661,0.5610522181932105
lateral,subj04,1,8,6,0.0632147887643273,0.0771813895985363,0.0574686846266548,0.0771251661823441,0.8190418583176974
lateral,subj04,2,8,6,0.0380488853050402,0.0405139982961966,0.0257423965936002,0.0398214647410989,0.9391540431745578
lateral,subj04,3,8,6,0.0991120827134319,0.1017051773044355,0.0760635277339561,0.0965963468560213,0.9745038093464832
lateral,subj04,4,8,6,0.2393075074449467,0.2709241762270326,0.2382092563084759,0.2623654293293992,0.883300673928814
lateral,subj04,5,8,6,0.0506985520991008,0.0508974608127864,0.0375996131607226,0.0497842993002322,0.996091971770121
lateral,subj05,0,8,6,0.1886812794782313,0.2091765368879876,0.1572073368795147,0.1936593283950627,0.902019329152909
lateral,subj05,1,8,6,0.1823752864647911,0.2038286482171195,0.191114457671124,0.1981225077377427,0.8947480546038052
lateral,subj05,2,8,6,0.1169196131022162,0.1483025517873548,0.1151514957899184,0.1445600981919179,0.7883857134829524
lateral,subj05,3,8,6,0.0437048752012019,0.0500327248201424,0.0369194963120995,0.0478345284213887,0.873525784540262
lateral,subj05,4,8,6,0.1927264668145941,0.2166706086439657,0.1804547532187412,0.2091098538704695,0.889490586751816
lateral,subj05,5,8,6,0.0644267244581239,0.0703961996072695,0.0554065491585981,0.0686580840013228,0.91520174125239
lateral,subj06,0,8,6,0.1873236381767147,0.2234750663331012,0.1810564184778207,0.2218029139116986,0.8382305965959491
lateral,subj06,1,8,6,0.071597353910209,0.0812606946144306,0.0629107363207305,0.0796757251579319,0.8810822286214425
lateral,subj06,2,8,6,0.071144156467984,0.0813986084648856,0.0709181673141873,0.0808623861469237,0.8740217776410121
lateral,subj06,3,8,6,0.154477537057818,0.1881672215574576,0.1494644253673071,0.1845620237802702,0.8209588034473247
lateral,subj06,4,8,6,0.0892674013369929,0.099779136612368,0.0814961396879318,0.0931391102695933,0.8946499675958091
lateral,subj06,5,8,6,0.0435263312165217,0.0448984575942934,0.0381646098155616,0.0436034027704274,0.9694393426569278
lateral,subj07,0,8,6,0.1381595469866184,0.1427478683487425,0.1155749831578303,0.1405579229652725,0.9678571637166972
lateral,subj07,1,8,6,0.1077340355753255,0.1220275794371165,0.1081198978190084,0.120069734853032,0.8828662837718849
lateral,subj07,2,8,6,0.1273292166310208,0.1300632432241092,0.1040878101970277,0.1219609882780259,0.9789792525135068
lateral,subj07,3,8,6,0.1091322020413158,0.1678574195297153,0.1514190265656441,0.1637453412909222,0.6501482171420876
lateral,subj07,4,8,6,0.0726358709574242,0.0734582290267307,0.0520396999817783,0.0730569285053152,0.988805092632886
lateral,subj07,5,8,6,0.1083409963260049,0.1156765417716253,0.1068480919767452,0.112829691307677,0.936585712770506
lateral,subj08,0,8,6,0.0956057478141097,0.1442917390460791,0.1203323096882331,0.1429659715928143,0.6625864269580833
lateral,subj08,1,8,6,0.0532055351321378,0.0664528425110582,0.0492366079342228,0.0643244318098569,0.8006510048578281
lateral,subj08,2,8,6,0.0725517381109388,0.0877897863130269,0.0704400402801837,0.0856131413666361,0.826425728526611
lateral,subj08,3,8,6,0.0784601778730941,0.1284040465544457,0.0971063327010567,0.1252198185075493,0.6110413182331098
lateral,subj08,4,8,6,0.065209966547492,0.0766171658942724,0.0588273783848547,0.0741949460324399,0.8511143134356899
lateral,subj08,5,8,6,0.029445209344667,0.0551297706300046,0.0489549903177204,0.0545040161945622,0.5341072347694722
parietal,subj01,0,16,6,0.0700472892470383,0.3056013410457258,0.1120012634889424,0.1855266313382889,0.2292113280895501
parietal,subj01,1,16,6,0.1022673964084977,0.2296393347397089,0.0820824404267247,0.1591916117470297,0.4453391947177322
parietal,subj01,2,16,6,0.0769803401823874,0.2537462174584374,0.0943434283489558,0.1522544044516451,0.3033753210330967
parietal,subj01,3,16,6,0.1132534144430998,0.2977722349620777,0.1113265093671127,0.2152936640675368,0.3803357101360475
parietal,subj01,4,16,6,0.0807362442147711,0.3325972898907604,0.0916627722956634,0.2364548467536598,0.242744744676929
parietal,subj01,5,16,6,0.139474285629723,0.2834233415118931,0.0879929125019997,0.2451888757979171,0.492105854393331
parietal,subj02,0,16,6,0.1762924215503941,0.475490634913747,0.1736654624918954,0.2915119261954026,0.370758977371601
parietal,subj02,1,16,6,0.034538784740119,0.215369627080706,0.0727464665046184,0.1253269993113224,0.1603698033389647
parietal,subj02,2,16,6,0.1725768647732502,0.3693640409574922,0.1452325775681311,0.2538593564453362,0.467227032512109
parietal,subj02,3,16,6,0.0724367691649136,0.4107276963291764,0.0796793901724419,0.3394305567958537,0.1763620272319289
parietal,subj02,4,16,6,0.1045089534461895,0.4657235117616187,0.1893277291354172,0.3088403725808975,0.2244012827501022
parietal,subj02,5,16,6,0.1222715274901557,0.2761727163309501,0.084355000396131,0.1714154859408476,0.4427357239142779
parietal,subj03,0,16,6,0.1071304194793568,0.240091240830356,0.0873798011854066,0.145547136040183,0.4462071132159843
parietal,subj03,1,16,6,0.0116804943997209,0.1166471743518937,0.0372256424247603,0.0716039469629636,0.1001352537223406
parietal,subj03,2,16,6,0.0862163610770649,0.407867165283382,0.1399751186932113,0.2524638947081012,0.2113834317041988
parietal,subj03,3,16,6,0.1521240319009045,0.2877908195304592,0.0867120895335156,0.2025311124438747,0.5285923718800349
parietal,subj03,4,16,6,0.038607844384426,0.3107384510032166,0.126112560597369,0.194008842979562,0.124245468366663
parietal,subj03,5,16,6,0.1116665581135147,0.2780825849803577,0.1125014710272391,0.1874816444421489,0.4015589761631505
parietal,subj04,0,16,6,0.0880747350348622,0.2570950094690967,0.0935268582084408,0.1617239274367553,0.3425766031660331
parietal,subj04,1,16,6,0.103266875745567,0.3421132369967653,0.1152519869002361,0.2403914718706152,0.3018499858470644
parietal,subj04,2,16,6,0.2079352956090447,0.4057457620259889,0.1489580674912563,0.2466274886635396,0.5124768144731136
parietal,subj04,3,16,6,0.0362679520655054,0.2818039848696021,0.0677804816561942,0.2174000555331248,0.1286992165220357
parietal,subj04,4,16,6,0.1113364125073473,0.3294633848722949,0.0958163942601538,0.2408494979483112,0.3379325825554275
parietal,subj04,5,16,6,0.0955944237388096,0.2697736708469039,0.1035316984607997,0.200018575164895,0.354350457695552
parietal,subj05,0,16,6,0.1202975464779709,0.2676829196401427,0.1053255997510122,0.1629182320509967,0.4494031469758771
parietal,subj05,1,16,6,0.1011321872916097,0.2265045784328415,0.0850404850676605,0.1474746797918212,0.4464906978540187
parietal,subj05,2,16,6,0.2168794576122837,0.4564597495527344,0.1603426810036849,0.2806993571330887,0.4751338049516848
parietal,subj05,3,16,6,0.1700605830773963,0.5215963418321659,0.1972546213321547,0.3584721632608186,0.326038680562903
parietal,subj05,4,16,6,0.3320721293542617,0.5256568225241475,0.1902470528070892,0.2995316309758341,0.6317279927228703
parietal,subj05,5,16,6,0.121097896622887,0.4978730834443909,0.144468931609918,0.3241416956234097,0.2432304550089477
parietal,subj06,0,16,6,0.40906957103297,0.5420974632689411,0.1873051541915891,0.318920984215271,0.7546052117016191
parietal,subj06,1,16,6,0.0898522321271834,0.307330296831646,0.1117553736168159,0.2148698166877895,0.2923637306620766
parietal,subj06,2,16,6,0.1688493591894901,0.4307996595858643,0.0865729739123136,0.3347929989425429,0.3919440404196423
parietal,subj06,3,16,6,0.2027797713453089,0.4355039205569088,0.1686123926299336,0.2852969060907095,0.4656210008075254
parietal,subj06,4,16,6,0.0998573568460519,0.277920623639048,0.0796491117200279,0.1929437538521179,0.3593017154989641
parietal,subj06,5,16,6,0.2933034114650372,0.4974027907393948,0.1591175549259756,0.3476563216444473,0.5896698147371439
parietal,subj07,0,16,6,0.0405182910720083,0.1568752788786188,0.0555244926857697,0.0934412113895753,0.2582834679985432
parietal,subj07,1,16,6,0.0711667841149152,0.3699621182037855,0.1467571007898942,0.229306340740176,0.1923623544497995
parietal,subj07,2,16,6,0.1251458136459792,0.450682936360036,0.1584325804255231,0.2759143942967581,0.2776803902466905
parietal,subj07,3,16,6,0.1047775783724156,0.475385925664078,0.1784566879132973,0.3297477908595136,0.2204053017052394
parietal,subj07,4,16,6,0.0671014456835693,0.2057406395859058,0.0684519216396931,0.1313332987285254,0.3261458009395927
parietal,subj07,5,16,6,0.0537560941941147,0.3021510497753509,0.1198752403257944,0.1991199491030156,0.1779113269144103
parietal,subj08,0,16,6,0.1172946910994425,0.4782276887073506,0.187469390454695,0.3497871591891585,0.2452695522847915
parietal,subj08,1,16,6,0.0838672474062728,0.5035816147794403,0.1881723800944648,0.3161749403292224,0.1665415196760215
parietal,subj08,2,16,6,0.2831907101101927,0.5022580780046342,0.1888805404276186,0.3572380583753319,0.563835053156835
parietal,subj08,3,16,6,0.1797297522694037,0.4844000136748362,0.1848144071289025,0.3180274084593046,0.3710358117166593
parietal,subj08,4,16,6,0.1638483424917144,0.3074470480680814,0.0952920440957441,0.2076010572110882,0.5329319098078692
parietal,subj08,5,16,6,0.199707757886721,0.3779729396996391,0.1396379184347696,0.2196213911780209,0.5283652264773802
V1,subj01,0,16,6,0.388099626711211,0.6676205502011696,0.2267064898082177,0.5127834055028603,0.5813176760275992
V1,subj01,1,16,6,0.2804871553699429,0.6050949831336198,0.2321399560081972,0.3880299556071532,0.4635423581226494
V1,subj01,2,16,6,0.3357761583375282,0.5272385627235368,0.2041546808314688,0.3281951860847313,0.6368581171358592
V1,subj01,3,16,6,0.2272066117438476,0.6392566430802626,0.2291383445712745,0.3808991230777556,0.3554231531315044
V1,subj01,4,16,6,0.1514948345697142,0.5684532759612507,0.1991750442117526,0.3938042268390571,0.2665035825742009
V1,subj01,5,16,6,0.252114876737047,0.872050468521588,0.3258527557683588,0.4770483950981004,0.289105832560889
V1,subj02,0,16,6,0.216652262792251,0.5798755742612349,0.211360058886614,0.3743782389923092,0.373618535438861
V1,subj02,1,16,6,0.3304570456833558,0.6643173834059309,0.2591263072746266,0.3758341007754251,0.4974385044526678
V1,subj02,2,16,6,0.1143875184590581,0.5649290993525125,0.2152663147205261,0.3740537916397038,0.202481193817352
V1,subj02,3,16,6,0.1497356044792752,0.6282488974993041,0.2428797285252183,0.3525275010815644,0.2383380298402213
V1,subj02,4,16,6,0.2775144707053487,0.8330856064933926,0.3456221383252166,0.5022474910579763,0.3331163910914955
V1,subj02,5,16,6,0.1905651102003623,0.3514098254973954,0.1267009254604308,0.2067258437897898,0.5422873703961779
V1,subj03,0,16,6,0.4792162788522693,0.7493867852531655,0.2315633127930579,0.5221595499598501,0.6394778881647555
V1,subj03,1,16,6,0.1602777761657618,0.5881002919178642,0.1684962298857565,0.4026606742134828,0.2725347672300539
V1,subj03,2,16,6,0.307918346370918,0.7575170324346725,0.2740191906832705,0.4904740845067601,0.4064837266843535
V1,subj03,3,16,6,0.1303546544572354,0.6647729469682073,0.2447633123138234,0.4054012041460961,0.1960889880548487
V1,subj03,4,16,6,0.2193784603557618,0.4903554434636089,0.1339246591668848,0.3999842915737974,0.4473866116509069
V1,subj03,5,16,6,0.3619457576690436,0.5557462643232308,0.2172575102267963,0.3472881192522583,0.6512787955665504
V1,subj04,0,16,6,0.780806661673219,0.953299397588786,0.3690118057345925,0.608056489265215,0.8190571227131171
