subject,roi,fold,R0,R_CAL0,dev,sym,idem,range_in_colW,rank,r_best,ok
subj08,ventral,2,0.08242595104951156,0.08242595104951156,0.0,0.0,1.2363346539631625e-15,4.651671068188294e-15,6,6,1
subj08,ventral,3,0.10113737392592892,0.10113737392592892,0.0,0.0,1.3199573059121825e-15,4.7635140819634314e-15,6,6,1
subj08,ventral,4,0.05034875602711626,0.05034875602711626,0.0,0.0,1.2687109946439463e-15,4.6929519926342774e-15,6,6,1
subj08,ventral,5,0.055102901016561324,0.055102901016561324,0.0,0.0,1.3016529039573793e-15,4.5326442664067136e-15,6,6,1
subj01,lateral,0,0.12951659164603532,0.12951659164603532,0.0,0.0,1.3762296071384682e-15,4.079434742224226e-15,6,6,1
subj01,lateral,1,0.11338771962475133,0.11338771962475133,0.0,0.0,1.6360731523645634e-15,3.906886579382762e-15,6,6,1
subj01,lateral,2,0.09944987000629948,0.09944987000629948,0.0,0.0,1.273327697424944e-15,3.5529940445548555e-15,6,6,1
subj01,lateral,3,0.15490599365820598,0.15490599365820598,0.0,0.0,1.4347412334218202e-15,3.951788467585107e-15,6,6,1
subj01,lateral,4,0.13724521381212826,0.13724521381212826,0.0,0.0,1.516415636417405e-15,4.0644394993664906e-15,6,6,1
subj01,lateral,5,0.1211943040943988,0.1211943040943988,0.0,0.0,1.2410290685761391e-15,3.937984092157977e-15,6,6,1
subj02,lateral,0,0.1504794182831691,0.1504794182831691,0.0,0.0,1.1183716294418665e-15,2.5999053347967193e-15,6,6,1
subj02,lateral,1,0.11251160313859357,0.11251160313859357,0.0,0.0,1.1364554042466899e-15,2.5768920860362583e-15,6,6,1
subj02,lateral,2,0.13477055014787254,0.13477055014787254,0.0,0.0,1.3451838192428056e-15,2.5525419691021464e-15,6,6,1
subj02,lateral,3,0.0893491128561634,0.0893491128561634,0.0,0.0,1.2581304864413543e-15,2.8652111282132506e-15,6,6,1
subj02,lateral,4,0.1178729713164479,0.1178729713164479,0.0,0.0,1.370785375149123e-15,3.0062593408530633e-15,6,6,1
subj02,lateral,5,0.0889581519676716,0.0889581519676716,0.0,0.0,1.6360683209799677e-15,3.0500245783707137e-15,6,6,1
subj03,lateral,0,0.19890980235787553,0.19890980235787553,0.0,0.0,1.2796657862602074e-15,2.659181296294673e-15,6,6,1
subj03,lateral,1,0.1406079829245157,0.1406079829245157,0.0,0.0,1.4903823830226972e-15,2.779227537913155e-15,6,6,1
subj03,lateral,2,0.14322554453822606,0.14322554453822606,0.0,0.0,1.2914967994602566e-15,2.8121923092312085e-15,6,6,1
subj03,lateral,3,0.21049893060703434,0.21049893060703434,0.0,0.0,1.5261111207926461e-15,2.8057788712960928e-15,6,6,1
subj03,lateral,4,0.1261252133218715,0.1261252133218715,0.0,0.0,1.245057846121731e-15,2.808531454275577e-15,6,6,1
subj03,lateral,5,0.09892034777782344,0.09892034777782344,0.0,0.0,1.597069035091027e-15,2.860834191146207e-15,6,6,1
subj04,lateral,0,0.12811511074698534,0.12811511074698534,0.0,0.0,9.755695521150608e-16,2.2136850891713012e-15,6,6,1
subj04,lateral,1,0.13469005205777335,0.13469005205777335,0.0,0.0,1.4503538994754997e-15,2.21335639925263e-15,6,6,1
