subject,roi,fold,identity,split_id,SPLIT_HALF_COS2
subj01,ventral,0,B:K,33,0.2753178548818838
subj01,ventral,0,B:K,34,0.2804098820665524
subj01,ventral,0,B:T,0,0.27469096988376335
subj01,ventral,0,B:T,1,0.2342451048757089
subj01,ventral,0,B:T,2,0.28467353123781064
subj01,ventral,0,B:T,3,0.3173091946579353
subj01,ventral,0,B:T,4,0.2203072982175545
subj01,ventral,0,B:T,5,0.29823958842152615
subj01,ventral,0,B:T,6,0.38038937135592665
subj01,ventral,0,B:T,7,0.3457949125377656
subj01,ventral,0,B:T,8,0.43012702618053394
subj01,ventral,0,B:T,9,0.1704485802951466
subj01,ventral,0,B:T,10,0.3066535509750603
subj01,ventral,0,B:T,11,0.24699551204060044
subj01,ventral,0,B:T,12,0.2994753142261101
subj01,ventral,0,B:T,13,0.23332955184201068
subj01,ventral,0,B:T,14,0.3500307572306826
subj01,ventral,0,B:T,15,0.3480676430767926
subj01,ventral,0,B:T,16,0.3713943941722225
subj01,ventral,0,B:T,17,0.20962518725769444
subj01,ventral,0,B:T,18,0.3002883971504618
subj01,ventral,0,B:T,19,0.4106845301979163
subj01,ventral,0,B:T,20,0.4495804699704112
subj01,ventral,0,B:T,21,0.4136229783127627
subj01,ventral,0,B:T,22,0.3693673691083241
subj01,ventral,0,B:T,23,0.33033182516198906
subj01,ventral,0,B:T,24,0.30787842793336456
subj01,ventral,0,B:T,25,0.30720118440654903
subj01,ventral,0,B:T,26,0.2744678689656737
subj01,ventral,0,B:T,27,0.4451055294160724
subj01,ventral,0,B:T,28,0.23607798325883037
subj01,ventral,0,B:T,29,0.3763725629787243
subj01,ventral,0,B:T,30,0.2860073699889529
subj01,ventral,0,B:T,31,0.27195437614106777
subj01,ventral,0,B:T,32,0.2804534191040914
subj01,ventral,0,B:T,33,0.40831963020946554
subj01,ventral,0,B:T,34,0.2622302314030514
subj01,ventral,0,B:W,0,0.16998529056462824
subj01,ventral,0,B:W,1,0.3117695153358053
subj01,ventral,0,B:W,2,0.24207432270982937
subj01,ventral,0,B:W,3,0.11059589445383107
subj01,ventral,0,B:W,4,0.1469311193676095
subj01,ventral,0,B:W,5,0.2687071411647181
subj01,ventral,0,B:W,6,0.2825021030604018
subj01,ventral,0,B:W,7,0.11456543181418134
subj01,ventral,0,B:W,8,0.20589889998887245
subj01,ventral,0,B:W,9,0.36697881603043186
subj01,ventral,0,B:W,10,0.38493724363740367
subj01,ventral,0,B:W,11,0.3862430488271882
subj01,ventral,0,B:W,12,0.15893733352523037
subj01,ventral,0,B:W,13,0.24387918659810795
subj01,ventral,0,B:W,14,0.07100668721738458
subj01,ventral,0,B:W,15,0.13572302388202398
subj01,ventral,0,B:W,16,0.28647558276241203
subj01,ventral,0,B:W,17,0.323859048805253
subj01,ventral,0,B:W,18,0.30023903566986104
subj01,ventral,0,B:W,19,0.13704694941148732
subj01,ventral,0,B:W,20,0.38717988611467336
subj01,ventral,0,B:W,21,0.20827387970534045
subj01,ventral,0,B:W,22,0.3158534102968982
subj01,ventral,0,B:W,23,0.25703086514852863
subj01,ventral,0,B:W,24,0.23171872184354605
subj01,ventral,0,B:W,25,0.10911396562057883
subj01,ventral,0,B:W,26,0.28619773148277333
subj01,ventral,0,B:W,27,0.19666556298516624
subj01,ventral,0,B:W,28,0.31331492693203705
subj01,ventral,0,B:W,29,0.3276692656042909
subj01,ventral,0,B:W,30,0.26253663047489323
subj01,ventral,0,B:W,31,0.2745603004461956
subj01,ventral,0,B:W,32,0.1643478687761279
subj01,ventral,0,B:W,33,0.325350470702793
subj01,ventral,0,B:W,34,0.2140406870673404
subj01,ventral,1,A:E,0,0.3817151041847698
subj01,ventral,1,A:E,1,0.38366935067909497
subj01,ventral,1,A:E,2,0.41037308822243995
