participant,ROI,O0,O1,O2,O3,O4,G,G_gain,G_diag,G_lowrank,headroom,normalized_G,classification,action_cosine,singular_profile_corr,identity_deviation,off_diagonal_mixing,out_of_span_fraction,fraction_contracted,residual_rank,rotation_frobenius,R_img_B0,R_vis_B0,voxel_count,G_B1,R_img_B1,R_vis_B1
subj03,V3,0.7182404597600301,0.6411222045620283,0.7194820319612821,0.5390511698519979,0.7018305003122708,-0.01640995944775936,0.0607082957502425,-0.017651531649011343,0.16277933046027293,0.28175954023996985,-0.05824100732767832,NO_REUSABLE_OPERATOR_EVIDENCE,0.6182116017454387,0.9197353952494881,1.0110510899816492,0.5441898080842054,0.107094449132027,1.0,12,4.813766868745675,0.7475176799242648,0.903681600571583,19,-0.10993277329958856,0.5571188663397841,0.769161370933509
subj03,hV4,0.6368608002861341,0.5529159332315127,0.6369383384784063,0.6920607618788782,0.6626404445027769,0.025779644216642805,0.10972451127126426,0.02570210602437062,-0.02942031737610129,0.3631391997138659,0.07099108065710277,LOW_RANK_DEFORMATION_SUFFICIENT,0.6226914681128711,0.9076002285861846,1.460425207169602,0.9473842136210564,4.604542188659474e-15,0.7777777777777778,9,4.407405605105058,0.6482992305636817,0.8684828769997488,9,-0.10686718974807802,0.33823810319903846,0.805800395597401
subj03,ventral,0.7007653514544169,0.7004959806799889,0.7056034182508787,0.6140149516530089,0.7751198621303309,0.07435451067591403,0.07462388145034204,0.06951644387945222,0.161104910477322,0.2992346485455831,0.24848228985951615,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.6311248289378122,0.8775332863769206,1.105089324357775,0.9800203774983592,0.4548324598638925,0.9166666666666666,12,4.910102990729577,0.6417218143299517,0.7473531776499927,164,-0.010260106512135492,0.33931819199249114,0.4550235378452682
subj03,lateral,0.6231505970160166,0.6199814230203629,0.6210828969875971,0.618721162528843,0.7740562253744652,0.15090562835844856,0.1540748023541023,0.15297332838686806,0.15533506284562215,0.3768494029839834,0.4004401417742521,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.8386161041303587,0.9999999999999998,1.16952112274268,0.9715159184633886,0.3588508051644314,0.9166666666666666,12,5.032626914248002,0.6835782610650055,0.7908006662012504,172,0.04491507326776106,0.4470604468767148,0.5584361523496211
subj03,parietal,0.6209690943360329,0.5867929433782896,0.6172077655792236,0.5518589857917721,0.6969524572291154,0.0759833628930825,0.11015951385082579,0.07974469164989173,0.1450934714373433,0.37903090566396713,0.2004674599291018,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7799559418476552,0.9876362629703451,1.3819704719513852,0.9488528373340036,0.0914901198837251,0.9166666666666666,12,5.007907710699377,0.7706360905533853,0.7437008615252432,78,-0.003475348692600022,0.4795506436860094,0.44118253085441783
subj04,V1,0.7467995285987854,0.7129894196987152,0.7721437563498815,0.6139883238184188,0.7813457403459054,0.034546211747120026,0.06835632064719022,0.0092019839960239,0.1673574165274866,0.2532004714012146,0.1364381810031429,DIAGONAL_REWEIGHTING_SUFFICIENT,0.6542228693797428,0.8951490623035508,1.0196552821684646,0.7145694486780986,0.0934350827531854,1.0,12,4.922969914776035,0.7699130372817515,0.9369835162467116,18,-0.023830419522724022,0.5003478067336219,0.9004457980482722
subj04,V2,0.7736230219403902,0.7788583934307098,0.8182963132858276,0.5667880563319431,0.8121909579838064,0.03856793604341613,0.03333256455309652,-0.006105355302021276,0.2454029016518633,0.22637697805960977,0.17037039885416436,DIAGONAL_REWEIGHTING_SUFFICIENT,0.5184456365170221,0.8919855319924002,1.0453533692129957,0.8935340685825109,0.0441259959646219,1.0,12,5.042590977221057,0.5929420361442316,0.9101420601065123,18,-0.013261632343117613,0.1709497176448099,0.8705682485666841
subj04,V3,0.8390411784251531,0.8129922350247701,0.837902252872785,0.7846037227433752,0.8738905977490857,0.034849419323932596,0.06089836272431559,0.03598834487630076,0.08928687500571053,0.16095882157484687,0.21651139703285785,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7821731068094124,0.9377621787192625,1.0347016647953424,0.7875427062535965,0.0641705244919839,1.0,11,4.393309589880903,0.7624362942879678,0.9162571338428328,17,-0.03549503239222618,0.4946471853968697,0.8408333557644507
subj04,hV4,0.5569902552912632,0.5390572908023993,0.5703648291528225,0.6055754517813092,0.5810925967681048,0.024102341476841538,0.04203530596570548,0.010727767615282269,-0.024482855013204463,0.4430097447087368,0.05440589459874742,DIAGONAL_REWEIGHTING_SUFFICIENT,0.5403820039038638,0.9037019646222195,1.3401413687273145,0.9768004975082016,2.6669358220497555e-15,0.8,10,4.150164219118507,0.47988677109078337,0.8112295645436303,10,-0.15451683901014812,0.3170140402979601,0.6784232437206594
subj04,ventral,0.5998364153007666,0.5828929860144854,0.6328584551811218,0.6606032814146616,0.7494895460917409,0.1496531307909743,0.16659656007725554,0.11663109091061907,0.08888626467707927,0.4001635846992334,0.37397988351052724,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.6289882443773326,0.7944670987827176,1.1258483401438548,0.8977372487017824,0.5775075309322938,1.0,12,4.816381085608621,0.8104492554937286,0.7910908099372024,153,-0.05067751566894829,0.46826704175295086,0.6257254546058872
