subject,roi,fold,singular_values,cum_energy_frac,effective_rank,stable_rank
subj01,lateral,3,18.16066;9.95028;5.12399;4.42109;3.94907;3.65811;3.43884;3.15450;2.81368;2.64917,0.6104;0.7937;0.8422;0.8784;0.9073;0.9321;0.9539;0.9724;0.9870;1.0000,2.424252602052276,1.638240115431726
subj01,lateral,4,18.08032;9.97960;5.03904;4.33651;4.09470;4.05697;3.28754;3.20983;2.92661;2.52043,0.6054;0.7899;0.8369;0.8717;0.9028;0.9333;0.9533;0.9724;0.9882;1.0000,2.456743606003735,1.6517125740468765
subj01,lateral,5,18.84578;10.38270;5.20228;4.41894;4.18964;4.16280;3.53224;3.27205;2.63959;2.59753,0.6109;0.7964;0.8429;0.8765;0.9067;0.9365;0.9580;0.9764;0.9884;1.0000,2.4165412180524655,1.6368083152825066
subj02,lateral,0,17.71223;10.67713;7.51912;5.44902;4.73850;4.01154;3.56232;3.42249;2.67525;2.38774,0.5319;0.7253;0.8211;0.8715;0.9095;0.9368;0.9583;0.9782;0.9903;1.0000,2.981938199073395,1.8798776191163875
subj02,lateral,1,17.69257;10.69909;5.89574;5.25384;4.68163;3.92505;3.49127;3.40192;3.13898;3.09800,0.5488;0.7495;0.8104;0.8588;0.8972;0.9242;0.9456;0.9659;0.9832;1.0000,2.8477468870357345,1.8221957090100966
subj02,lateral,2,17.91772;11.13154;7.57537;4.88765;4.69989;3.96884;3.61026;3.17569;3.05969;2.90107,0.5307;0.7355;0.8304;0.8698;0.9064;0.9324;0.9539;0.9706;0.9861;1.0000,2.9645712590356252,1.8843751947557887
subj02,lateral,3,18.07022;11.49400;7.55178;5.48694;4.70109;3.85714;3.43878;3.31754;3.03495;2.43401,0.5261;0.7389;0.8308;0.8793;0.9149;0.9388;0.9579;0.9756;0.9905;1.0000,2.9792740983672608,1.9009577922641914
subj02,lateral,4,17.79984;12.01939;7.33392;5.02741;4.38773;4.09504;3.65990;3.34474;2.86541;2.45234,0.5150;0.7499;0.8373;0.8784;0.9097;0.9369;0.9587;0.9769;0.9902;1.0000,3.007309494522183,1.9416765214758127
subj02,lateral,5,17.85973;11.61552;6.63305;5.70894;4.57733;3.96391;3.75116;3.53003;2.77557;2.16491,0.5263;0.7489;0.8215;0.8753;0.9099;0.9358;0.9590;0.9796;0.9923;1.0000,2.9607137115554605,1.90007615844624
subj03,lateral,0,17.84051;10.76525;5.66835;5.26688;4.31411;4.16654;3.83942;3.31171;3.23806;2.91899,0.5538;0.7554;0.8113;0.8596;0.8920;0.9222;0.9478;0.9669;0.9852;1.0000,2.8062952063534774,1.8057162518784922
subj03,lateral,1,18.95894;11.28565;5.52856;5.10854;4.87143;4.23534;4.09400;3.54094;3.17853;2.99213,0.5674;0.7684;0.8167;0.8579;0.8954;0.9237;0.9501;0.9699;0.9859;1.0000,2.7017077931842657,1.762438115025695
subj03,lateral,2,19.58221;11.35919;5.46663;4.94079;4.63840;4.27089;3.72534;3.41751;3.13802;2.96046,0.5893;0.7876;0.8335;0.8710;0.9041;0.9321;0.9534;0.9714;0.9865;1.0000,2.5434165655340735,1.696940836876804
subj03,lateral,3,17.24402;11.20617;5.70227;4.63769;4.31291;4.18523;4.07775;3.18800;3.03668;2.96322,0.5330;0.7581;0.8164;0.8550;0.8883;0.9197;0.9495;0.9677;0.9843;1.0000,2.9111603950238973,1.8760979039777719
subj03,lateral,4,17.72335;11.42775;5.60315;5.27750;4.71346;4.30714;4.11705;3.43879;3.32822;2.91525,0.5296;0.7498;0.8028;0.8497;0.8872;0.9185;0.9471;0.9670;0.9857;1.0000,2.9571575955087854,1.8880759181049742
subj03,lateral,5,17.78446;11.35909;5.44554;5.23151;4.52255;4.26432;3.82861;3.80544;3.29900;2.93006,0.5365;0.7553;0.8056;0.8520;0.8867;0.9176;0.9424;0.9670;0.9854;1.0000,2.9044936567730852,1.8640808831340692
subj04,lateral,0,19.10781;10.84728;8.81867;5.73913;4.99989;4.49791;4.01046;3.70722;3.61589;3.07036,0.5283;0.6986;0.8112;0.8588;0.8950;0.9243;0.9475;0.9674;0.9864;1.0000,3.0606501707956464,1.892691633355801
subj04,lateral,1,21.52272;10.80575;7.79483;6.46481;5.20852;4.86888;4.27433;3.92628;3.66051;3.36116,0.5851;0.7325;0.8093;0.8621;0.8963;0.9263;0.9493;0.9688;0.9857;1.0000,2.6582308786596847,1.7092288114433685
subj04,lateral,2,19.15612;10.65986;7.81984;6.55384;5.27778;5.06277;4.53944;4.28436;3.62236;3.40319,0.5228;0.6848;0.7719;0.8331;0.8728;0.9093;0.9386;0.9648;0.9835;1.0000,3.1646023591472243,1.9126067015449335
subj04,lateral,3,19.94896;11.13839;8.02252;6.85113;5.86144;5.18981;4.21393;3.93309;3.74880;2.97592,0.5301;0.6953;0.7811;0.8436;0.8894;0.9252;0.9489;0.9695;0.9882;1.0000,3.0825060596995724,1.8864918117641722
subj04,lateral,4,20.55332;11.15693;6.34209;5.91891;5.10347;4.65339;4.03196;3.74577;3.62784;3.41975,0.5827;0.7544;0.8098;0.8582;0.8941;0.9239;0.9464;0.9657;0.9839;1.0000,2.645256506987637,1.7162590689956752
subj04,lateral,5,19.71525;10.92055;8.64960;6.46225;5.74733;5.18744;4.16891;3.88105;3.60662;3.17742,0.5252;0.6864;0.7875;0.8439;0.8886;0.9249;0.9484;0.9688;0.9864;1.0000,3.1246116800723724,1.9038588797383038
subj05,lateral,0,15.52879;8.26262;5.63508;5.26437;4.59850;3.78076;3.65723;3.01923;2.77257;2.55709,0.5468;0.7016;0.7736;0.8364;0.8843;0.9167;0.9471;0.9677;0.9852;1.0000,2.9650527368350756,1.8289501103689938
subj05,lateral,1,14.79966;7.97565;5.59917;4.68156;4.34127;4.07415;3.88261;3.53792;3.16511;2.59079,0.5269;0.6800;0.7554;0.8081;0.8534;0.8934;0.9296;0.9598;0.9839;1.0000,3.162048739121385,1.8978023821338335
subj05,lateral,2,15.35293;8.11205;5.62882;4.97269;4.34937;4.09469;3.62425;3.50539;3.29165;2.38050,0.5412;0.6923;0.7650;0.8218;0.8652;0.9037;0.9339;0.9621;0.9870;1.0000,3.029363519493122,1.8477483662175633
subj05,lateral,3,15.47854;8.17811;5.48472;4.86644;4.61123;4.05671;3.89348;3.07456;3.02949;2.76455,0.5453;0.6975;0.7660;0.8199;0.8682;0.9057;0.9402;0.9617;0.9826;1.0000,2.99200372399354,1.8339361585687592
subj05,lateral,4,14.75982;8.25843;5.83030;4.87907;4.47431;4.06165;3.57255;3.50213;2.96292;2.56474,0.5178;0.6799;0.7607;0.8172;0.8648;0.9040;0.9344;0.9635;0.9844;1.0000,3.222307604670379,1.9313684218765965
subj05,lateral,5,15.80365;8.36351;5.99306;5.40266;4.28359;3.93350;3.66617;3.08922;2.76665;2.48706,0.5484;0.7019;0.7808;0.8449;0.8852;0.9191;0.9487;0.9696;0.9864;1.0000,2.9483703544318836,1.8236033932936084
subj06,lateral,0,17.45450;9.87673;6.43362;5.03259;4.31063;3.91642;3.56255;3.22891;2.71472;2.67973,0.5636;0.7441;0.8207;0.8676;0.9019;0.9303;0.9538;0.9731;0.9867;1.0000,2.765481727824494,1.7741634257392551
subj06,lateral,1,17.54057;10.18071;6.74513;4.80296;4.10779;3.93870;3.45035;3.36341;3.05881;2.52705,0.5582;0.7462;0.8287;0.8706;0.9012;0.9293;0.9509;0.9714;0.9884;1.0000,2.789454479993181,1.7916204213680835
subj06,lateral,2,17.14997;9.83063;5.80432;5.47567;4.03981;3.76975;3.60719;3.47090;3.14142;2.71582,0.5578;0.7411;0.8050;0.8619;0.8928;0.9198;0.9444;0.9673;0.9860;1.0000,2.8134637350630345,1.7926953058309463
subj06,lateral,3,16.53981;10.48666;5.73742;4.73537;4.31644;3.95754;3.50576;3.25292;3.01026;2.62204,0.5343;0.7491;0.8134;0.8572;0.8936;0.9242;0.9482;0.9689;0.9866;1.0000,2.928660695468772,1.8715070437439825
subj06,lateral,4,17.04733;10.05739;6.37235;5.08617;4.31609;3.88464;3.70575;3.47693;3.16574;2.68930,0.5432;0.7322;0.8081;0.8565;0.8913;0.9195;0.9452;0.9678;0.9865;1.0000,2.9190358455841907,1.8410613925206212
subj06,lateral,5,16.01466;10.79968;7.00197;4.62020;4.01910;3.78124;3.40416;3.24197;2.79695;2.53114,0.5026;0.7312;0.8273;0.8691;0.9008;0.9288;0.9515;0.9721;0.9874;1.0000,3.134929675502833,1.989538276525557
subj07,lateral,0,21.27379;10.63345;4.95358;4.39797;3.82929;3.78876;3.28483;3.21179;2.77814;2.69652,0.6708;0.8384;0.8748;0.9035;0.9252;0.9465;0.9625;0.9778;0.9892;1.0000,2.075017245940864,1.490667798561746
subj07,lateral,1,20.75133;10.35233;5.04488;4.65235;3.98146;3.62658;3.56127;3.27890;3.03215;2.67455,0.6588;0.8227;0.8617;0.8948;0.9190;0.9391;0.9585;0.9750;0.9891;1.0000,2.148555779975666,1.5179793401506292
subj07,lateral,2,19.09581;11.67833;4.87606;4.71044;4.25894;3.98510;3.64919;3.49157;3.22356;2.55284,0.5849;0.8037;0.8418;0.8774;0.9065;0.9320;0.9533;0.9729;0.9895;1.0000,2.5289914663737263,1.709675085948754
subj07,lateral,3,21.31546;10.87707;5.01213;4.66973;4.03599;3.94543;3.35152;2.95634;2.90449;2.60050,0.6617;0.8340;0.8706;0.9024;0.9261;0.9488;0.9651;0.9779;0.9902;1.0000,2.1201236917738786,1.5112051401553666
subj07,lateral,4,19.97235;11.00041;4.84597;4.79878;3.87231;3.76254;3.62619;3.30829;2.96665;2.65913,0.6277;0.8181;0.8550;0.8912;0.9148;0.9371;0.9578;0.9750;0.9889;1.0000,2.298982322265351,1.593234650372028
subj07,lateral,5,18.32737;11.54801;4.74799;4.13262;3.93104;3.78075;3.59494;3.29650;2.86758;2.74946,0.5809;0.8116;0.8506;0.8801;0.9068;0.9316;0.9539;0.9727;0.9869;1.0000,2.5276252659962406,1.7213585552573707
subj08,lateral,0,39.07742;24.40596;21.35648;13.42408;10.89280;9.43465;8.38010;7.34043;6.88913;6.18541,0.4807;0.6683;0.8118;0.8686;0.9059;0.9339;0.9561;0.9730;0.9880;1.0000,3.40799350215938,2.0801575872581255
subj08,lateral,1,39.30311;25.75495;22.22942;12.04709;10.61647;8.77796;8.17124;7.45910;6.61509;6.45676,0.4760;0.6805;0.8327;0.8775;0.9122;0.9359;0.9565;0.9737;0.9872;1.0000,3.3735125341237935,2.100652111381904
subj08,lateral,2,42.84531;24.84686;21.89366;12.48570;11.09621;8.91363;7.49130;7.20141;6.94181;6.59788,0.5259;0.7028;0.8401;0.8848;0.9200;0.9428;0.9589;0.9737;0.9875;1.0000,3.018437038662581,1.901483107423224
subj08,lateral,3,41.27807;25.84282;22.15476;13.21638;10.21565;9.20832;7.50621;7.18693;7.04134;6.41507,0.4975;0.6925;0.8358;0.8868;0.9172;0.9420;0.9584;0.9735;0.9880;1.0000,3.2152080226916215,2.01018842021773
subj08,lateral,4,42.37872;29.19471;23.48149;13.41395;11.06694;8.93508;8.54219;7.20932;7.01093;6.34258,0.4731;0.6976;0.8429;0.8902;0.9225;0.9435;0.9628;0.9765;0.9894;1.0000,3.3346229186224807,2.113770549734982
subj08,lateral,5,42.17571;25.27122;21.21418;13.91662;9.09444;8.91925;8.40434;7.02311;6.85332;6.02603,0.5191;0.7055;0.8368;0.8933;0.9175;0.9407;0.9613;0.9757;0.9894;1.0000,3.0608730509369146,1.926386797628034
