subject,roi,M,d,train_calibration_retention,heldout_R_AUG
subj06,lateral,10,1,0.5919233812174016,0.535143018334174
subj06,lateral,10,2,0.7605967219702535,0.6540652942067302
subj06,lateral,10,4,0.8701855334624305,0.697688974768013
subj06,lateral,10,6,0.9280485194954674,0.7097408977186386
subj06,lateral,10,8,0.9696881225121263,0.7229542227000753
subj06,lateral,10,10,0.9979208509271261,0.7301670692136027
subj07,lateral,2,1,0.7334953904817706,0.5622935404490988
subj07,lateral,2,2,0.9999999999999999,0.6593129003996393
subj07,lateral,4,1,0.6882293860070781,0.6022731434509313
subj07,lateral,4,2,0.8999230496391989,0.7195046823311243
subj07,lateral,4,4,0.9999999999999999,0.7297674106906445
subj07,lateral,6,1,0.6733954336897737,0.6168719848821171
subj07,lateral,6,2,0.8673557681685894,0.7440983657460594
subj07,lateral,6,4,0.9465867754983956,0.7545332752838069
subj07,lateral,6,6,0.9999999999999999,0.7619938262821617
subj07,lateral,8,1,0.6643698946306006,0.6250470777089892
subj07,lateral,8,2,0.8495230716987727,0.7582109358584262
subj07,lateral,8,4,0.916625533744518,0.7689684226095516
subj07,lateral,8,6,0.9643938946542385,0.7762454180727908
subj07,lateral,8,8,0.9983215813900602,0.7827269756765642
subj07,lateral,10,1,0.6587006496475931,0.6310376366635971
subj07,lateral,10,2,0.8385860755907246,0.7681087264381175
subj07,lateral,10,4,0.8978116307854376,0.7808785009886811
subj07,lateral,10,6,0.9408103297057271,0.7832003133210792
subj07,lateral,10,8,0.9734844157214338,0.7952822040818651
subj07,lateral,10,10,0.9970372271012411,0.7986296300108214
subj08,lateral,2,1,0.6219686208178011,0.2946665818841174
subj08,lateral,2,2,1.0,0.41332171264306306
subj08,lateral,4,1,0.52868872529002,0.3449767914966966
subj08,lateral,4,2,0.806781045719688,0.4694945912536981
subj08,lateral,4,4,1.0,0.5815126295467518
subj08,lateral,6,1,0.49885245662779765,0.3715466862695331
subj08,lateral,6,2,0.7419281279031288,0.48740603232266605
subj08,lateral,6,4,0.9363006935626847,0.655253054464324
subj08,lateral,6,6,1.0,0.670528779943095
subj08,lateral,8,1,0.4778195263154637,0.37898516496404705
subj08,lateral,8,2,0.6998839115151911,0.4857740167886852
subj08,lateral,8,4,0.8985997304454937,0.690657911661641
subj08,lateral,8,6,0.9531451275806887,0.7097932567235047
subj08,lateral,8,8,0.993387317058419,0.7161858619810437
subj08,lateral,10,1,0.4649148686431934,0.3839993672224636
subj08,lateral,10,2,0.6692048508412917,0.4486908764612239
subj08,lateral,10,4,0.8769686363176885,0.7137383873999901
subj08,lateral,10,6,0.924657499259324,0.731301032797858
subj08,lateral,10,8,0.9619921627768266,0.7386786633374701
subj08,lateral,10,10,0.9893346172750518,0.7446958018367882
