subject,roi,M,d,R_BASE,R_COND,R_AUG
subj02,ventral,6,1,0.1984407886470367,0.5321824760217682,0.5110342533294755
subj02,ventral,6,2,0.1984407886470367,0.6370863417918461,0.614825519248216
subj02,ventral,6,4,0.1984407886470367,0.6744268499686591,0.6463651139974617
subj02,ventral,6,6,0.1984407886470367,0.705382293820521,0.6609093111317959
subj02,ventral,8,1,0.19924628164281852,0.53298796901755,0.524656135233024
subj02,ventral,8,2,0.19924628164281852,0.637891834787628,0.6291948257878199
subj02,ventral,8,4,0.19924628164281852,0.675232342964441,0.6631993347780557
subj02,ventral,8,6,0.19924628164281852,0.7061877868163028,0.6854237771903713
subj02,ventral,8,8,0.19924628164281852,0.7117788357568401,0.6927490290258019
subj02,ventral,10,1,0.1997222720728695,0.5334639594476008,0.5334639594476008
subj02,ventral,10,2,0.1997222720728695,0.6383678252176789,0.6383678252176789
subj02,ventral,10,4,0.1997222720728695,0.6757083333944919,0.6757083333944919
subj02,ventral,10,6,0.1997222720728695,0.7066637772463538,0.7066637772463538
subj02,ventral,10,8,0.1997222720728695,0.7122548261868911,0.7122548261868911
subj02,ventral,10,10,0.1997222720728695,0.717745672866128,0.717745672866128
subj03,ventral,2,1,0.1174018398499584,0.5337585951027671,0.45097000794861963
subj03,ventral,2,2,0.1174018398499584,0.6211156632854522,0.5033436140966456
subj03,ventral,4,1,0.1276203541818101,0.5439771094346187,0.5088331064422235
subj03,ventral,4,2,0.1276203541818101,0.6313341776173039,0.5770037085798934
subj03,ventral,4,4,0.1276203541818101,0.6517370724827952,0.5934675944390055
subj03,ventral,6,1,0.13083832127001066,0.5471950765228194,0.5308462513236042
subj03,ventral,6,2,0.13083832127001066,0.6345521447055044,0.6078470808900601
subj03,ventral,6,4,0.13083832127001066,0.6549550395709958,0.6260852431986772
subj03,ventral,6,6,0.13083832127001066,0.6653677486635104,0.636850422401264
subj03,ventral,8,1,0.13242658262220244,0.5487833378750112,0.5425024927830526
subj03,ventral,8,2,0.13242658262220244,0.6361404060576962,0.625506944562965
subj03,ventral,8,4,0.13242658262220244,0.6565433009231875,0.6443977468095413
subj03,ventral,8,6,0.13242658262220244,0.6669560100157024,0.6549378852500812
subj03,ventral,8,8,0.13242658262220244,0.6740315448191186,0.6648963681183675
subj03,ventral,10,1,0.13293432074386738,0.5492910759966761,0.5492910759966761
subj03,ventral,10,2,0.13293432074386738,0.6366481441793611,0.6366481441793611
subj03,ventral,10,4,0.13293432074386738,0.6570510390448524,0.6570510390448524
subj03,ventral,10,6,0.13293432074386738,0.6674637481373673,0.6674637481373673
subj03,ventral,10,8,0.13293432074386738,0.6745392829407836,0.6745392829407836
subj03,ventral,10,10,0.13293432074386738,0.6852564505063402,0.6852564505063402
subj04,ventral,2,1,0.13675999816615927,0.5118610874081859,0.42777042821176964
subj04,ventral,2,2,0.13675999816615927,0.6241694020048844,0.5167984301284955
subj04,ventral,4,1,0.15326400272288038,0.528365091964907,0.4899685073814923
subj04,ventral,4,2,0.15326400272288038,0.6406734065616054,0.5896362448581393
subj04,ventral,4,4,0.15326400272288038,0.6722879318661225,0.6164054467418233
subj04,ventral,6,1,0.159476905823873,0.5345779950658996,0.5167452601034667
subj04,ventral,6,2,0.159476905823873,0.6468863096625982,0.621531635925306
subj04,ventral,6,4,0.159476905823873,0.678500834967115,0.6509856756415863
subj04,ventral,6,6,0.159476905823873,0.6931671284126203,0.6646669834819968
subj04,ventral,8,1,0.1620117666730444,0.537112855915071,0.5303238526787164
subj04,ventral,8,2,0.1620117666730444,0.6494211705117695,0.639279650558592
subj04,ventral,8,4,0.1620117666730444,0.6810356958162865,0.6700506405982439
subj04,ventral,8,6,0.1620117666730444,0.6957019892617914,0.6833282956312798
subj04,ventral,8,8,0.1620117666730444,0.7058016350251305,0.6954771324269235
subj04,ventral,10,1,0.16511833332424958,0.5402194225662762,0.5402194225662762
subj04,ventral,10,2,0.16511833332424958,0.6525277371629747,0.6525277371629747
subj04,ventral,10,4,0.16511833332424958,0.6841422624674917,0.6841422624674917
subj04,ventral,10,6,0.16511833332424958,0.6988085559129967,0.6988085559129967
subj04,ventral,10,8,0.16511833332424958,0.7089082016763357,0.7089082016763357
subj04,ventral,10,10,0.16511833332424958,0.7205648967566601,0.7205648967566601
subj05,ventral,2,1,0.10728558581650403,0.6224072300473473,0.5502124724785785
subj05,ventral,2,2,0.10728558581650403,0.6899330830011716,0.5927201238592245
subj05,ventral,4,1,0.1158397420023271,0.6309613862331706,0.6015377672182863
subj05,ventral,4,2,0.1158397420023271,0.6984872391869947,0.6534878766482559
subj05,ventral,4,4,0.1158397420023271,0.7089196815081129,0.6693274579227042
subj05,ventral,6,1,0.12022132821297397,0.6353429724438173,0.6218749864838985
subj05,ventral,6,2,0.12022132821297397,0.7028688253976414,0.6810511773783924
subj05,ventral,6,4,0.12022132821297397,0.7133012677187599,0.6939170362746059
subj05,ventral,6,6,0.12022132821297397,0.7250696858909578,0.7086652721543262
subj05,ventral,8,1,0.12200909505216634,0.6371307392830097,0.6320039147017545
subj05,ventral,8,2,0.12200909505216634,0.7046565922368337,0.6960842342204104
subj05,ventral,8,4,0.12200909505216634,0.7150890345579524,0.7077337457453153
subj05,ventral,8,6,0.12200909505216634,0.7268574527301501,0.7188506166302912
