subject,roi,M,d,R_BASE,R_COND,R_AUG
subj08,lateral,6,6,0.12683684381959465,0.7284383059588834,0.670528779943095
subj08,lateral,8,1,0.1286373860241399,0.38293718258803433,0.37898516496404705
subj08,lateral,8,2,0.1286373860241399,0.44762869182679466,0.4857740167886852
subj08,lateral,8,4,0.1286373860241399,0.7126762027655609,0.690657911661641
subj08,lateral,8,6,0.1286373860241399,0.7302388481634288,0.7097932567235047
subj08,lateral,8,8,0.1286373860241399,0.7376164787030409,0.7161858619810437
subj08,lateral,10,1,0.12969957065856916,0.3839993672224636,0.3839993672224636
subj08,lateral,10,2,0.12969957065856916,0.4486908764612239,0.4486908764612239
subj08,lateral,10,4,0.12969957065856916,0.7137383873999901,0.7137383873999901
subj08,lateral,10,6,0.12969957065856916,0.731301032797858,0.731301032797858
subj08,lateral,10,8,0.12969957065856916,0.7386786633374701,0.7386786633374701
subj08,lateral,10,10,0.12969957065856916,0.7446958018367882,0.7446958018367882
