subject,roi,M,d,OUT_BASIS_RECOVERY,R_AUG_minus_BASE,R_COND_minus_BASE
subj05,ventral,10,8,1.0,0.616189796407236,0.616189796407236
subj05,ventral,10,10,1.0,0.6328421107540687,0.6328421107540687
subj06,ventral,2,1,0.7847893320545576,0.2538380975791205,0.3234474364152978
subj06,ventral,2,2,0.7476617432975909,0.31430019370738377,0.4203775256991894
subj06,ventral,4,1,0.9061249705306763,0.29308379879003443,0.3234474364152977
subj06,ventral,4,2,0.8830316876613786,0.3712066759730698,0.4203775256991894
subj06,ventral,4,4,0.8772733863229809,0.38766656419374834,0.44189937850345695
subj06,ventral,6,1,0.9561832081968111,0.30927500743461356,0.32344743641529783
subj06,ventral,6,2,0.9414673351604066,0.39577170888134117,0.4203775256991894
subj06,ventral,6,4,0.9397588827565467,0.4152788662332211,0.44189937850345695
subj06,ventral,6,6,0.9356425464164896,0.4237290482309858,0.45287492520927763
subj06,ventral,8,1,0.9831540686924144,0.31799866311983105,0.32344743641529783
subj06,ventral,8,2,0.976893022740169,0.4106638717723142,0.4203775256991894
subj06,ventral,8,4,0.9764059649777618,0.43147318909074106,0.44189937850345695
subj06,ventral,8,6,0.972377696101219,0.4403654763970092,0.4528749252092775
subj06,ventral,8,8,0.9748705006377264,0.4464519835037981,0.45796029648219405
subj06,ventral,10,1,1.0,0.3234474364152977,0.3234474364152977
subj06,ventral,10,2,1.0,0.4203775256991893,0.4203775256991893
subj06,ventral,10,4,1.0,0.44189937850345695,0.44189937850345695
subj06,ventral,10,6,1.0,0.4528749252092775,0.4528749252092775
subj06,ventral,10,8,1.0,0.45796029648219405,0.45796029648219405
subj06,ventral,10,10,1.0,0.4631570221952037,0.4631570221952037
subj07,ventral,2,1,0.88451950872713,0.3954605147210649,0.4470907773307944
subj07,ventral,2,2,0.8531795177259176,0.43204681550004254,0.5063961411680734
subj07,ventral,4,1,0.9537535125439296,0.42641439930524094,0.4470907773307943
subj07,ventral,4,2,0.9322949988892509,0.47211058986781007,0.5063961411680735
subj07,ventral,4,4,0.9390834757375311,0.48485412725770805,0.5163056743990906
subj07,ventral,6,1,0.9789952082657527,0.4376997286666583,0.4470907773307944
subj07,ventral,6,2,0.9668855554868478,0.48962711424968897,0.5063961411680735
