subject,roi,M,d,R_BASE,R_AUG,DELTA_OUT,R_NULL_mean,E_AUG,R_COND,OUT_BASIS_RECOVERY,TOTAL_RECOVERY,TRAIN_retention
subj08,ventral,10,8,0.1399534312175832,0.7017907584172072,0.561837327199624,0.1835924160767416,0.5181983423404656,0.7017907584172072,1.0,1.0,0.9613162245372869
subj08,ventral,10,10,0.1399534312175832,0.7135821961999679,0.5736287649823847,0.19482868681745688,0.518753509382511,0.7135821961999679,1.0,1.0,0.9874968343399133
subj01,lateral,2,1,0.1450202817715713,0.5446915029904745,0.3996712212189032,0.15074569562196408,0.3939458073685105,0.6137575584408386,0.8526550823072349,0.6807242634374372,0.7502070561541677
subj01,lateral,2,2,0.1450202817715713,0.6254447468226015,0.4804244650510302,0.15643270226518693,0.46901204455741463,0.7346326195231132,0.814814131744776,0.8120002065068912,1.0000000000000002
subj01,lateral,4,1,0.14989442394729816,0.5902931883648542,0.4403987644175561,0.15556747443466484,0.4347257139301894,0.6186317006165655,0.9395428662019846,0.7548563226463897,0.6982279601230125
subj01,lateral,4,2,0.14989442394729816,0.6904859976867227,0.5405915737394246,0.16135707150655693,0.5291289261801657,0.7395067616988401,0.9168593313378487,0.9177340586770194,0.8903145530329715
subj01,lateral,4,4,0.14989442394729816,0.7035307509061847,0.5536363269588865,0.17260702173995426,0.5309237291662304,0.7520590625925263,0.9194102267520683,0.9389401700321632,1.0
subj01,lateral,6,1,0.15124264979332405,0.6070019951103075,0.4557593453169835,0.1569751770387014,0.4500268180716061,0.6199799264625913,0.9723129949371602,0.7820188768545463,0.6812791371797754
subj01,lateral,6,2,0.15124264979332405,0.7177656033424697,0.5665229535491457,0.1626200513031096,0.5551455520393601,0.740854987544866,0.9608397200600542,0.9620809578116926,0.8543640968340648
subj01,lateral,6,4,0.15124264979332405,0.7291371984053501,0.577894548612026,0.174047041147699,0.5550901572576511,0.7534072884385523,0.9596952586126513,0.9805671113733612,0.9449476819047037
subj01,lateral,6,6,0.15124264979332405,0.7384547480745147,0.5872120982811907,0.18543604848844827,0.5530186995860664,0.7611964049231136,0.9627157687655193,0.9957141204824793,1.0000000000000002
subj01,lateral,8,1,0.1517224850411847,0.615518086550411,0.4637956015092263,0.1573844611000643,0.45813362545034664,0.6204597617104519,0.9894574735016697,0.7958630010285465,0.672046090226079
subj01,lateral,8,2,0.1517224850411847,0.732438795653374,0.5807163106121893,0.16325658496151715,0.5691822106918568,0.7413348227927267,0.9849120743075404,0.9859343297264822,0.8357432750303979
subj01,lateral,8,4,0.1517224850411847,0.7439869897334724,0.5922645046922878,0.17469308047014187,0.5692939092633306,0.7538871236864129,0.9835590911229625,1.0,0.9132225659426133
subj01,lateral,8,6,0.1517224850411847,0.7519079688436358,0.6001854838024511,0.18605908707154187,0.5658488817720939,0.7616762401709742,0.9839852263467745,1.0,0.9641514289740495
subj01,lateral,8,8,0.1517224850411847,0.7597841432078369,0.6080616581666523,0.1972782893686592,0.5625058538391777,0.7657869735290689,0.9902244301148015,1.0,0.9991796695372551
subj01,lateral,10,1,0.15189291903481877,0.6206301957040861,0.4687372766692673,0.15747891604951217,0.4631512796545739,0.6206301957040861,1.0,0.8041734653316003,0.666629278830648
subj01,lateral,10,2,0.15189291903481877,0.7415052567863607,0.5896123377515419,0.16340974763651434,0.5780955091498463,0.7415052567863607,1.0,1.0,0.8247242464035951
subj01,lateral,10,4,0.15189291903481877,0.754057557680047,0.6021646386452282,0.17410141676909022,0.5799561409109568,0.754057557680047,1.0,1.0,0.8927097924548093
subj01,lateral,10,6,0.15189291903481877,0.7618466741646083,0.6099537551297896,0.1865212282379712,0.575325445926637,0.7618466741646083,1.0,1.0,0.9410016562386653
subj01,lateral,10,8,0.15189291903481877,0.7659574075227029,0.6140644884878841,0.19797879075503425,0.5679786167676687,0.7659574075227029,1.0,1.0,0.9742178122078383
subj01,lateral,10,10,0.15189291903481877,0.7752153039010321,0.6233223848662133,0.20795854697703106,0.567256756924001,0.7752153039010321,1.0,1.0,0.9987900292867624
subj02,lateral,2,1,0.1343657907337327,0.44114281117965426,0.3067770204459216,0.14095395899424643,0.3001888521854078,0.5277003580952397,0.7799391304552393,0.5303624558218664,0.7025489497803917
subj02,lateral,2,2,0.1343657907337327,0.5308267480781116,0.3964609573443789,0.14755116319205813,0.38327558488605346,0.6502175425690789,0.7685559968223672,0.6764978224157372,1.0000000000000002
subj02,lateral,4,1,0.14120208708070042,0.49735996276144245,0.35615787568074203,0.14781547425719457,0.3495444885042479,0.5345366544422074,0.9054832837852349,0.621965415497571,0.6383458992685308
subj02,lateral,4,2,0.14120208708070042,0.602403928560028,0.4612018414793276,0.15429878294863508,0.4481051456113929,0.6570538389160467,0.8940588838526184,0.7931291598794747,0.8518097899146837
