subject,roi,fold,SIM_IN,SIM_IN_NULL,GR_IN,SIM_OUT,SIM_OUT_NULL,GR_OUT
subj02,lateral,0,0.5178236141538902,0.4950126603711208,0.04517133795776633,0.36418577959835297,0.3432692225665675,0.031849515433903366
subj02,lateral,1,0.5197772671400717,0.5004717491704351,0.038647499791204847,0.3927407062217586,0.36250562628781025,0.04742799494509519
subj02,lateral,2,0.5713813164600409,0.5283552570317016,0.0912255676964712,0.3774036911720003,0.3544759961396635,0.03551795889111094
subj02,lateral,3,0.5142163625039845,0.4950281781927765,0.03799852483359601,0.38828675090852344,0.37614230255880104,0.019466696330803956
subj02,lateral,4,0.514503200056884,0.5068784763842218,0.015462159543867532,0.3573912298446289,0.34239655208887126,0.022802005986112282
subj02,lateral,5,0.5097046630887402,0.4785516340287996,0.05974326720138038,0.3497779874767738,0.3488428550905922,0.0014361086160111045
subj03,lateral,0,0.5244619462837016,0.5249367178083444,-0.00099938585540121,0.269592207596401,0.25466224129868253,0.02003114175207301
subj03,lateral,1,0.47644768945256005,0.48793935069667677,-0.022441992486146957,0.24314643439508965,0.24847199111183468,-0.00708630503954714
subj03,lateral,2,0.5750470180013646,0.5684973886677919,0.015178655149621455,0.24676478930538875,0.23833916988901444,0.011062167152729356
subj03,lateral,3,0.5154751852682355,0.517475508918139,-0.004145538075007424,0.23536217505359636,0.22738537807952683,0.010324418860002621
subj03,lateral,4,0.5071537575123383,0.5180876747961857,-0.022688602702209668,0.23951847982928984,0.2294096697055118,0.013118267549392769
subj03,lateral,5,0.5340445449767744,0.5373386269813684,-0.0071198552476980995,0.19314205060493855,0.18639233423883514,0.008296033395640104
subj04,lateral,0,0.5022297729931612,0.48486138079205526,0.033715958294508803,0.0826949182063123,0.08257350546088867,0.000132340570221525
subj04,lateral,1,0.4628790589118263,0.4390798850922215,0.04242881149576465,0.15244740759435413,0.14856269754397347,0.004562532131461656
subj04,lateral,2,0.46572927427182903,0.46159602942384026,0.007676846891685588,0.2659705832806226,0.2636742341589368,0.003118659197078095
subj04,lateral,3,0.49012511662891406,0.477116495921789,0.02487862134809147,0.20367751516811847,0.2017492645690676,0.002415595142558683
subj04,lateral,4,0.4792198207988765,0.46326670972847844,0.029722604055969232,0.2345446925752324,0.23700486159243198,-0.0032243573954273902
subj04,lateral,5,0.48057117644172725,0.4659544561320452,0.027369801091901035,0.026246287529072286,0.018000032368510586,0.00839740879060419
subj05,lateral,0,0.5593856165223084,0.561450407280117,-0.004708226371851576,0.3011962938963424,0.3006709211036296,0.0007512526056286875
subj05,lateral,1,0.5466994591463371,0.5399078563615971,0.014761396991115939,0.3473088451888144,0.342701202446935,0.007009966789886566
subj05,lateral,2,0.5638781955411646,0.5520671967356584,0.02636779159604454,0.25228206933760605,0.2539000571496598,-0.0021685939364537604
subj05,lateral,3,0.47654914291190115,0.47563365795271656,0.001745888104889149,0.26015829554554626,0.258834638816919,0.001785912831266691
subj05,lateral,4,0.5330813885212051,0.5345180027434673,-0.003086293843219076,0.10011825458087348,0.10182168741666475,-0.0018965419359680046
subj05,lateral,5,0.5527969833381334,0.545976999328595,0.015021230200789602,0.17874599338782157,0.16837512463637502,0.0124706091155726
subj06,lateral,0,0.462889916799869,0.45255623148315055,0.018876249783086923,0.2886556665349454,0.27663189196168003,0.016621930715016282
subj06,lateral,1,0.45801693223025247,0.45485722932939593,0.005796101628514037,0.26930970299613455,0.26785533160213343,0.001986453575061447
subj06,lateral,2,0.41686840707893147,0.41501952607324066,0.003160585845335906,0.2485597313331089,0.2502483760881678,-0.002252272220830123
subj06,lateral,3,0.464019488370825,0.4612122130054716,0.0052103544904256,0.2653518257782922,0.2668308434984815,-0.0020172939724398525
subj06,lateral,4,0.4284271135124589,0.43587139429804495,-0.013196070382431712,0.2448334276128265,0.2499194485425193,-0.006780632986430791
subj06,lateral,5,0.47470330237231567,0.4637573268124774,0.020412354531155533,0.26281858897809174,0.27051351458621037,-0.010548414209145773
subj07,lateral,0,0.44797399665129795,0.43602319954607405,0.021190228207268638,0.031411994848659745,0.03229818709477275,-0.0009157699554705659
subj07,lateral,1,0.44803747045459713,0.4402843870173293,0.01385182628005031,0.13206961001344758,0.14569424599971048,-0.015948196441924332
subj07,lateral,2,0.4631099784339745,0.4449542884691601,0.03271026077246909,0.08188288477522274,0.07487073050315768,0.007579648059215353
subj07,lateral,3,0.48748589369671363,0.4629058420098415,0.04576488371955548,0.2428601373995065,0.24181294893594343,0.0013811742921399223
subj07,lateral,4,0.45557643693661065,0.4399679371576402,0.0278707252933909,0.04545611508202072,0.049916511201856834,-0.004694741222667198
subj07,lateral,5,0.4542923127956023,0.4378950512733025,0.029171174456733544,0.31609698337595404,0.3222658441184386,-0.009102183634909824
subj08,lateral,0,0.343409960236164,0.33775668594420155,0.008536551705354197,0.3318917540175064,0.32301768241851436,0.013108276787338578
subj08,lateral,1,0.329706449041375,0.33895666353856463,-0.013993355634905866,0.3092299927131333,0.30538195222316733,0.005539793419249386
subj08,lateral,2,0.3622236866281027,0.3637431477618284,-0.0023881253748084014,0.33153352558013927,0.3259059363612809,0.008348373798874561
subj08,lateral,3,0.33468962167712496,0.3452563252935925,-0.016138687588247037,0.32602866574243045,0.318232305062279,0.011435509100887553
subj08,lateral,4,0.3560635676406437,0.35416873039569274,0.0029339509158667313,0.31123767960341125,0.3013719429374246,0.014121586681570972
subj08,lateral,5,0.3780786750882548,0.37775662764209095,0.0005175586602771185,0.3297720796868183,0.3213559416632353,0.012401402355469656
