subject,roi,fold,R0,R_IN_OR,R_IN_PRED,R_IN_NULL,E_IN,R_OUT_OR,R_OUT_PRED,R_OUT_NULL,E_OUT
subj01,lateral,1,0.11338771962475133,0.13888865063819256,0.06294073956469434,0.06700046157120608,-0.004059722006511737,0.6967356731761952,0.12232026917428387,0.12176747663018286,0.0005527925441010106
subj01,lateral,2,0.09944987000629948,0.1412214367356899,0.07961912274386526,0.09642754240768438,-0.016808419663819116,0.7226621493862255,0.10685888139573414,0.10465605779863595,0.002202823597098197
subj01,lateral,3,0.15490599365820598,0.18282881267723916,0.1106549841543841,0.11716095759221906,-0.006505973437834961,0.6687306222818585,0.15722604400506365,0.15857192318930005,-0.0013458791842363982
subj01,lateral,4,0.13724521381212826,0.1664787368900539,0.10392677893033642,0.10116268917024619,0.0027640897600902242,0.7429396792032396,0.14471084712749302,0.14280254789423302,0.0019082992332599968
subj01,lateral,5,0.1211943040943988,0.13638886774829867,0.08095039388210687,0.0861177648292668,-0.005167370947159924,0.7804142146731023,0.13183752015760958,0.12490236463421017,0.0069351555233994056
subj02,lateral,0,0.1504794182831691,0.17107886394523356,0.06580621070047023,0.08459283671135605,-0.01878662601088582,0.7349853374798215,0.1537205377224333,0.15578263848242985,-0.002062100759996549
subj02,lateral,1,0.11251160313859357,0.11299291085748214,0.0766827046804424,0.07540032229631212,0.0012823823841302817,0.6243226872391757,0.11421573008125875,0.11504506219519893,-0.0008293321139401788
subj02,lateral,2,0.13477055014787254,0.14548852545943608,0.0958024680374632,0.09910846969837353,-0.0033060016609103293,0.7075770094486279,0.1387348164814135,0.1369810219839835,0.0017537944974300168
subj02,lateral,3,0.0893491128561634,0.19652956031736285,0.11277636042165104,0.11232510764506312,0.0004512527765879182,0.618220083903777,0.09358987454160167,0.0936901739746725,-0.00010029943307082734
subj02,lateral,4,0.1178729713164479,0.1298285203234755,0.1067470648204901,0.10741400198485812,-0.0006669371643680255,0.553324549980065,0.11886806205960859,0.12084994590817692,-0.0019818838485683304
subj02,lateral,5,0.0889581519676716,0.15951372117609472,0.09396952234665593,0.09384662948191921,0.00012289286473671224,0.5506226506705284,0.09048018436736616,0.09178834409883603,-0.001308159731469874
subj03,lateral,0,0.19890980235787553,0.2359119967835906,0.1851876207187108,0.18275470815902348,0.0024329125596873336,0.6736865264670886,0.20781715624970273,0.20646678506540742,0.001350371184295318
subj03,lateral,1,0.1406079829245157,0.18387866189254182,0.11934216328201006,0.13363792377089878,-0.014295760488888726,0.6466342058359704,0.14624130158177195,0.14632062715588817,-7.932557411621799e-05
subj03,lateral,2,0.14322554453822606,0.22665710219201585,0.13234913462602538,0.12755756914087393,0.004791565485151444,0.6653456240923645,0.14452940904213019,0.14538637589646106,-0.0008569668543308706
subj03,lateral,3,0.21049893060703434,0.22750779633030913,0.15483762917783467,0.15896635572885892,-0.004128726551024253,0.6787833009955051,0.21265894045365508,0.21438366269167453,-0.0017247222380194493
subj03,lateral,4,0.1261252133218715,0.21764630155656933,0.16575348321450684,0.18249922153803957,-0.01674573832353274,0.6204182533031595,0.12878728853038995,0.13126459406085914,-0.0024773055304691816
subj03,lateral,5,0.09892034777782344,0.13224882976139082,0.0929048495928585,0.0904047687461377,0.0025000808467207924,0.6115984898265441,0.10086622905127313,0.10429004643926491,-0.003423817387991787
subj04,lateral,0,0.12811511074698534,0.14531420461930894,0.09050078599546656,0.09829325241352915,-0.007792466418062596,0.5852609289962023,0.14136986178249555,0.13056088659293835,0.010808975189557202
subj04,lateral,1,0.13469005205777335,0.15257597873847023,0.0903252904080572,0.07329655593227706,0.01702873447578014,0.6552879629405646,0.14883887024827067,0.13734584151922047,0.011493028729050198
subj04,lateral,2,0.1596133308597619,0.16702515698898684,0.07903875698764345,0.08547198163166898,-0.006433224644025529,0.6957206498233697,0.1633825529136469,0.16250754201105394,0.0008750109025929542
