subject,roi,fold,donor,CKA_IN,CKA_OUT,w_IN,w_OUT
subj04,ventral,0,subj06,0.5467474516036239,0.3259905761274421,0.05608297612778783,0.11318203219010936
subj04,ventral,0,subj07,0.38784037775188657,0.20059554452153103,0.022160369395735954,0.08077256171224338
subj04,ventral,0,subj08,0.5930260104305483,0.29328059941137236,0.14092646335930212,0.15555235605192963
subj04,ventral,1,subj01,0.6236405754003097,0.22069432759799482,0.11159120420615162,0.08849495762877078
subj04,ventral,1,subj02,0.6938848814456612,0.37377747477908924,0.2534631249244465,0.19098761592362065
subj04,ventral,1,subj03,0.6249169205091318,0.32152220352999195,0.15355212285135364,0.17297334768920128
subj04,ventral,1,subj05,0.7020606104413178,0.3975759465001425,0.2622237391352224,0.19803712880412486
subj04,ventral,1,subj06,0.5467474516036239,0.3259905761274421,0.05608297612778783,0.11318203219010936
subj04,ventral,1,subj07,0.38784037775188657,0.20059554452153103,0.022160369395735954,0.08077256171224338
subj04,ventral,1,subj08,0.5930260104305483,0.29328059941137236,0.14092646335930212,0.15555235605192963
subj04,ventral,2,subj01,0.6236405754003097,0.22069432759799482,0.11159120420615162,0.08849495762877078
subj04,ventral,2,subj02,0.6938848814456612,0.37377747477908924,0.2534631249244465,0.19098761592362065
subj04,ventral,2,subj03,0.6249169205091318,0.32152220352999195,0.15355212285135364,0.17297334768920128
subj04,ventral,2,subj05,0.7020606104413178,0.3975759465001425,0.2622237391352224,0.19803712880412486
subj04,ventral,2,subj06,0.5467474516036239,0.3259905761274421,0.05608297612778783,0.11318203219010936
subj04,ventral,2,subj07,0.38784037775188657,0.20059554452153103,0.022160369395735954,0.08077256171224338
subj04,ventral,2,subj08,0.5930260104305483,0.29328059941137236,0.14092646335930212,0.15555235605192963
subj04,ventral,3,subj01,0.6236405754003097,0.22069432759799482,0.11159120420615162,0.08849495762877078
subj04,ventral,3,subj02,0.6938848814456612,0.37377747477908924,0.2534631249244465,0.19098761592362065
subj04,ventral,3,subj03,0.6249169205091318,0.32152220352999195,0.15355212285135364,0.17297334768920128
subj04,ventral,3,subj05,0.7020606104413178,0.3975759465001425,0.2622237391352224,0.19803712880412486
subj04,ventral,3,subj06,0.5467474516036239,0.3259905761274421,0.05608297612778783,0.11318203219010936
subj04,ventral,3,subj07,0.38784037775188657,0.20059554452153103,0.022160369395735954,0.08077256171224338
subj04,ventral,3,subj08,0.5930260104305483,0.29328059941137236,0.14092646335930212,0.15555235605192963
subj04,ventral,4,subj01,0.6236405754003097,0.22069432759799482,0.11159120420615162,0.08849495762877078
subj04,ventral,4,subj02,0.6938848814456612,0.37377747477908924,0.2534631249244465,0.19098761592362065
subj04,ventral,4,subj03,0.6249169205091318,0.32152220352999195,0.15355212285135364,0.17297334768920128
subj04,ventral,4,subj05,0.7020606104413178,0.3975759465001425,0.2622237391352224,0.19803712880412486
subj04,ventral,4,subj06,0.5467474516036239,0.3259905761274421,0.05608297612778783,0.11318203219010936
subj04,ventral,4,subj07,0.38784037775188657,0.20059554452153103,0.022160369395735954,0.08077256171224338
subj04,ventral,4,subj08,0.5930260104305483,0.29328059941137236,0.14092646335930212,0.15555235605192963
subj04,ventral,5,subj01,0.6236405754003097,0.22069432759799482,0.11159120420615162,0.08849495762877078
subj04,ventral,5,subj02,0.6938848814456612,0.37377747477908924,0.2534631249244465,0.19098761592362065
subj04,ventral,5,subj03,0.6249169205091318,0.32152220352999195,0.15355212285135364,0.17297334768920128
subj04,ventral,5,subj05,0.7020606104413178,0.3975759465001425,0.2622237391352224,0.19803712880412486
subj04,ventral,5,subj06,0.5467474516036239,0.3259905761274421,0.05608297612778783,0.11318203219010936
subj04,ventral,5,subj07,0.38784037775188657,0.20059554452153103,0.022160369395735954,0.08077256171224338
subj04,ventral,5,subj08,0.5930260104305483,0.29328059941137236,0.14092646335930212,0.15555235605192963
subj05,ventral,0,subj01,0.6600901410508657,0.27348986839500544,0.1536506784430964,0.11952903150589976
subj05,ventral,0,subj02,0.6940667707700647,0.39340241452287483,0.16784477800395603,0.170370812941776
subj05,ventral,0,subj03,0.6438117139019577,0.30872261859888617,0.14508077411519457,0.11647209385652321
subj05,ventral,0,subj04,0.7020606104413178,0.3975759465001425,0.2344707660372288,0.1839861522381607
subj05,ventral,0,subj06,0.6010912951204667,0.3973977859150145,0.13039225765156287,0.19318005049318576
subj05,ventral,0,subj07,0.46071249250843543,0.26181792330350795,0.09675841793764546,0.12357536682735515
subj05,ventral,0,subj08,0.58585810153907,0.2736962513842376,0.07180232781131594,0.09288649213709949
subj05,ventral,1,subj01,0.6600901410508657,0.27348986839500544,0.1536506784430964,0.11952903150589976
subj05,ventral,1,subj02,0.6940667707700647,0.39340241452287483,0.16784477800395603,0.170370812941776
subj05,ventral,1,subj03,0.6438117139019577,0.30872261859888617,0.14508077411519457,0.11647209385652321
subj05,ventral,1,subj04,0.7020606104413178,0.3975759465001425,0.2344707660372288,0.1839861522381607
subj05,ventral,1,subj06,0.6010912951204667,0.3973977859150145,0.13039225765156287,0.19318005049318576
subj05,ventral,1,subj07,0.46071249250843543,0.26181792330350795,0.09675841793764546,0.12357536682735515
subj05,ventral,1,subj08,0.58585810153907,0.2736962513842376,0.07180232781131594,0.09288649213709949
subj05,ventral,2,subj01,0.6600901410508657,0.27348986839500544,0.1536506784430964,0.11952903150589976
subj05,ventral,2,subj02,0.6940667707700647,0.39340241452287483,0.16784477800395603,0.170370812941776
subj05,ventral,2,subj03,0.6438117139019577,0.30872261859888617,0.14508077411519457,0.11647209385652321
subj05,ventral,2,subj04,0.7020606104413178,0.3975759465001425,0.2344707660372288,0.1839861522381607
subj05,ventral,2,subj06,0.6010912951204667,0.3973977859150145,0.13039225765156287,0.19318005049318576
subj05,ventral,2,subj07,0.46071249250843543,0.26181792330350795,0.09675841793764546,0.12357536682735515
subj05,ventral,2,subj08,0.58585810153907,0.2736962513842376,0.07180232781131594,0.09288649213709949
subj05,ventral,3,subj01,0.6600901410508657,0.27348986839500544,0.1536506784430964,0.11952903150589976
subj05,ventral,3,subj02,0.6940667707700647,0.39340241452287483,0.16784477800395603,0.170370812941776
subj05,ventral,3,subj03,0.6438117139019577,0.30872261859888617,0.14508077411519457,0.11647209385652321
subj05,ventral,3,subj04,0.7020606104413178,0.3975759465001425,0.2344707660372288,0.1839861522381607
subj05,ventral,3,subj06,0.6010912951204667,0.3973977859150145,0.13039225765156287,0.19318005049318576
subj05,ventral,3,subj07,0.46071249250843543,0.26181792330350795,0.09675841793764546,0.12357536682735515
subj05,ventral,3,subj08,0.58585810153907,0.2736962513842376,0.07180232781131594,0.09288649213709949
subj05,ventral,4,subj01,0.6600901410508657,0.27348986839500544,0.1536506784430964,0.11952903150589976
subj05,ventral,4,subj02,0.6940667707700647,0.39340241452287483,0.16784477800395603,0.170370812941776
subj05,ventral,4,subj03,0.6438117139019577,0.30872261859888617,0.14508077411519457,0.11647209385652321
subj05,ventral,4,subj04,0.7020606104413178,0.3975759465001425,0.2344707660372288,0.1839861522381607
subj05,ventral,4,subj06,0.6010912951204667,0.3973977859150145,0.13039225765156287,0.19318005049318576
subj05,ventral,4,subj07,0.46071249250843543,0.26181792330350795,0.09675841793764546,0.12357536682735515
subj05,ventral,4,subj08,0.58585810153907,0.2736962513842376,0.07180232781131594,0.09288649213709949
subj05,ventral,5,subj01,0.6600901410508657,0.27348986839500544,0.1536506784430964,0.11952903150589976
subj05,ventral,5,subj02,0.6940667707700647,0.39340241452287483,0.16784477800395603,0.170370812941776
subj05,ventral,5,subj03,0.6438117139019577,0.30872261859888617,0.14508077411519457,0.11647209385652321
subj05,ventral,5,subj04,0.7020606104413178,0.3975759465001425,0.2344707660372288,0.1839861522381607
subj05,ventral,5,subj06,0.6010912951204667,0.3973977859150145,0.13039225765156287,0.19318005049318576
subj05,ventral,5,subj07,0.46071249250843543,0.26181792330350795,0.09675841793764546,0.12357536682735515
subj05,ventral,5,subj08,0.58585810153907,0.2736962513842376,0.07180232781131594,0.09288649213709949
subj06,ventral,0,subj01,0.5598024388238337,0.22738114352957042,0.18416444532884982,0.10957598373976721
subj06,ventral,0,subj02,0.579121020395894,0.3897069205228697,0.16600012792987986,0.23440001882966513
subj06,ventral,0,subj03,0.5340330155678049,0.276770524824828,0.1505625302952424,0.1296439086867487
subj06,ventral,0,subj04,0.5467474516036239,0.3259905761274421,0.08306460092038488,0.11641089231474784
subj06,ventral,0,subj05,0.6010912951204667,0.3973977859150145,0.21598323374603517,0.21386508575803623
subj06,ventral,0,subj07,0.34401047709150956,0.20384063235828775,0.08232864381870104,0.0966900858260803
subj06,ventral,0,subj08,0.4913892045197918,0.23862456724777747,0.11789641796090679,0.09941402484495455
subj06,ventral,1,subj01,0.5598024388238337,0.22738114352957042,0.18416444532884982,0.10957598373976721
subj06,ventral,1,subj02,0.579121020395894,0.3897069205228697,0.16600012792987986,0.23440001882966513
subj06,ventral,1,subj03,0.5340330155678049,0.276770524824828,0.1505625302952424,0.1296439086867487
subj06,ventral,1,subj04,0.5467474516036239,0.3259905761274421,0.08306460092038488,0.11641089231474784
subj06,ventral,1,subj05,0.6010912951204667,0.3973977859150145,0.21598323374603517,0.21386508575803623
subj06,ventral,1,subj07,0.34401047709150956,0.20384063235828775,0.08232864381870104,0.0966900858260803
