subject,roi,fold,ERR_BARY_IN,ERR_UNIFORM_IN,FIT_GAIN_IN,ERR_BARY_OUT,ERR_UNIFORM_OUT,FIT_GAIN_OUT,ACTIVE_IN,ACTIVE_OUT
subj02,ventral,4,0.6069504548032613,0.6162990563548385,0.00934860155157724,0.8601512900641846,0.8687648098871977,0.008613519823013172,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj02,ventral,5,0.6069504548032613,0.6162990563548385,0.00934860155157724,0.8601512900641846,0.8687648098871977,0.008613519823013172,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj03,ventral,0,0.692060367227915,0.696862574741865,0.0048022075139499965,0.9298382389308153,0.9343005856205941,0.004462346689778851,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,ventral,1,0.692060367227915,0.696862574741865,0.0048022075139499965,0.9298382389308153,0.9343005856205941,0.004462346689778851,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,ventral,2,0.692060367227915,0.696862574741865,0.0048022075139499965,0.9298382389308153,0.9343005856205941,0.004462346689778851,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,ventral,3,0.692060367227915,0.696862574741865,0.0048022075139499965,0.9298382389308153,0.9343005856205941,0.004462346689778851,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,ventral,4,0.692060367227915,0.696862574741865,0.0048022075139499965,0.9298382389308153,0.9343005856205941,0.004462346689778851,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj03,ventral,5,0.692060367227915,0.696862574741865,0.0048022075139499965,0.9298382389308153,0.9343005856205941,0.004462346689778851,subj01|subj02|subj04|subj05|subj06|subj07|subj08,subj01|subj02|subj04|subj05|subj06|subj07|subj08
subj04,ventral,0,0.6218790465448772,0.6408864884839591,0.01900744193908188,0.8590188391012358,0.8654818635669385,0.0064630244657026825,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj04,ventral,1,0.6218790465448772,0.6408864884839591,0.01900744193908188,0.8590188391012358,0.8654818635669385,0.0064630244657026825,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj04,ventral,2,0.6218790465448772,0.6408864884839591,0.01900744193908188,0.8590188391012358,0.8654818635669385,0.0064630244657026825,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
