participant,ROI,beta,fold,v2v_lam,v2v_rank,v2v_val
subj05,V2,B0,1,23.10129700083163,4,0.6890602532178343
subj05,V2,B0,2,33.516026509388475,4,0.6564426373422618
subj05,V2,B0,3,10.974987654930567,3,0.5320691606701925
subj05,V2,B1,0,0.4641588833612782,5,0.5202939292563689
subj05,V2,B1,1,1.7073526474706922,4,0.6190955449600665
subj05,V2,B1,2,2.4770763559917115,4,0.514356722089722
subj05,V2,B1,3,19.179102616724887,6,0.4716075172798401
subj05,V3,B0,0,15.922827933410938,6,0.5191918516562761
subj05,V3,B0,1,453.48785081285916,2,0.537532654268001
subj05,V3,B0,2,0.03430469286314919,1,0.5112134522715307
subj05,V3,B0,3,0.001,1,0.3031298321899612
subj05,V3,B1,0,48.62601580065353,9,0.33482228570650363
subj05,V3,B1,1,23.10129700083163,8,0.28798773668699107
subj05,V3,B1,2,19.179102616724887,7,0.3413060784905796
subj05,V3,B1,3,178.8649529057435,7,0.31924673903024436
subj05,hV4,B0,0,453.48785081285916,4,0.3459817775987975
subj05,hV4,B0,1,0.001,3,0.31356621778598665
subj05,hV4,B0,2,70.54802310718645,4,0.21239438827199314
subj05,hV4,B0,3,19.179102616724887,1,0.2856717106091695
subj05,hV4,B1,0,84.97534359086455,1,0.13796861814666153
subj05,hV4,B1,1,4229.242874389508,4,0.2681377918716564
subj05,hV4,B1,2,102.35310218990269,3,0.263073772283015
subj05,hV4,B1,3,123.28467394420684,1,0.236215192585958
subj05,ventral,B0,0,453.48785081285916,4,0.41524724624118486
subj05,ventral,B0,1,453.48785081285916,3,0.38858010417273364
subj05,ventral,B0,2,178.8649529057435,3,0.41580976576846324
subj05,ventral,B0,3,215.44346900318865,8,0.296199294985725
subj05,ventral,B1,0,215.44346900318865,6,0.0637418656106749
subj05,ventral,B1,1,259.5024211399737,4,0.30658512667176235
subj05,ventral,B1,2,215.44346900318865,2,0.2531904456491981
subj05,ventral,B1,3,84.97534359086455,8,0.23992441201500322
subj05,lateral,B0,0,47508.10162102803,1,0.4687582580912712
subj05,lateral,B0,1,100000.0,1,0.47516382962861403
subj05,lateral,B0,2,8902.150854450392,4,0.5102412636651172
subj05,lateral,B0,3,123.28467394420684,7,0.27033201879757685
subj05,lateral,B1,0,1149.756995397738,2,0.2467007349088908
subj05,lateral,B1,1,215.44346900318865,2,0.25247050823471623
subj05,lateral,B1,2,178.8649529057435,5,0.27988488190589117
subj05,lateral,B1,3,0.001,12,0.18226016862999697
subj05,parietal,B0,0,259.5024211399737,3,0.4108432775204654
subj05,parietal,B0,1,546.2277217684348,2,0.39951499302525195
subj05,parietal,B0,2,84.97534359086455,5,0.40578794311993654
subj05,parietal,B0,3,4.328761281083062,5,0.3955855297037728
subj05,parietal,B1,0,0.08697490026177834,3,0.24256858360111114
subj05,parietal,B1,1,15.922827933410938,3,0.31863894608473115
subj05,parietal,B1,2,19.179102616724887,9,0.2015767786212676
subj05,parietal,B1,3,215.44346900318865,4,0.3090278774241116
subj06,V1,B0,0,792.4828983539186,4,0.5413915319953658
subj06,V1,B0,1,2.4770763559917115,3,0.5936612763505731
subj06,V1,B0,2,9.111627561154895,3,0.6283020204477954
subj06,V1,B0,3,58.57020818056673,4,0.3213029449816062
subj06,V1,B1,0,13.219411484660315,3,0.3445386578580697
subj06,V1,B1,1,0.001,2,0.483010118588289
subj06,V1,B1,2,4.328761281083062,2,0.48201636241110135
subj06,V1,B1,3,27.825594022071257,5,0.25878162206922684
subj06,V2,B0,0,2009.23300256505,3,0.6033674197243601
subj06,V2,B0,1,13.219411484660315,3,0.6540020769007189
subj06,V2,B0,2,1668.100537200059,3,0.5986636028745377
subj06,V2,B0,3,1.7073526474706922,6,0.4414678976446984
subj06,V2,B1,0,312.57158496882414,3,0.40765448683476513
subj06,V2,B1,1,84.97534359086455,5,0.42199302665109517
subj06,V2,B1,2,123.28467394420684,5,0.41038711717219084
subj06,V2,B1,3,3.5938136638046294,5,0.36529942936800563
subj06,V3,B0,0,2.4770763559917115,1,0.487427116752966
subj06,V3,B0,1,954.5484566618347,5,0.4695034840726626
subj06,V3,B0,2,178.8649529057435,3,0.5070431573654476
subj06,V3,B0,3,148.49682622544665,5,0.4515190049598144
subj06,V3,B1,0,7.56463327554629,3,0.24602352910904332
