participant,ROI,beta,fold,n_voxels,v2v_lam,v2v_rank,v2v_val,v2i_lam,v2i_rank,v2i_val,test_r,median,std,finite_frac,target_constant,prediction_constant
subj04,ventral,B1,3,153,0.001,11,0.02995240597743666,0.3853528593710531,2,0.01616709421791092,-0.039633605985604066,-0.03816303873821439,0.18449514718858753,1.0,0,0
subj04,lateral,B0,0,143,1384.8863713938745,1,0.2708832074476339,0.0014508287784959402,1,0.15895267733522292,0.04154392947822988,0.027964646793403415,0.18438788706664944,1.0,0,0
subj04,lateral,B0,1,143,657.9332246575682,1,0.269108579784299,3.5938136638046294,2,0.14051564548523685,0.08738457383851306,0.09177679299229224,0.17741211491758394,1.0,0,0
subj04,lateral,B0,2,143,7.56463327554629,1,0.368013641308582,27.825594022071257,1,0.03578144799756767,0.07863177210601417,0.10084606598253149,0.18954354364364043,1.0,0,0
subj04,lateral,B0,3,143,657.9332246575682,3,0.23293384548098628,312.57158496882414,2,0.12616124938634565,0.09288065713702735,0.11320190738233421,0.2299440361833804,1.0,0,0
subj04,lateral,B1,0,143,0.001,1,0.15767515207052188,0.03430469286314919,1,0.04099264111750133,0.143318966285738,0.15688203674597323,0.15887515955606082,1.0,0,0
subj04,lateral,B1,1,143,2420.1282647943835,1,0.0716178519648775,0.22051307399030456,7,0.03106742688223564,0.011378819397351084,0.012313707298131055,0.19463438744669606,1.0,0,0
subj04,lateral,B1,2,143,4229.242874389508,1,0.1096497826508776,0.0030538555088334154,3,0.1258038488992297,0.16231228520616772,0.19203150513812173,0.22451915517410792,1.0,0,0
subj04,lateral,B1,3,143,15.922827933410938,12,0.04016581583675701,0.05994842503189412,1,0.07656960153678309,0.031153098486577723,0.03257673675117774,0.17858724818280647,1.0,0,0
subj04,parietal,B0,0,67,4229.242874389508,2,-0.005429020187230475,0.001,2,0.11630027618844967,0.10022603854444982,0.09593526475642415,0.19882690580609846,1.0,0,0
subj04,parietal,B0,1,67,0.001,12,-0.00014328220591473175,215.44346900318865,1,-0.00795126501299205,0.052740237763417894,0.06359971483334605,0.13759752953562004,1.0,0,0
subj04,parietal,B0,2,67,0.001,2,0.1647840771683007,0.10476157527896651,3,0.21000620909215129,0.17418891009879725,0.18920562709245642,0.1772539240691343,1.0,0,0
subj04,parietal,B0,3,67,33.516026509388475,3,-0.08744636578244554,0.22051307399030456,4,0.13892117922455963,0.20039599615186976,0.20241603282533135,0.14938564319426828,1.0,0,0
subj04,parietal,B1,0,67,0.001,3,0.10209020226261607,0.049770235643321115,1,0.09301468581129894,-0.05451844658268693,-0.0563940566515596,0.18256397994015824,1.0,0,0
subj04,parietal,B1,1,67,27185.882427329456,4,0.08279274728683195,453.48785081285916,1,0.049483881232487426,-0.021534754624984203,-0.002785156416998193,0.14828843361610902,1.0,0,0
subj04,parietal,B1,2,67,0.001,6,0.03364018735235801,0.001,1,0.06122650096004399,-0.04074109774393373,-0.014037541556020243,0.15129590893277248,1.0,0,0
subj04,parietal,B1,3,67,13.219411484660315,7,0.025276112688255914,0.001,2,0.06453220857573844,-0.1051968980459143,-0.14725798725275802,0.17102273808879734,1.0,0,0
subj05,V1,B0,0,23,7.56463327554629,4,0.6747383287827587,100000.0,1,0.2954500020437044,0.443634171002372,0.45682512399487385,0.10592216227944547,1.0,0,0
subj05,V1,B0,1,23,4.328761281083062,1,0.627934849391021,0.10476157527896651,1,0.3573140009887423,0.04247233074422031,0.01044621029229238,0.12978911889034694,1.0,0,0
subj05,V1,B0,2,23,6.280291441834259,1,0.605896960334522,0.001,1,0.42772229354075425,0.49448368713338575,0.5411866236506018,0.1704337714990723,1.0,0,0
subj05,V1,B0,3,23,259.5024211399737,3,0.34273625420306497,33.516026509388475,1,0.6132568900881588,0.318192428304506,0.3238192317450806,0.1843857455633733,1.0,0,0
subj05,V1,B1,0,23,2.4770763559917115,5,0.41496837661592584,376.49358067924715,1,0.07827597484369536,-0.2060436986572251,-0.28306212969360217,0.23817497032075238,1.0,0,0
subj05,V1,B1,1,23,13.219411484660315,5,0.49602490324661924,1668.100537200059,1,0.1691647393015098,-0.07414132538184014,-0.09345644891319996,0.10466316928306726,1.0,0,0
subj05,V1,B1,2,23,7.56463327554629,5,0.5189298280520132,0.9770099572992257,4,-0.06456815961095169,-0.08708967642289563,-0.06765208119412207,0.22114424965880197,1.0,0,0
