ROI,target_subject,identity_fold,vis_img_mean_sq_cos,vis_img_min_cos,vis_img_max_angle,cross_state_overlap
parietal,subj07,5,0.3509306311607361,0.0979893580079078,84.37659454345703,0.3509306311607361
parietal,subj08,0,0.3071507513523102,0.0861170664429664,85.05973052978516,0.3071507215499878
parietal,subj08,1,0.3252424895763397,0.0858376398682594,85.07579803466797,0.3252424895763397
parietal,subj08,2,0.3364692628383636,0.0614266209304332,86.4782943725586,0.3364692628383636
parietal,subj08,3,0.3335208296775818,0.0268505197018384,88.46138763427734,0.3335208296775818
parietal,subj08,4,0.3046331703662872,0.0591871961951255,86.6068344116211,0.3046332001686096
parietal,subj08,5,0.3472546935081482,0.1018003895878791,84.15714263916016,0.3472546935081482
V1,subj01,0,0.519325852394104,0.0650814920663833,86.26846313476562,0.519325852394104
V1,subj01,1,0.5478082895278931,0.007083655335009,89.59412384033203,0.5478082895278931
V1,subj01,2,0.5592408776283264,0.0949695631861686,84.55043029785156,0.5592408776283264
V1,subj01,3,0.5394226312637329,0.1251785606145858,82.80892944335938,0.5394226312637329
V1,subj01,4,0.4883803725242615,0.1155660599470138,83.36371612548828,0.4883803427219391
V1,subj01,5,0.5487551093101501,0.1837056428194046,79.41432189941406,0.5487551093101501
V1,subj02,0,0.5057560205459595,0.0536064468324184,86.9271011352539,0.5057560205459595
V1,subj02,1,0.5323314070701599,0.005846123676747,89.6650390625,0.5323313474655151
V1,subj02,2,0.5116182565689087,0.0472831539809703,87.28986358642578,0.5116181969642639
V1,subj02,3,0.4697557091712951,0.041325282305479,87.63155364990234,0.4697557091712951
V1,subj02,4,0.4915677011013031,0.132196232676506,82.40347290039062,0.4915676116943359
V1,subj02,5,0.4828875660896301,0.0954139456152916,84.52484893798828,0.4828875064849853
V1,subj03,0,0.4531538486480713,0.0193326286971569,88.89225006103516,0.4531537890434265
V1,subj03,1,0.516694188117981,0.0653843656182289,86.25106811523438,0.5166941285133362
V1,subj03,2,0.4786553382873535,0.1179042756557464,83.22882843017578,0.4786553382873535
V1,subj03,3,0.4850424826145172,0.0138886850327253,89.20420837402344,0.4850425124168396
V1,subj03,4,0.4916511476039886,0.1144730448722839,83.4267578125,0.4916512072086334
V1,subj03,5,0.4771899282932281,0.0142896380275487,89.18122863769531,0.4771899282932281
V1,subj04,0,0.58466637134552,0.0840520560741424,85.17848205566406,0.58466637134552
V1,subj04,1,0.5809911489486694,0.0868791043758392,85.01590728759766,0.5809911489486694
V1,subj04,2,0.5761734247207642,0.0131959244608879,89.24390411376953,0.5761734247207642
V1,subj04,3,0.589577317237854,0.1546529084444046,81.10332489013672,0.5895772576332092
