ROI,target_subject,identity_fold,K,R_Y_SRM,R_X_SRM,R_Y_VISFULL,R_X_VISFULL,SRM_truncation_loss,cross_state_span_loss,outside_visual_fraction,R_Y_VIS_at_O2K,R_Y_VIS_full,delta_retention_unused
lateral,subj08,3,2,0.1183526217937469,0.5151969790458679,0.1910814046859741,0.561349093914032,0.0727287828922271,0.8089185953140259,0.8089185953140259,0.1399950236082077,0.1910814046859741,0.0510863810777664
lateral,subj08,4,2,0.1030063480138778,0.6455057859420776,0.2372098267078399,0.726067304611206,0.1342034786939621,0.76279017329216,0.76279017329216,0.0973106324672699,0.2372098267078399,0.13989919424057
lateral,subj08,5,2,0.3397849798202514,0.5004721283912659,0.4659021496772766,0.610286295413971,0.1261171698570251,0.5340978503227234,0.5340978503227234,0.372221440076828,0.4659021496772766,0.0936807096004486
parietal,subj01,0,2,0.4919725954532623,0.3036661744117737,0.6592118144035339,0.5987401604652405,0.1672392189502716,0.340788185596466,0.340788185596466,0.5335494875907898,0.6592118144035339,0.1256623268127441
parietal,subj01,1,2,0.1225018426775932,0.3288089036941528,0.6750491857528687,0.8262818455696106,0.5525473430752754,0.3249508142471313,0.3249508142471313,0.6110224723815918,0.6750491857528687,0.0640267133712768
parietal,subj01,2,2,0.2444244623184204,0.273555040359497,0.5322790145874023,0.4739075601100921,0.2878545522689819,0.4677209854125976,0.4677209854125976,0.2746312022209167,0.5322790145874023,0.2576478123664856
parietal,subj01,3,2,0.1250873059034347,0.3791401982307434,0.5210596323013306,0.5738094449043274,0.3959723263978958,0.4789403676986694,0.4789403676986694,0.0987774804234504,0.5210596323013306,0.4222821518778801
parietal,subj01,4,2,0.0926337838172912,0.3904776573181152,0.3478480875492096,0.5263566374778748,0.2552143037319183,0.6521519124507904,0.6521519124507904,0.0816653743386268,0.3478480875492096,0.2661827132105827
parietal,subj01,5,2,0.0842370316386222,0.1412174254655838,0.2976274192333221,0.3593438267707824,0.2133903875946998,0.7023725807666779,0.7023725807666779,0.0984440222382545,0.2976274192333221,0.1991833969950676
parietal,subj02,0,2,0.5394324064254761,0.6280733942985535,0.6119884848594666,0.8217346668243408,0.0725560784339904,0.3880115151405334,0.3880115151405334,0.5376289486885071,0.6119884848594666,0.0743595361709594
parietal,subj02,1,2,0.4073601961135864,0.7399423718452454,0.5179769396781921,0.8909235000610352,0.1106167435646057,0.4820230603218078,0.4820230603218078,0.4010656476020813,0.5179769396781921,0.1169112920761108
parietal,subj02,2,2,0.084272876381874,0.8089064955711365,0.4411237239837646,0.9112190008163452,0.3568508476018905,0.5588762760162354,0.5588762760162354,0.0812669768929481,0.4411237239837646,0.3598567470908165
parietal,subj02,3,2,0.5821509957313538,0.7675924897193909,0.7531352639198303,0.9092100262641908,0.1709842681884765,0.2468647360801696,0.2468647360801696,0.5936880707740784,0.7531352639198303,0.1594471931457519
parietal,subj02,4,3,0.3496689796447754,0.6762257218360901,0.4287399053573608,0.8188683390617371,0.0790709257125854,0.5712600946426392,0.5712600946426392,0.3184745907783508,0.4287399053573608,0.11026531457901
parietal,subj02,5,2,0.2937667667865753,0.7459925413131714,0.532159686088562,0.8400342464447021,0.2383929193019867,0.467840313911438,0.467840313911438,0.175003096461296,0.532159686088562,0.3571565896272659
parietal,subj03,0,2,0.6918676495552063,0.0106659503653645,0.8727209568023682,0.3852038085460663,0.1808533072471618,0.1272790431976318,0.1272790431976318,0.6991462707519531,0.8727209568023682,0.173574686050415
parietal,subj03,1,2,0.0947406068444252,0.7496136426925659,0.4469214081764221,0.8675540089607239,0.3521808013319969,0.5530785918235779,0.5530785918235779,0.2251907736063003,0.4469214081764221,0.2217306345701217
parietal,subj03,2,2,0.5087493658065796,0.744215726852417,0.6261606812477112,0.9085282683372498,0.1174113154411315,0.3738393187522888,0.3738393187522888,0.5169721245765686,0.6261606812477112,0.1091885566711425
parietal,subj03,3,2,0.6413818001747131,0.3389689326286316,0.82623690366745,0.5919199585914612,0.1848551034927368,0.17376309633255,0.17376309633255,0.6831907629966736,0.82623690366745,0.1430461406707763
parietal,subj03,4,2,0.7160837650299072,0.7285705804824829,0.7924756407737732,0.8459756374359131,0.0763918757438659,0.2075243592262268,0.2075243592262268,0.7304790616035461,0.7924756407737732,0.061996579170227
parietal,subj03,5,2,0.7430480122566223,0.142902985215187,0.8609086871147156,0.41988205909729,0.1178606748580932,0.1390913128852844,0.1390913128852844,0.6727633476257324,0.8609086871147156,0.1881453394889831
parietal,subj04,0,2,0.1948455572128296,0.3529693186283111,0.519335150718689,0.6128947138786316,0.3244895935058594,0.480664849281311,0.480664849281311,0.2337978780269622,0.519335150718689,0.2855372726917267
parietal,subj04,1,2,0.1426251381635666,0.76145339012146,0.4588557183742523,0.9051082134246826,0.3162305802106857,0.5411442816257477,0.5411442816257477,0.2892105281352997,0.4588557183742523,0.1696451902389526
parietal,subj04,2,2,0.5172898173332214,0.6268163919448853,0.6547887921333313,0.7789158821105957,0.1374989748001098,0.3452112078666687,0.3452112078666687,0.55532306432724,0.6547887921333313,0.0994657278060913
parietal,subj04,3,2,0.326073944568634,0.3550620675086975,0.5607234239578247,0.6350439786911011,0.2346494793891906,0.4392765760421753,0.4392765760421753,0.3424974977970123,0.5607234239578247,0.2182259261608123
parietal,subj04,4,3,0.498939573764801,0.6345725655555725,0.6003832221031189,0.7945709824562073,0.1014436483383178,0.3996167778968811,0.3996167778968811,0.5306442379951477,0.6003832221031189,0.0697389841079711
parietal,subj04,5,2,0.0623739957809448,0.4416475296020508,0.2906663119792938,0.6812140941619873,0.228292316198349,0.7093336880207062,0.7093336880207062,0.0589640289545059,0.2906663119792938,0.2317022830247879
