ROI,target_subject,identity_fold,outside_visual_fraction,R_Y_VISFULL
V1,subj03,2,0.0686733722686767,0.9313266277313232
V1,subj03,3,0.0424036383628845,0.9575963616371156
V1,subj03,4,0.1241366863250732,0.8758633136749268
V1,subj03,5,0.1164360046386718,0.8835639953613281
V1,subj04,0,0.0772720575332641,0.9227279424667358
V1,subj04,1,0.2134479284286499,0.7865520715713501
V1,subj04,2,0.0370779633522033,0.9629220366477966
V1,subj04,3,0.515624612569809,0.484375387430191
V1,subj04,4,0.0244151949882507,0.9755848050117492
V1,subj04,5,0.3496850728988647,0.6503149271011353
V1,subj05,0,0.0780542492866516,0.9219457507133484
V1,subj05,1,0.0215933322906494,0.9784066677093506
V1,subj05,2,0.0758869647979736,0.9241130352020264
V1,subj05,3,0.1679076552391052,0.8320923447608948
V1,subj05,4,0.2297073006629943,0.7702926993370056
V1,subj05,5,0.0301343202590942,0.9698656797409058
V1,subj06,0,0.234450101852417,0.765549898147583
V1,subj06,1,0.5874212980270386,0.4125787019729614
V1,subj06,2,0.5228524804115295,0.4771475195884704
V1,subj06,3,0.2774891257286072,0.7225108742713928
V1,subj06,4,0.2609078288078308,0.7390921711921692
V1,subj06,5,0.1804729700088501,0.8195270299911499
V1,subj07,0,0.2516087293624878,0.7483912706375122
V1,subj07,1,0.377859354019165,0.622140645980835
V1,subj07,2,0.4239726066589355,0.5760273933410645
V1,subj07,3,0.42047780752182,0.5795221924781799
V1,subj07,4,0.5528716444969177,0.4471283555030823
V1,subj07,5,0.1255056262016296,0.8744943737983704
V1,subj08,0,0.3209177255630493,0.6790822744369507
V1,subj08,1,0.2189775109291076,0.7810224890708923
V1,subj08,2,0.1802399158477783,0.8197600841522217
V1,subj08,3,0.1909984350204467,0.8090015649795532
V1,subj08,4,0.4071037769317627,0.5928962230682373
V1,subj08,5,0.1630613803863525,0.8369386196136475
V3,subj01,0,0.135122537612915,0.864877462387085
V3,subj01,1,0.1705985069274902,0.8294014930725098
V3,subj01,2,0.2402915954589843,0.7597084045410156
V3,subj01,3,0.3197231292724609,0.6802768707275391
V3,subj01,4,0.0773345828056335,0.9226654171943665
V3,subj01,5,0.1344548463821411,0.8655451536178589
V3,subj02,0,0.2566949725151062,0.7433050274848938
V3,subj02,1,0.514767587184906,0.485232412815094
V3,subj02,2,0.0468175411224365,0.9531824588775636
V3,subj02,3,0.1386942267417907,0.8613057732582092
V3,subj02,4,0.2066388726234436,0.7933611273765564
V3,subj02,5,0.0453311204910278,0.9546688795089722
V3,subj03,0,0.1256316304206848,0.8743683695793152
V3,subj03,1,0.193943977355957,0.806056022644043
V3,subj03,2,0.4679465293884277,0.5320534706115723
V3,subj03,3,0.1691194176673889,0.8308805823326111
V3,subj03,4,0.0855856537818908,0.9144143462181092
V3,subj03,5,0.3451396822929382,0.6548603177070618
V3,subj04,0,0.0408544540405273,0.9591455459594728
V3,subj04,1,0.1414433121681213,0.8585566878318787
V3,subj04,2,0.0329663753509521,0.967033624649048
V3,subj04,3,0.2826141715049743,0.7173858284950256
V3,subj04,4,0.0308590531349182,0.9691409468650818
V3,subj04,5,0.1485841870307922,0.8514158129692078
V3,subj05,0,0.1904569864273071,0.8095430135726929
V3,subj05,1,0.26730477809906,0.7326952219009399
V3,subj05,2,0.220445454120636,0.779554545879364
