ROI,target_subject,identity_fold,vision_contrast_retention,imagery_contrast_retention,cross_state_retention_gap
parietal,subj01,5,0.1412174254655838,0.0842370316386222,0.0569803938269615
parietal,subj02,0,0.6280733942985535,0.5394324064254761,0.0886409878730773
parietal,subj02,1,0.7399423718452454,0.4073601961135864,0.3325821757316589
parietal,subj02,2,0.8089064955711365,0.084272876381874,0.7246336191892624
parietal,subj02,3,0.7675924897193909,0.5821509957313538,0.1854414939880371
parietal,subj02,4,0.6762257218360901,0.3496689796447754,0.3265567421913147
parietal,subj02,5,0.7459925413131714,0.2937667667865753,0.452225774526596
parietal,subj03,0,0.0106659503653645,0.6918676495552063,-0.6812016991898417
parietal,subj03,1,0.7496136426925659,0.0947406068444252,0.6548730358481407
parietal,subj03,2,0.744215726852417,0.5087493658065796,0.2354663610458374
parietal,subj03,3,0.3389689326286316,0.6413818001747131,-0.3024128675460815
parietal,subj03,4,0.7285705804824829,0.7160837650299072,0.0124868154525756
parietal,subj03,5,0.142902985215187,0.7430480122566223,-0.6001450270414352
parietal,subj04,0,0.3529693186283111,0.1948455572128296,0.1581237614154815
parietal,subj04,1,0.76145339012146,0.1426251381635666,0.6188282519578934
parietal,subj04,2,0.6268163919448853,0.5172898173332214,0.1095265746116638
parietal,subj04,3,0.3550620675086975,0.326073944568634,0.0289881229400634
parietal,subj04,4,0.6345725655555725,0.498939573764801,0.1356329917907714
parietal,subj04,5,0.4416475296020508,0.0623739957809448,0.3792735338211059
parietal,subj05,0,0.6766855716705322,0.0040739239193499,0.6726116477511823
parietal,subj05,1,0.7806962132453918,0.555097758769989,0.2255984544754028
parietal,subj05,2,0.6102339029312134,0.0185035597532987,0.5917303431779146
parietal,subj05,3,0.7778931260108948,0.013521141372621,0.7643719846382737
parietal,subj05,4,0.7115101218223572,0.1172622814774513,0.5942478403449059
parietal,subj05,5,0.6425700783729553,0.1207141652703285,0.5218559131026268
parietal,subj06,0,0.6018509268760681,0.1304446309804916,0.4714062958955765
parietal,subj06,1,0.3852967321872711,0.0403426736593246,0.3449540585279464
parietal,subj06,2,0.3727685213088989,0.2067611217498779,0.166007399559021
parietal,subj06,3,0.2069205939769745,0.2518512606620788,-0.0449306666851043
parietal,subj06,4,0.554391622543335,0.1560138761997223,0.3983777463436126
parietal,subj06,5,0.7205916047096252,0.0099067650735378,0.7106848396360874
parietal,subj07,0,0.076006144285202,0.3819226026535034,-0.3059164583683014
parietal,subj07,1,0.3273925185203552,0.0894815549254417,0.2379109635949134
parietal,subj07,2,0.5597995519638062,0.0064904727041721,0.553309079259634
parietal,subj07,3,0.0670361816883087,0.1572304517030716,-0.0901942700147628
parietal,subj07,4,0.538895845413208,0.1598950326442718,0.3790008127689361
parietal,subj07,5,0.5171162486076355,0.1813131421804428,0.3358031064271927
parietal,subj08,0,0.1536135226488113,0.0064255725592374,0.1471879500895738
parietal,subj08,1,0.7465506196022034,0.195463940501213,0.5510866791009903
parietal,subj08,2,0.4742462337017059,0.1036903113126754,0.3705559223890304
parietal,subj08,3,0.4483316540718078,0.1069370657205581,0.3413945883512497
parietal,subj08,4,0.6961439847946167,0.2606159448623657,0.435528039932251
parietal,subj08,5,0.4774068295955658,0.2476050555706024,0.2298017740249633
