ROI,target_subject,identity_fold,oracle_pattern_r,oracle_nmse,imagery_projection_energy
lateral,subj08,2,0.1069018244743347,0.793239176273346,0.2067608684301376
lateral,subj08,3,0.0662342607975006,0.8656275272369385,0.1343725621700287
lateral,subj08,4,0.2491142228245735,0.8437134623527527,0.1562865376472473
lateral,subj08,5,0.1270251050591468,0.7538290023803711,0.2461708933115005
parietal,subj01,0,-0.0371605977416038,0.6608090400695801,0.3391910195350647
parietal,subj01,1,0.1388842947781086,0.9344084858894348,0.0655915215611457
parietal,subj01,2,0.1955097150057554,0.8323013782501221,0.1676985323429107
parietal,subj01,3,0.1159815303981304,0.7964620590209961,0.2035379111766815
parietal,subj01,4,0.2432477325201034,0.8906934261322021,0.1093065217137336
parietal,subj01,5,0.1181301586329937,0.9517287015914916,0.048271469771862
parietal,subj02,0,0.2188885509967804,0.6380758881568909,0.3619239926338196
parietal,subj02,1,0.156455285847187,0.7866196632385254,0.2133802771568298
parietal,subj02,2,0.1643580067902803,0.7581164240837097,0.241883635520935
parietal,subj02,3,0.2620416954159736,0.6473574638366699,0.3526425659656524
parietal,subj02,4,-0.0056189525639638,0.7356120347976685,0.2643880248069763
parietal,subj02,5,0.0100230574607849,0.3425055146217346,0.6574945449829102
parietal,subj03,0,0.1087147407233715,0.6128966808319092,0.3871034979820251
parietal,subj03,1,0.2201803028583526,0.5668980479240417,0.4331019222736358
parietal,subj03,2,0.0700807552784681,0.3318817615509033,0.6681182384490967
parietal,subj03,3,0.1985144764184951,0.5652399063110352,0.4347602725028991
parietal,subj03,4,0.013984702527523,0.5125719904899597,0.4874278903007507
parietal,subj03,5,0.2497933283448219,0.3872906565666199,0.6127092838287354
parietal,subj04,0,-0.0728167556226253,0.7891627550125122,0.2108372747898101
parietal,subj04,1,0.1879318170249462,0.8382894992828369,0.1617105603218078
parietal,subj04,2,0.0167363937944173,0.6799240112304688,0.3200759887695312
parietal,subj04,3,0.0594705194234848,0.6152952909469604,0.3847048282623291
parietal,subj04,4,-0.1720062233507633,0.5347273945808411,0.4652727246284485
parietal,subj04,5,-0.0548641644418239,0.6380945444107056,0.3619056046009063
parietal,subj05,0,0.3548204004764557,0.9884827136993408,0.0115172900259494
parietal,subj05,1,0.4127295166254043,0.7454795837402344,0.254520446062088
parietal,subj05,2,0.4248517006635666,0.9382948875427246,0.0617051608860492
parietal,subj05,3,0.3559895753860473,0.920110821723938,0.079889178276062
parietal,subj05,4,0.3231951221823692,0.8427594900131226,0.1572404950857162
parietal,subj05,5,0.6805439591407776,0.8060803413391113,0.1939196735620498
parietal,subj06,0,-0.1640185443684458,0.918156087398529,0.0818438231945037
parietal,subj06,1,0.1333705056458711,0.9243285059928894,0.0756715536117553
parietal,subj06,2,0.1079083035292569,0.844050407409668,0.1559495627880096
parietal,subj06,3,0.5443940460681915,0.8489943742752075,0.1510055810213089
parietal,subj06,4,0.2795198187232017,0.8924168348312378,0.1075832024216651
parietal,subj06,5,0.1698349118232727,0.9408671259880066,0.0591328665614128
parietal,subj07,0,0.2521553412079811,0.7618554830551147,0.2381445616483688
parietal,subj07,1,0.1277234740555286,0.854467511177063,0.1455325037240982
parietal,subj07,2,0.3814606219530105,0.8635035157203674,0.1364964544773101
parietal,subj07,3,0.4352483749389648,0.7284273505210876,0.2715726792812347
parietal,subj07,4,0.1324064061045646,0.8729690313339233,0.1270309388637542
parietal,subj07,5,0.162072155624628,0.7416304349899292,0.2583696842193603
parietal,subj08,0,0.4454478695988655,0.7247025370597839,0.275297462940216
parietal,subj08,1,0.2526433616876602,0.7711521983146667,0.2288478016853332
parietal,subj08,2,0.1048813834786415,0.8163528442382812,0.1836471855640411
parietal,subj08,3,0.3227867782115936,0.6960597634315491,0.3039402961730957
parietal,subj08,4,0.5697183012962341,0.6190032958984375,0.3809967041015625
parietal,subj08,5,0.3679251074790954,0.6003970503807068,0.3996029198169708
