subject,roi,fold,R_m0_recon,R_m10,R_SUPPORT_FULL,m0_le_full,m10_le_full
subj08,ventral,1,0.0611981838034457,0.12067709617185499,0.1581704253718568,1,1
subj08,ventral,2,0.08242595104951156,0.1213564555706135,0.1518138534859286,1,1
subj08,ventral,3,0.10113737392592892,0.15799752641644224,0.18292050040083258,1,1
subj08,ventral,4,0.05034875602711626,0.11254082895624508,0.1473659546219444,1,1
subj08,ventral,5,0.055102901016561324,0.14420140375638588,0.16674485814299134,1,1
subj01,lateral,0,0.12951659164603532,0.14939476972619123,0.1515332902766979,1,1
subj01,lateral,1,0.11338771962475133,0.1338032161115702,0.14353086111361948,1,1
subj01,lateral,2,0.09944987000629948,0.13809943868806532,0.14711477873036422,1,1
subj01,lateral,3,0.15490599365820598,0.18450018443609936,0.18900962577278307,1,1
subj01,lateral,4,0.13724521381212826,0.16904170084509176,0.16952614002878746,1,1
subj01,lateral,5,0.1211943040943988,0.13651820440189477,0.13702822824377947,1,1
subj02,lateral,0,0.1504794182831691,0.1683851007208388,0.1737251831492548,1,1
subj02,lateral,1,0.11251160313859357,0.11336708701112674,0.11736990516574389,1,1
subj02,lateral,2,0.13477055014787254,0.13975596743332502,0.14854072120862027,1,1
subj02,lateral,3,0.0893491128561634,0.19671180007917294,0.19858592034481315,1,1
subj02,lateral,4,0.1178729713164479,0.11461472405642317,0.13152275486657672,1,1
subj02,lateral,5,0.0889581519676716,0.15775232343530723,0.16159886053666053,1,1
subj03,lateral,0,0.19890980235787553,0.23593618183205595,0.2366615346877288,1,1
subj03,lateral,1,0.1406079829245157,0.1840447013871424,0.1862637226377704,1,1
subj03,lateral,2,0.14322554453822606,0.22997678685478062,0.23175858787838235,1,1
subj03,lateral,3,0.21049893060703434,0.2164330655689502,0.2296543601625823,1,1
subj03,lateral,4,0.1261252133218715,0.2169756397906465,0.21889478054722042,1,1
subj03,lateral,5,0.09892034777782344,0.13143908563701545,0.13298624320711405,1,1
subj04,lateral,0,0.12811511074698534,0.14380205316887223,0.15364689143909632,1,1
subj04,lateral,1,0.13469005205777335,0.14760844015074953,0.15351979092645804,1,1
subj04,lateral,2,0.1596133308597619,0.17157718100281222,0.1727564126567791,1,1
subj04,lateral,3,0.12740556899115113,0.13985598134438104,0.14511971619272018,1,1
subj04,lateral,4,0.09464851590747848,0.1280999490652884,0.1425637885410521,1,1
subj04,lateral,5,0.1662411198401435,0.16095844235619042,0.17013888066084412,1,1
subj05,lateral,0,0.143024774082227,0.14050265469867174,0.15151028491990748,1,1
subj05,lateral,1,0.16611502429999558,0.16140887128193848,0.1740681463716096,1,1
subj05,lateral,2,0.1259496144322311,0.11976034138201419,0.1383063066179788,1,1
subj05,lateral,3,0.03966948102758183,0.07113416898907492,0.07495406272391379,1,1
subj05,lateral,4,0.14529392334949548,0.14204238519283596,0.1561956146884036,1,1
subj05,lateral,5,0.08442736750310592,0.17647026472030936,0.19201038934025608,1,1
subj06,lateral,0,0.14124846395462437,0.15435059896058728,0.16376846114335403,1,1
subj06,lateral,1,0.04911832722374772,0.04946598489486748,0.05562834149484381,1,1
subj06,lateral,2,0.1006094773618907,0.10769075941832716,0.11463862276415598,1,1
subj06,lateral,3,0.09537243174859986,0.10761155395737998,0.11048401604434734,1,1
subj06,lateral,4,0.09549431390063584,0.10654004634620881,0.11082014353039013,1,1
subj06,lateral,5,0.06214385333104115,0.07711198491110802,0.0782213219570243,1,1
subj07,lateral,0,0.1562635909536735,0.18069205980428948,0.1888882043987311,1,1
subj07,lateral,1,0.10553508712330145,0.10599282974210411,0.11481730427503281,1,1
subj07,lateral,2,0.16690386306562638,0.16804772461016354,0.16988085593715013,1,1
subj07,lateral,3,0.15262592259263733,0.15186552897835798,0.15379895132605503,1,1
subj07,lateral,4,0.10145872260548229,0.12206512541242356,0.12379708253116654,1,1
subj07,lateral,5,0.15686467145355176,0.1827642492491106,0.1859311547539001,1,1
subj08,lateral,0,0.11430588205661721,0.18944999803391244,0.21573400402075066,1,1
subj08,lateral,1,0.045558450302665095,0.0912437232034734,0.10905574994199511,1,1
subj08,lateral,2,0.06557485899630351,0.11874559526608636,0.1524715341373652,1,1
subj08,lateral,3,0.0707740832872125,0.14819881353071498,0.16886248667167328,1,1
subj08,lateral,4,0.06781860374769322,0.12977583554473138,0.16855698014774612,1,1
subj08,lateral,5,0.050423096444881105,0.10078345837249633,0.14171170192763338,1,1
