subject,roi,fold,orth_err_fro,sym_err,idem_err
subj01,lateral,5,4.701421626926923e-15,0.0,4.494961575921425e-15
subj02,lateral,0,2.7075830995124472e-15,0.0,3.190677092101754e-15
subj02,lateral,1,2.7075830995124472e-15,0.0,3.190677092101754e-15
subj02,lateral,2,2.7075830995124472e-15,0.0,3.190677092101754e-15
subj02,lateral,3,2.7075830995124472e-15,0.0,3.190677092101754e-15
subj02,lateral,4,2.7075830995124472e-15,0.0,3.190677092101754e-15
subj02,lateral,5,2.7075830995124472e-15,0.0,3.190677092101754e-15
subj03,lateral,0,2.9574608946448895e-15,0.0,3.049759331836813e-15
subj03,lateral,1,2.9574608946448895e-15,0.0,3.049759331836813e-15
subj03,lateral,2,2.9574608946448895e-15,0.0,3.049759331836813e-15
subj03,lateral,3,2.9574608946448895e-15,0.0,3.049759331836813e-15
subj03,lateral,4,2.9574608946448895e-15,0.0,3.049759331836813e-15
subj03,lateral,5,2.9574608946448895e-15,0.0,3.049759331836813e-15
subj04,lateral,0,2.471102338718782e-15,0.0,2.5151582507256297e-15
subj04,lateral,1,2.471102338718782e-15,0.0,2.5151582507256297e-15
subj04,lateral,2,2.471102338718782e-15,0.0,2.5151582507256297e-15
subj04,lateral,3,2.471102338718782e-15,0.0,2.5151582507256297e-15
subj04,lateral,4,2.471102338718782e-15,0.0,2.5151582507256297e-15
subj04,lateral,5,2.471102338718782e-15,0.0,2.5151582507256297e-15
subj05,lateral,0,2.6238201970532954e-15,0.0,2.667864556379169e-15
subj05,lateral,1,2.6238201970532954e-15,0.0,2.667864556379169e-15
subj05,lateral,2,2.6238201970532954e-15,0.0,2.667864556379169e-15
subj05,lateral,3,2.6238201970532954e-15,0.0,2.667864556379169e-15
subj05,lateral,4,2.6238201970532954e-15,0.0,2.667864556379169e-15
subj05,lateral,5,2.6238201970532954e-15,0.0,2.667864556379169e-15
subj06,lateral,0,2.7329914609780566e-15,0.0,2.8234147787125173e-15
subj06,lateral,1,2.7329914609780566e-15,0.0,2.8234147787125173e-15
subj06,lateral,2,2.7329914609780566e-15,0.0,2.8234147787125173e-15
subj06,lateral,3,2.7329914609780566e-15,0.0,2.8234147787125173e-15
subj06,lateral,4,2.7329914609780566e-15,0.0,2.8234147787125173e-15
subj06,lateral,5,2.7329914609780566e-15,0.0,2.8234147787125173e-15
subj07,lateral,0,3.350822499422554e-15,0.0,3.573914287811806e-15
subj07,lateral,1,3.350822499422554e-15,0.0,3.573914287811806e-15
subj07,lateral,2,3.350822499422554e-15,0.0,3.573914287811806e-15
subj07,lateral,3,3.350822499422554e-15,0.0,3.573914287811806e-15
subj07,lateral,4,3.350822499422554e-15,0.0,3.573914287811806e-15
subj07,lateral,5,3.350822499422554e-15,0.0,3.573914287811806e-15
subj08,lateral,0,5.075131231371535e-15,0.0,5.0544715135590414e-15
subj08,lateral,1,5.075131231371535e-15,0.0,5.0544715135590414e-15
subj08,lateral,2,5.075131231371535e-15,0.0,5.0544715135590414e-15
subj08,lateral,3,5.075131231371535e-15,0.0,5.0544715135590414e-15
subj08,lateral,4,5.075131231371535e-15,0.0,5.0544715135590414e-15
subj08,lateral,5,5.075131231371535e-15,0.0,5.0544715135590414e-15
