subject,roi,family,component,removed_donor,SIM_full,SIM_loo,dSIM,R_full,R_loo,dR
subj05,ventral,behavior,IN,subj03,0.3600008477166785,0.35371600009691034,-0.0062848476197681635,0.04053760436522333,0.043488670871931,0.002951066506707671
subj05,ventral,behavior,IN,subj04,0.3600008477166785,0.35248699579468207,-0.0075138519219964395,0.04053760436522333,0.04100734050561807,0.0004697361403947428
subj05,ventral,behavior,IN,subj06,0.3600008477166785,0.3550872478348659,-0.004913599881812614,0.04053760436522333,0.042084792090418426,0.001547187725195097
subj05,ventral,behavior,IN,subj07,0.3600008477166785,0.3643132372067613,0.00431238949008278,0.04053760436522333,0.037601613937225054,-0.002935990427998275
subj05,ventral,behavior,IN,subj08,0.3600008477166785,0.35285438631316407,-0.007146461403514437,0.04053760436522333,0.04240276299341155,0.0018651586281882224
subj05,ventral,behavior,OUT,subj01,0.23261950303386514,0.24470908650438197,0.012089583470516835,0.04840354283043652,0.04660828664975671,-0.0017952561806798065
subj05,ventral,behavior,OUT,subj02,0.23261950303386514,0.22294509313416208,-0.009674409899703057,0.04840354283043652,0.043766097386607285,-0.004637445443829234
subj05,ventral,behavior,OUT,subj03,0.23261950303386514,0.22571308597593787,-0.006906417057927272,0.04840354283043652,0.045760990608908335,-0.002642552221528184
subj05,ventral,behavior,OUT,subj04,0.23261950303386514,0.22016969982492288,-0.012449803208942262,0.04840354283043652,0.04533779779148974,-0.003065745038946778
subj05,ventral,behavior,OUT,subj06,0.23261950303386514,0.2337219858112561,0.0011024827773909729,0.04840354283043652,0.04521348160693195,-0.00319006122350457
subj05,ventral,behavior,OUT,subj07,0.23261950303386514,0.23036693477667317,-0.0022525682571919725,0.04840354283043652,0.04376572040685506,-0.004637822423581461
subj05,ventral,behavior,OUT,subj08,0.23261950303386514,0.2243067002861329,-0.008312802747732245,0.04840354283043652,0.04856367679905584,0.00016013396861932344
subj06,ventral,anatomy,IN,subj01,0.28798122068156234,0.28798122068156234,0.0,0.038939092821247356,0.038939092821247356,0.0
subj06,ventral,anatomy,IN,subj02,0.28798122068156234,0.27298680526941516,-0.014994415412147188,0.038939092821247356,0.03803081474966195,-0.0009082780715854097
subj06,ventral,anatomy,IN,subj03,0.28798122068156234,0.28798122068156234,0.0,0.038939092821247356,0.038939092821247356,0.0
subj06,ventral,anatomy,IN,subj04,0.28798122068156234,0.28798122068156234,0.0,0.038939092821247356,0.038939092821247356,0.0
subj06,ventral,anatomy,IN,subj05,0.28798122068156234,0.28798122068156234,0.0,0.038939092821247356,0.038939092821247356,0.0
subj06,ventral,anatomy,IN,subj07,0.28798122068156234,0.28798122068156234,0.0,0.038939092821247356,0.038939092821247356,0.0
subj06,ventral,anatomy,IN,subj08,0.28798122068156234,0.28798122068156234,0.0,0.038939092821247356,0.038939092821247356,0.0
subj06,ventral,anatomy,OUT,subj01,0.09988885020106882,0.09988885020106882,0.0,0.01591104757165609,0.01591104757165609,0.0
subj06,ventral,anatomy,OUT,subj02,0.09988885020106882,0.17320056876931791,0.0733117185682491,0.01591104757165609,0.004013226951537272,-0.01189782062011882
subj06,ventral,anatomy,OUT,subj03,0.09988885020106882,0.09988885020106882,0.0,0.01591104757165609,0.01591104757165609,0.0
subj06,ventral,anatomy,OUT,subj04,0.09988885020106882,0.09988885020106882,0.0,0.01591104757165609,0.01591104757165609,0.0
subj06,ventral,anatomy,OUT,subj05,0.09988885020106882,0.09988885020106882,0.0,0.01591104757165609,0.01591104757165609,0.0
subj06,ventral,anatomy,OUT,subj07,0.09988885020106882,0.09988885020106882,0.0,0.01591104757165609,0.01591104757165609,0.0
subj06,ventral,anatomy,OUT,subj08,0.09988885020106882,0.09988885020106882,0.0,0.01591104757165609,0.01591104757165609,0.0
subj06,ventral,behavior,IN,subj01,0.32510917998851785,0.32510917998851785,0.0,0.03980393895546357,0.03980393895546357,0.0
subj06,ventral,behavior,IN,subj02,0.32510917998851785,0.32510917998851785,0.0,0.03980393895546357,0.03980393895546357,0.0
subj06,ventral,behavior,IN,subj03,0.32510917998851785,0.32510917998851785,0.0,0.03980393895546357,0.03980393895546357,0.0
subj06,ventral,behavior,IN,subj04,0.32510917998851785,0.30746758280721015,-0.0176415971813077,0.03980393895546357,0.044641459058661175,0.004837520103197601
subj06,ventral,behavior,IN,subj05,0.32510917998851785,0.32510917998851785,0.0,0.03980393895546357,0.03980393895546357,0.0
subj06,ventral,behavior,IN,subj07,0.32510917998851785,0.324814088768767,-0.00029509121975085373,0.03980393895546357,0.0397615482268412,-4.239072862237403e-05
subj06,ventral,behavior,IN,subj08,0.32510917998851785,0.32510917998851785,0.0,0.03980393895546357,0.03980393895546357,0.0
subj06,ventral,behavior,OUT,subj01,0.1716662105212944,0.1716662105212944,0.0,0.005375939581648194,0.005375939581648194,0.0
subj06,ventral,behavior,OUT,subj02,0.1716662105212944,0.1716662105212944,0.0,0.005375939581648194,0.005375939581648194,0.0
subj06,ventral,behavior,OUT,subj03,0.1716662105212944,0.1716662105212944,0.0,0.005375939581648194,0.005375939581648194,0.0
subj06,ventral,behavior,OUT,subj04,0.1716662105212944,0.12488648354327368,-0.04677972697802073,0.005375939581648194,0.008340666192856687,0.0029647266112084935
subj06,ventral,behavior,OUT,subj05,0.1716662105212944,0.1716662105212944,0.0,0.005375939581648194,0.005375939581648194,0.0
subj06,ventral,behavior,OUT,subj07,0.1716662105212944,0.17029729065216861,-0.0013689198691257953,0.005375939581648194,0.005337333876135522,-3.860570551267144e-05
subj06,ventral,behavior,OUT,subj08,0.1716662105212944,0.1716662105212944,0.0,0.005375939581648194,0.005375939581648194,0.0
subj07,ventral,anatomy,IN,subj01,0.33337597134754376,0.33337597134754376,0.0,0.06016017928411124,0.06016017928411124,0.0
subj07,ventral,anatomy,IN,subj02,0.33337597134754376,0.33337597134754376,0.0,0.06016017928411124,0.06016017928411124,0.0
subj07,ventral,anatomy,IN,subj03,0.33337597134754376,0.33337597134754376,0.0,0.06016017928411124,0.06016017928411124,0.0
subj07,ventral,anatomy,IN,subj04,0.33337597134754376,0.324274227065456,-0.009101744282087765,0.06016017928411124,0.056116332687303684,-0.0040438465968075585
subj07,ventral,anatomy,IN,subj05,0.33337597134754376,0.32398086791574426,-0.0093951034317995,0.06016017928411124,0.05118084281861037,-0.008979336465500871
subj07,ventral,anatomy,IN,subj06,0.33337597134754376,0.33337597134754376,0.0,0.06016017928411124,0.06016017928411124,0.0
subj07,ventral,anatomy,IN,subj08,0.33337597134754376,0.33337597134754376,0.0,0.06016017928411124,0.06016017928411124,0.0
subj07,ventral,anatomy,OUT,subj01,0.15100808266485843,0.15100808266485843,0.0,0.010502565309798534,0.010502565309798534,0.0
subj07,ventral,anatomy,OUT,subj02,0.15100808266485843,0.15100808266485843,0.0,0.010502565309798534,0.010502565309798534,0.0
subj07,ventral,anatomy,OUT,subj03,0.15100808266485843,0.15100808266485843,0.0,0.010502565309798534,0.010502565309798534,0.0
subj07,ventral,anatomy,OUT,subj04,0.15100808266485843,0.1132167362799953,-0.03779134638486313,0.010502565309798534,0.009049107517617708,-0.0014534577921808262
subj07,ventral,anatomy,OUT,subj05,0.15100808266485843,0.13550404501300434,-0.015504037651854097,0.010502565309798534,0.02103821796166112,0.010535652651862586
subj07,ventral,anatomy,OUT,subj06,0.15100808266485843,0.15100808266485843,0.0,0.010502565309798534,0.010502565309798534,0.0
subj07,ventral,anatomy,OUT,subj08,0.15100808266485843,0.15100808266485843,0.0,0.010502565309798534,0.010502565309798534,0.0
subj07,ventral,behavior,IN,subj01,0.31383967196725976,0.31383967196725976,0.0,0.030325996466627234,0.030325996466627234,0.0
subj07,ventral,behavior,IN,subj02,0.31383967196725976,0.31383967196725976,0.0,0.030325996466627234,0.030325996466627234,0.0
subj07,ventral,behavior,IN,subj03,0.31383967196725976,0.3031464567574677,-0.01069321520979205,0.030325996466627234,0.061553420957444954,0.03122742449081772
subj07,ventral,behavior,IN,subj04,0.31383967196725976,0.31383967196725976,0.0,0.030325996466627234,0.030325996466627234,0.0
subj07,ventral,behavior,IN,subj05,0.31383967196725976,0.31383967196725976,0.0,0.030325996466627234,0.030325996466627234,0.0
subj07,ventral,behavior,IN,subj06,0.31383967196725976,0.320216754363529,0.006377082396269218,0.030325996466627234,0.030563177557797628,0.00023718109117039365
subj07,ventral,behavior,IN,subj08,0.31383967196725976,0.31383967196725976,0.0,0.030325996466627234,0.030325996466627234,0.0
subj07,ventral,behavior,OUT,subj01,0.10087717979344779,0.10087717979344779,0.0,0.0366526857778794,0.0366526857778794,0.0
subj07,ventral,behavior,OUT,subj02,0.10087717979344779,0.10087717979344779,0.0,0.0366526857778794,0.0366526857778794,0.0
subj07,ventral,behavior,OUT,subj03,0.10087717979344779,0.10626084426012034,0.005383664466672544,0.0366526857778794,0.007542778869857786,-0.02910990690802161
subj07,ventral,behavior,OUT,subj04,0.10087717979344779,0.10087717979344779,0.0,0.0366526857778794,0.0366526857778794,0.0
subj07,ventral,behavior,OUT,subj05,0.10087717979344779,0.10087717979344779,0.0,0.0366526857778794,0.0366526857778794,0.0
subj07,ventral,behavior,OUT,subj06,0.10087717979344779,0.10388979103755254,0.0030126112441047487,0.0366526857778794,0.036507971965925576,-0.00014471381195382133
subj07,ventral,behavior,OUT,subj08,0.10087717979344779,0.10087717979344779,0.0,0.0366526857778794,0.0366526857778794,0.0
subj08,ventral,anatomy,IN,subj01,0.35814408089661326,0.3570420562958408,-0.0011020246007724666,0.03631229792691874,0.03797053353363979,0.0016582356067210563
subj08,ventral,anatomy,IN,subj02,0.35814408089661326,0.3520520468767319,-0.006092034019881343,0.03631229792691874,0.03542142189980476,-0.0008908760271139765
subj08,ventral,anatomy,IN,subj03,0.35814408089661326,0.3571168879236113,-0.0010271929730019669,0.03631229792691874,0.035700775253634805,-0.0006115226732839318
subj08,ventral,anatomy,IN,subj04,0.35814408089661326,0.35442981042540844,-0.003714270471204817,0.03631229792691874,0.03941804963320616,0.0031057517062874213
subj08,ventral,anatomy,IN,subj05,0.35814408089661326,0.35730600897164866,-0.0008380719249646007,0.03631229792691874,0.03635170027053531,3.9402343616573576e-05
subj08,ventral,anatomy,IN,subj06,0.35814408089661326,0.34633201746507436,-0.0118120634315389,0.03631229792691874,0.04177645053464884,0.005464152607730102
subj08,ventral,anatomy,IN,subj07,0.35814408089661326,0.35833040401277233,0.0001863231161590706,0.03631229792691874,0.03558045514950758,-0.0007318427774111597
subj08,ventral,anatomy,OUT,subj01,0.3157790431036194,0.3154619132858234,-0.00031712981779596916,0.01115927105386893,0.010227691094316104,-0.0009315799595528262
subj08,ventral,anatomy,OUT,subj02,0.3157790431036194,0.2966073336337543,-0.019171709469865073,0.01115927105386893,0.00822064083279045,-0.0029386302210784795
subj08,ventral,anatomy,OUT,subj03,0.3157790431036194,0.33117492251367037,0.015395879410050994,0.01115927105386893,0.01029295164246972,-0.0008663194113992106
subj08,ventral,anatomy,OUT,subj04,0.3157790431036194,0.2959610524592624,-0.019817990644356964,0.01115927105386893,0.010450177527992247,-0.0007090935258766834
subj08,ventral,anatomy,OUT,subj05,0.3157790431036194,0.3072719377368187,-0.00850710536680066,0.01115927105386893,0.011287133639768675,0.0001278625858997448
subj08,ventral,anatomy,OUT,subj06,0.3157790431036194,0.2677352269191751,-0.048043816184444255,0.01115927105386893,0.01091928905364826,-0.0002399820002206704
subj08,ventral,anatomy,OUT,subj07,0.3157790431036194,0.31885481843567404,0.0030757753320546644,0.01115927105386893,0.0113594744988642,0.0002002034449952693
subj08,ventral,behavior,IN,subj01,0.3284268554194496,0.3427912241324491,0.014364368712999509,0.03471647684107205,0.04336285824320627,0.008646381402134223
subj08,ventral,behavior,IN,subj02,0.3284268554194496,0.3284268554194496,0.0,0.03471647684107205,0.03471647684107205,0.0
subj08,ventral,behavior,IN,subj03,0.3284268554194496,0.3232840549138767,-0.00514280050557292,0.03471647684107205,0.03554162087907058,0.0008251440379985348
subj08,ventral,behavior,IN,subj04,0.3284268554194496,0.3284268554194496,0.0,0.03471647684107205,0.03471647684107205,0.0
subj08,ventral,behavior,IN,subj05,0.3284268554194496,0.3284268554194496,0.0,0.03471647684107205,0.03471647684107205,0.0
subj08,ventral,behavior,IN,subj06,0.3284268554194496,0.3284268554194496,0.0,0.03471647684107205,0.03471647684107205,0.0
subj08,ventral,behavior,IN,subj07,0.3284268554194496,0.3284268554194496,0.0,0.03471647684107205,0.03471647684107205,0.0
subj08,ventral,behavior,OUT,subj01,0.1799412000887788,0.26223667837679976,0.08229547828802095,0.006319617496486458,0.010175253214436169,0.0038556357179497106
subj08,ventral,behavior,OUT,subj02,0.1799412000887788,0.1799412000887788,0.0,0.006319617496486458,0.006319617496486458,0.0
subj08,ventral,behavior,OUT,subj03,0.1799412000887788,0.16056276806896325,-0.019378432019815567,0.006319617496486458,0.005055757757623462,-0.001263859738862996
subj08,ventral,behavior,OUT,subj04,0.1799412000887788,0.1799412000887788,0.0,0.006319617496486458,0.006319617496486458,0.0
subj08,ventral,behavior,OUT,subj05,0.1799412000887788,0.1799412000887788,0.0,0.006319617496486458,0.006319617496486458,0.0
subj08,ventral,behavior,OUT,subj06,0.1799412000887788,0.1799412000887788,0.0,0.006319617496486458,0.006319617496486458,0.0
subj08,ventral,behavior,OUT,subj07,0.1799412000887788,0.1799412000887788,0.0,0.006319617496486458,0.006319617496486458,0.0
subj01,lateral,anatomy,IN,subj02,0.3676154103897728,0.3624982637997585,-0.0051171465900142765,0.09120054004968503,0.10133664609322358,0.010136106043538554
subj01,lateral,anatomy,IN,subj03,0.3676154103897728,0.36753563959663965,-7.977079313314928e-05,0.09120054004968503,0.09053954639711453,-0.0006609936525704962
