participant,ROI,beta,test_r,test_median,r_model,frac_above_null,n_unique_lambda,n_voxels
subj02,parietal,B0,0.203699196190758,0.20045286948069418,4.5,0.24632352941176472,34.0,68
subj02,parietal,B1,-0.010706263033146021,-0.03916637742520794,11.5,0.036764705882352935,35.0,68
subj02,ventral,B0,0.1291424856448023,0.11456158496322853,10.5,0.21646341463414634,52.0,164
subj02,ventral,B1,-0.023354003608845764,-0.008681910664351412,6.0,0.04268292682926829,53.5,164
subj03,V1,B0,0.3899704221753746,0.40602565653542105,9.5,0.5961538461538461,19.0,26
subj03,V1,B1,-0.06266264777753243,-0.016289345386441677,9.5,0.028846153846153848,12.5,26
subj03,V2,B0,0.14456865865592047,0.13092274928793163,7.5,0.2173913043478261,16.0,23
subj03,V2,B1,0.00799707362210401,0.022543128710788094,12.0,0.08695652173913043,13.5,23
subj03,V3,B0,0.1648182262050464,0.15925291445203033,3.0,0.2763157894736842,9.5,19
subj03,V3,B1,0.002312394825813642,-0.005253604816569439,8.5,0.02631578947368421,11.0,19
subj03,hV4,B0,0.11027655260284443,0.08797534680850136,5.0,0.3055555555555555,7.5,9
subj03,hV4,B1,-0.03523067519708242,-0.05135024470660722,3.5,0.08333333333333333,5.0,9
subj03,lateral,B0,0.07548694059387931,0.07407242248105195,5.0,0.14534883720930233,55.5,172
subj03,lateral,B1,0.006908633734127204,0.012777415273844153,9.0,0.04796511627906977,51.5,172
subj03,parietal,B0,0.15428481419930168,0.16435961048249847,3.0,0.28205128205128205,35.0,78
subj03,parietal,B1,0.017497255340047445,0.03519742589434662,2.0,0.038461538461538464,36.0,78
subj03,ventral,B0,0.061776472036224,0.05796421998477644,10.5,0.11890243902439024,52.0,164
subj03,ventral,B1,-0.031079238434536104,-0.0391029665670964,6.5,0.03048780487804878,47.0,164
subj04,V1,B0,0.2582745134702877,0.262989044611344,3.0,0.4583333333333333,10.5,18
subj04,V1,B1,0.08249615051623792,0.06551852934420511,8.5,0.1527777777777778,9.5,18
subj04,V2,B0,0.23264849070485977,0.23993372102729466,3.0,0.3611111111111111,12.0,18
subj04,V2,B1,-0.009785506741069181,-0.021298083476964533,5.5,0.06944444444444445,14.5,18
subj04,V3,B0,0.24000088319457696,0.2498955472056434,6.5,0.36764705882352944,12.0,17
subj04,V3,B1,-0.025831803580105426,0.01399430071567335,7.5,0.044117647058823525,8.0,17
subj04,hV4,B0,0.017247726686143758,-0.009512446438567666,7.0,0.125,7.0,10
subj04,hV4,B1,0.011175280655634608,0.0489080063654299,2.5,0.125,6.0,10
subj04,lateral,B0,0.10820674093472445,0.1274850535502282,9.0,0.16258741258741258,50.5,143
subj04,lateral,B1,-0.03994223956342428,-0.03562146776224301,10.0,0.04020979020979021,47.0,143
subj04,parietal,B0,0.039181106602677894,0.013980243292542438,10.5,0.026119402985074626,27.5,67
subj04,parietal,B1,-0.0008678159499828922,-0.0033460084351552145,11.5,0.03731343283582089,31.5,67
subj04,ventral,B0,0.10500036983852881,0.08681557753894838,8.5,0.17320261437908496,63.5,153
subj04,ventral,B1,0.02666140635994612,0.02968372758233772,10.5,0.058823529411764705,51.0,153
subj05,V1,B0,0.32249560450431075,0.35284811849251857,4.0,0.46739130434782605,7.5,23
subj05,V1,B1,-0.043602922057280266,-0.09540823416262345,8.5,0.08695652173913043,13.0,23
subj05,V2,B0,0.31319803490248366,0.2861406035993286,5.0,0.4659090909090909,11.0,22
subj05,V2,B1,0.10646433288100171,0.13241764095910813,2.5,0.17045454545454544,13.5,22
subj05,V3,B0,0.2059146450265053,0.2141043403738863,10.5,0.381578947368421,11.0,19
subj05,V3,B1,0.03408426928390358,0.03450356769703284,7.0,0.05263157894736842,9.0,19
subj05,hV4,B0,0.01474109688634171,0.033728323575287794,2.5,0.06818181818181818,6.5,11
subj05,hV4,B1,0.035014954655706955,0.04193324658778759,5.5,0.06818181818181818,7.5,11
subj05,lateral,B0,0.029033026049152734,0.01952085169394614,12.0,0.07801418439716312,50.5,141
subj05,lateral,B1,-0.018457814613655758,-0.044312064685409616,12.0,0.05851063829787234,49.5,141
subj05,parietal,B0,0.13248676671346185,0.15119298620952656,9.0,0.21052631578947367,31.5,57
subj05,parietal,B1,0.009138770857877506,0.03075428305333788,11.0,0.07456140350877193,26.5,57
subj05,ventral,B0,0.07678251348520657,0.07862722071380326,10.0,0.12593984962406013,45.5,133
subj05,ventral,B1,-0.033877909314366066,-0.03516800713601053,8.5,0.05075187969924812,44.0,133
subj06,V1,B0,0.09719526845910464,0.09809747509825717,4.5,0.043478260869565216,9.5,23
subj06,V1,B1,-0.07600210477632724,-0.025437900770953807,8.5,0.07608695652173914,13.5,23
subj06,V2,B0,0.10215668823630951,0.09377362043894025,8.0,0.14583333333333334,11.0,24
subj06,V2,B1,0.07129271626431098,0.05779172848384123,4.0,0.08333333333333334,16.0,24
subj06,V3,B0,0.09370194893936148,0.10010591823749403,11.0,0.09375,14.5,24
subj06,V3,B1,-0.01651813519295803,0.027556652097586294,7.5,0.07291666666666666,14.5,24
subj06,hV4,B0,0.15000155570999998,0.1495347691797752,5.0,0.125,6.0,10
subj06,hV4,B1,-0.014902344762893923,-0.006813554718663456,3.0,0.025,6.0,10
subj06,lateral,B0,0.0600027669354952,0.05952152142960084,6.0,0.16298342541436464,52.5,181
subj06,lateral,B1,-0.07768613868246484,-0.05273831374164355,7.0,0.0787292817679558,52.0,181
subj06,parietal,B0,0.15047253897224935,0.16174397905004334,9.5,0.16911764705882354,31.5,68
subj06,parietal,B1,-0.02265783125624605,-0.022199981772827424,8.0,0.03676470588235294,29.5,68
subj06,ventral,B0,0.13252685277737028,0.1127908666591218,7.5,0.21520618556701032,63.0,194
subj06,ventral,B1,-0.028188449894187843,-0.025625431318208696,8.5,0.03865979381443299,56.5,194
subj07,V1,B0,0.03413443415395343,0.06627314793781396,9.5,0.07608695652173914,12.0,23
subj07,V1,B1,0.019280963575863105,0.0008696429619324576,12.0,0.06521739130434782,11.0,23
subj07,V2,B0,0.05657228783174888,0.07293187256223925,9.5,0.05,13.0,20
subj07,V2,B1,0.000975574292899798,-0.023744475736613493,8.5,0.025,8.0,20
subj07,V3,B0,0.1522019804947124,0.13923195009909048,8.0,0.25,10.5,15
subj07,V3,B1,0.00017415749030599403,0.014459772855268458,4.0,0.0,8.0,15
subj07,hV4,B0,-0.16559995748553571,-0.21782919801218154,4.5,0.0,3.0,8
subj07,hV4,B1,0.03633612037982424,0.051058740035438616,4.0,0.03125,5.0,8
subj07,lateral,B0,0.05530053932078448,0.024212091354761395,3.5,0.07926829268292683,45.5,123
subj07,lateral,B1,0.03270668378264664,0.0340768491869443,5.5,0.07723577235772358,47.0,123
subj07,parietal,B0,0.0035785383180300806,0.013948351004031917,12.0,0.09,29.0,50
subj07,parietal,B1,-0.015738075465392153,-0.022689023631238998,6.0,0.05500000000000001,26.0,50
subj07,ventral,B0,0.08488697521672808,0.08293572796076451,5.0,0.1183206106870229,52.0,131
subj07,ventral,B1,0.017262514398416036,0.005560394502884697,11.0,0.06297709923664122,49.5,131
subj08,V1,B0,0.1546454527511677,0.17375609882353676,6.0,0.1477272727272727,10.5,22
subj08,V1,B1,-0.05750327193621448,-0.07466561366157357,5.0,0.022727272727272728,12.5,22
subj08,V2,B0,0.11689754533650758,0.12119798647809757,8.0,0.15476190476190477,12.0,21
subj08,V2,B1,0.03296086872648455,0.022381000119989662,8.0,0.07142857142857142,12.0,21
subj08,V3,B0,0.07299839884072783,0.10459374551282155,3.5,0.15277777777777776,8.5,18
subj08,V3,B1,-0.016345093592358455,-0.004072609535387177,1.5,0.013888888888888888,8.5,18
subj08,hV4,B0,0.24150547267278705,0.2167216071286,4.5,0.39999999999999997,5.5,10
subj08,hV4,B1,0.021507745582510465,0.021316077960081246,5.5,0.125,5.5,10
subj08,lateral,B0,0.14281000194743423,0.1321151289502477,12.0,0.1939655172413793,45.0,174
subj08,lateral,B1,0.08283763927818145,0.09359621506685986,6.0,0.07471264367816093,52.5,174
subj08,parietal,B0,0.08942615639375989,0.06329378354812516,10.0,0.14338235294117646,32.0,68
subj08,parietal,B1,0.05681382831694929,0.09063847789568144,11.0,0.08088235294117647,31.0,68
subj08,ventral,B0,0.09923314670528711,0.094701064072845,7.5,0.17664670658682635,58.0,167
subj08,ventral,B1,-0.06243839152316381,-0.05833943843611976,11.5,0.019461077844311378,55.5,167
