participant,ROI,beta,fold,v2v_lambda_median,v2v_r_model
subj04,ventral,B1,0,27.825594022071257,4
subj04,ventral,B1,1,1149.756995397738,7
subj04,ventral,B1,2,376.49358067924715,6
subj04,ventral,B1,3,0.001,12
subj04,lateral,B0,0,100000.0,8
subj04,lateral,B0,1,148.49682622544665,8
subj04,lateral,B0,2,546.2277217684348,4
subj04,lateral,B0,3,178.8649529057435,8
subj04,lateral,B1,0,2.9836472402833403,12
subj04,lateral,B1,1,102.35310218990269,12
subj04,lateral,B1,2,792.4828983539186,9
subj04,lateral,B1,3,123.28467394420684,9
subj04,parietal,B0,0,1.7073526474706922,12
subj04,parietal,B0,1,100000.0,12
subj04,parietal,B0,2,48.62601580065353,12
subj04,parietal,B0,3,58.57020818056673,12
subj04,parietal,B1,0,0.001,9
subj04,parietal,B1,1,215.44346900318865,4
subj04,parietal,B1,2,123.28467394420684,12
subj04,parietal,B1,3,1.1768119524349991,2
subj05,V1,B0,0,23.10129700083163,8
subj05,V1,B0,1,2.4770763559917115,12
subj05,V1,B0,2,657.9332246575682,7
subj05,V1,B0,3,10.974987654930567,3
subj05,V1,B1,0,7.56463327554629,12
subj05,V1,B1,1,10.974987654930567,6
subj05,V1,B1,2,5.21400828799969,9
subj05,V1,B1,3,2.4770763559917115,8
subj05,V2,B0,0,93.66422289038363,5
subj05,V2,B0,1,14.571119709035626,7
subj05,V2,B0,2,12.09719956979544,12
subj05,V2,B0,3,5.21400828799969,11
subj05,V2,B1,0,1.7073526474706922,5
subj05,V2,B1,1,5.21400828799969,6
subj05,V2,B1,2,9.269810465238429,4
subj05,V2,B1,3,9.111627561154895,7
subj05,V3,B0,0,15.922827933410938,6
subj05,V3,B0,1,40.37017258596558,12
subj05,V3,B0,2,546.2277217684348,10
subj05,V3,B0,3,215.44346900318865,5
subj05,V3,B1,0,10.974987654930567,11
subj05,V3,B1,1,23.10129700083163,11
subj05,V3,B1,2,13.219411484660315,10
subj05,V3,B1,3,27.825594022071257,12
subj05,hV4,B0,0,376.49358067924715,4
subj05,hV4,B0,1,100000.0,6
subj05,hV4,B0,2,33.516026509388475,11
subj05,hV4,B0,3,148.49682622544665,1
subj05,hV4,B1,0,657.9332246575682,5
subj05,hV4,B1,1,15.922827933410938,8
subj05,hV4,B1,2,453.48785081285916,5
subj05,hV4,B1,3,100000.0,1
subj05,ventral,B0,0,453.48785081285916,11
subj05,ventral,B0,1,376.49358067924715,11
subj05,ventral,B0,2,546.2277217684348,12
subj05,ventral,B0,3,123.28467394420684,9
subj05,ventral,B1,0,70.54802310718645,12
subj05,ventral,B1,1,102.35310218990269,10
subj05,ventral,B1,2,178.8649529057435,12
subj05,ventral,B1,3,58.57020818056673,10
subj05,lateral,B0,0,100000.0,11
subj05,lateral,B0,1,2009.23300256505,12
subj05,lateral,B0,2,57223.676593502205,8
subj05,lateral,B0,3,58.57020818056673,6
subj05,lateral,B1,0,657.9332246575682,11
subj05,lateral,B1,1,259.5024211399737,2
subj05,lateral,B1,2,123.28467394420684,11
subj05,lateral,B1,3,5.21400828799969,10
subj05,parietal,B0,0,178.8649529057435,11
subj05,parietal,B0,1,312.57158496882414,11
subj05,parietal,B0,2,453.48785081285916,10
subj05,parietal,B0,3,1384.8863713938745,11
subj05,parietal,B1,0,0.9770099572992257,12
subj05,parietal,B1,1,4.328761281083062,12
subj05,parietal,B1,2,7.56463327554629,3
subj05,parietal,B1,3,102.35310218990269,12
subj06,V1,B0,0,3511.1917342151346,4
subj06,V1,B0,1,312.57158496882414,3
subj06,V1,B0,2,10.974987654930567,6
subj06,V1,B0,3,9.111627561154895,5
subj06,V1,B1,0,123.28467394420684,4
subj06,V1,B1,1,48.62601580065353,3
subj06,V1,B1,2,10.974987654930567,4
subj06,V1,B1,3,23.10129700083163,11
subj06,V2,B0,0,1169.7174140278546,9
subj06,V2,B0,1,151.07481342497516,2
subj06,V2,B0,2,112.81888806705476,11
subj06,V2,B0,3,0.42475587136616566,11
subj06,V2,B1,0,453.48785081285916,10
subj06,V2,B1,1,44.498094193309555,5
subj06,V2,B1,2,40.37017258596558,4
subj06,V2,B1,3,0.43950386601548064,5
subj06,V3,B0,0,109.52242466631655,1
subj06,V3,B0,1,51210.064132397194,10
subj06,V3,B0,2,77.7616833490255,4
subj06,V3,B0,3,125.42496420767466,5
subj06,V3,B1,0,7.695959501494578,12
subj06,V3,B1,1,100000.0,7
subj06,V3,B1,2,1.4338215695691703,1
subj06,V3,B1,3,86.45056264854458,5
subj06,hV4,B0,0,16.1992570506926,3
subj06,hV4,B0,1,27.825594022071257,2
subj06,hV4,B0,2,5.9466972783146765,8
subj06,hV4,B0,3,100000.0,4
subj06,hV4,B1,0,62.672758088415065,10
subj06,hV4,B1,1,98.5614210130501,4
subj06,hV4,B1,2,13.042472120557484,8
subj06,hV4,B1,3,100000.0,5
subj06,ventral,B0,0,312.57158496882414,6
subj06,ventral,B0,1,312.57158496882414,2
subj06,ventral,B0,2,453.48785081285916,3
subj06,ventral,B0,3,123.28467394420684,4
subj06,ventral,B1,0,178.8649529057435,5
subj06,ventral,B1,1,286.03700305439895,12
subj06,ventral,B1,2,215.44346900318865,8
subj06,ventral,B1,3,70.54802310718645,10
subj06,lateral,B0,0,792.4828983539186,4
subj06,lateral,B0,1,453.48785081285916,10
subj06,lateral,B0,2,657.9332246575682,8
subj06,lateral,B0,3,215.44346900318865,8
subj06,lateral,B1,0,657.9332246575682,4
subj06,lateral,B1,1,546.2277217684348,3
subj06,lateral,B1,2,4229.242874389508,8
subj06,lateral,B1,3,123.28467394420684,2
subj06,parietal,B0,0,3119.237938477279,7
subj06,parietal,B0,1,0.3526397865753958,11
subj06,parietal,B0,2,40.37017258596558,7
subj06,parietal,B0,3,10.043307608042731,4
subj06,parietal,B1,0,4.771384784541375,10
subj06,parietal,B1,1,0.3029329666806788,11
subj06,parietal,B1,2,0.22305620104317028,6
subj06,parietal,B1,3,1.8819324779096727,7
subj07,V1,B0,0,84.97534359086455,11
subj07,V1,B0,1,1.7073526474706922,3
subj07,V1,B0,2,0.5590810182512228,3
subj07,V1,B0,3,70.54802310718645,6
subj07,V1,B1,0,84.97534359086455,6
subj07,V1,B1,1,3.5938136638046294,4
subj07,V1,B1,2,1.1768119524349991,5
subj07,V1,B1,3,123.28467394420684,6
subj07,V2,B0,0,2.730361798137526,2
subj07,V2,B0,1,10.974987654930567,12
subj07,V2,B0,2,0.8679464853431109,5
subj07,V2,B0,3,96.91634852569665,6
subj07,V2,B1,0,1.9472752594592588,7
subj07,V2,B1,1,15.922827933410938,8
subj07,V2,B1,2,0.001,7
subj07,V2,B1,3,102.35310218990269,9
subj07,V3,B0,0,7.56463327554629,3
subj07,V3,B0,1,4.328761281083062,1
subj07,V3,B0,2,0.8111308307896873,5
subj07,V3,B0,3,58.57020818056673,8
subj07,V3,B1,0,6.280291441834259,7
subj07,V3,B1,1,4.328761281083062,8
subj07,V3,B1,2,3.5938136638046294,5
subj07,V3,B1,3,148.49682622544665,6
subj07,hV4,B0,0,3.7828166377731454,3
subj07,hV4,B0,1,2.8251629860766414,5
subj07,hV4,B0,2,51.764957071168844,7
subj07,hV4,B0,3,100000.0,2
subj07,hV4,B1,0,4.556313780577447,3
subj07,hV4,B1,1,50001.7969068319,1
subj07,hV4,B1,2,2.164880640541531,3
subj07,hV4,B1,3,100000.0,3
subj07,ventral,B0,0,58.57020818056673,10
subj07,ventral,B0,1,23.10129700083163,8
subj07,ventral,B0,2,259.5024211399737,4
subj07,ventral,B0,3,48.62601580065353,11
subj07,ventral,B1,0,123.28467394420684,1
subj07,ventral,B1,1,0.001,5
subj07,ventral,B1,2,33.516026509388475,9
subj07,ventral,B1,3,19.179102616724887,8
subj07,lateral,B0,0,6.280291441834259,1
subj07,lateral,B0,1,123.28467394420684,5
subj07,lateral,B0,2,7.56463327554629,11
subj07,lateral,B0,3,215.44346900318865,10
subj07,lateral,B1,0,102.35310218990269,1
subj07,lateral,B1,1,215.44346900318865,10
subj07,lateral,B1,2,657.9332246575682,5
subj07,lateral,B1,3,3.5938136638046294,12
subj07,parietal,B0,0,5.747149864916974,12
subj07,parietal,B0,1,40.37017258596558,2
subj07,parietal,B0,2,19.179102616724887,12
subj07,parietal,B0,3,0.15199110829529347,2
subj07,parietal,B1,0,25.463445511451443,8
subj07,parietal,B1,1,163.68088956559507,12
subj07,parietal,B1,2,566.7067047837891,12
subj07,parietal,B1,3,0.186252091142799,1
subj08,V1,B0,0,25.463445511451443,4
subj08,V1,B0,1,10.043307608042731,11
subj08,V1,B0,2,19.179102616724887,10
subj08,V1,B0,3,80.4616551852347,4
subj08,V1,B1,0,10.043307608042731,11
subj08,V1,B1,1,12.09719956979544,7
subj08,V1,B1,2,5.57922346967546,12
subj08,V1,B1,3,123.28467394420684,5
subj08,V2,B0,0,23.10129700083163,6
subj08,V2,B0,1,15.922827933410938,10
subj08,V2,B0,2,27.825594022071257,6
subj08,V2,B0,3,33.516026509388475,5
subj08,V2,B1,0,40.37017258596558,10
subj08,V2,B1,1,15.922827933410938,6
subj08,V2,B1,2,27.825594022071257,5
subj08,V2,B1,3,27.825594022071257,9
subj08,V3,B0,0,6.922462358690275,3
subj08,V3,B0,1,21.140199808778256,5
subj08,V3,B0,2,44.498094193309555,4
subj08,V3,B0,3,38.225804911362395,10
subj08,V3,B1,0,5.274140257914816,12
subj08,V3,B1,1,13.219411484660315,7
