participant,ROI,beta,fold,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas
subj04,hV4,B1,2,0.001,1.2209325838598533,100000.0,6
subj04,hV4,B1,3,0.001,17.786269408868563,100000.0,5
subj04,ventral,B0,0,0.001,23.10129700083163,100000.0,64
subj04,ventral,B0,1,0.001,453.48785081285916,100000.0,46
subj04,ventral,B0,2,0.001,0.1261856883066021,100000.0,73
subj04,ventral,B0,3,0.001,27.825594022071257,100000.0,63
subj04,ventral,B1,0,0.001,1.4174741629268062,100000.0,65
subj04,ventral,B1,1,0.001,27.825594022071257,100000.0,48
subj04,ventral,B1,2,0.001,6.280291441834259,100000.0,52
subj04,ventral,B1,3,0.001,102.35310218990269,100000.0,50
subj04,lateral,B0,0,0.001,0.4641588833612782,100000.0,52
subj04,lateral,B0,1,0.001,1668.100537200059,100000.0,49
subj04,lateral,B0,2,0.001,23.10129700083163,100000.0,65
subj04,lateral,B0,3,0.001,312.57158496882414,100000.0,44
subj04,lateral,B1,0,0.001,657.9332246575682,100000.0,42
subj04,lateral,B1,1,0.001,48.62601580065353,100000.0,51
subj04,lateral,B1,2,0.001,9.111627561154895,100000.0,48
subj04,lateral,B1,3,0.001,19.179102616724887,100000.0,46
subj04,parietal,B0,0,0.001,0.1261856883066021,100000.0,21
subj04,parietal,B0,1,0.001,215.44346900318865,100000.0,27
subj04,parietal,B0,2,0.001,1.1768119524349991,100000.0,37
subj04,parietal,B0,3,0.001,2.9836472402833403,100000.0,28
subj04,parietal,B1,0,0.001,0.03430469286314919,100000.0,27
subj04,parietal,B1,1,0.001,2.0565123083486534,100000.0,33
subj04,parietal,B1,2,0.001,1.7073526474706922,100000.0,30
subj04,parietal,B1,3,0.001,0.31992671377973847,100000.0,39
subj05,V1,B0,0,0.001,100000.0,100000.0,3
subj05,V1,B0,1,9.111627561154895,100000.0,100000.0,6
subj05,V1,B0,2,0.001,100000.0,100000.0,9
subj05,V1,B0,3,33.516026509388475,453.48785081285916,100000.0,13
subj05,V1,B1,0,0.10476157527896651,453.48785081285916,100000.0,14
subj05,V1,B1,1,0.001,2420.1282647943835,100000.0,12
subj05,V1,B1,2,0.3853528593710531,33.516026509388475,100000.0,15
subj05,V1,B1,3,0.001,0.07220809018385467,100000.0,10
subj05,V2,B0,0,0.001,0.04421439185812607,100000.0,13
subj05,V2,B0,1,0.001,100000.0,100000.0,10
subj05,V2,B0,2,0.3853528593710531,288.386262378533,100000.0,12
subj05,V2,B0,3,0.001,100000.0,100000.0,9
subj05,V2,B1,0,0.001,44.498094193309555,100000.0,14
subj05,V2,B1,1,0.001,100000.0,100000.0,8
subj05,V2,B1,2,0.001,5.30452636145866,100000.0,13
subj05,V2,B1,3,0.001,6.979317447606954,100000.0,14
subj05,V3,B0,0,0.001,13.219411484660315,100000.0,13
subj05,V3,B0,1,0.001,33.516026509388475,100000.0,12
subj05,V3,B0,2,2.0565123083486534,10722.672220103253,100000.0,10
subj05,V3,B0,3,0.18307382802953698,100000.0,100000.0,8
subj05,V3,B1,0,0.001,102.35310218990269,100000.0,9
subj05,V3,B1,1,0.001,2.4770763559917115,100000.0,7
subj05,V3,B1,2,0.001,0.9770099572992257,100000.0,9
subj05,V3,B1,3,0.001,3.5938136638046294,100000.0,10
subj05,hV4,B0,0,0.31992671377973847,100000.0,100000.0,3
subj05,hV4,B0,1,0.001,70.54802310718645,100000.0,7
subj05,hV4,B0,2,0.001,100000.0,100000.0,6
subj05,hV4,B0,3,0.001,0.02848035868435802,57223.676593502205,11
subj05,hV4,B1,0,0.001,1.4174741629268062,100000.0,7
subj05,hV4,B1,1,0.001,102.35310218990269,100000.0,8
subj05,hV4,B1,2,0.001,40.37017258596558,100000.0,6
subj05,hV4,B1,3,0.0014508287784959402,5.21400828799969,47508.10162102803,11
subj05,ventral,B0,0,0.001,10.974987654930567,100000.0,47
subj05,ventral,B0,1,0.001,259.5024211399737,100000.0,42
subj05,ventral,B0,2,0.001,70.54802310718645,100000.0,44
subj05,ventral,B0,3,0.001,123.28467394420684,100000.0,50
subj05,ventral,B1,0,0.001,13.219411484660315,100000.0,43
subj05,ventral,B1,1,0.001,13.219411484660315,100000.0,45
subj05,ventral,B1,2,0.001,215.44346900318865,100000.0,40
subj05,ventral,B1,3,0.001,123.28467394420684,100000.0,45
subj05,lateral,B0,0,0.001,1.4174741629268062,100000.0,52
subj05,lateral,B0,1,0.001,123.28467394420684,100000.0,38
subj05,lateral,B0,2,0.001,657.9332246575682,100000.0,50
subj05,lateral,B0,3,0.001,2.4770763559917115,100000.0,51
subj05,lateral,B1,0,0.001,102.35310218990269,100000.0,44
subj05,lateral,B1,1,0.001,0.5590810182512228,100000.0,59
subj05,lateral,B1,2,0.001,10.974987654930567,100000.0,52
subj05,lateral,B1,3,0.001,215.44346900318865,100000.0,47
subj05,parietal,B0,0,0.001,58.57020818056673,100000.0,30
subj05,parietal,B0,1,0.001,102.35310218990269,100000.0,39
subj05,parietal,B0,2,0.001,376.49358067924715,100000.0,23
subj05,parietal,B0,3,0.001,7.56463327554629,100000.0,33
subj05,parietal,B1,0,0.001,0.8111308307896873,100000.0,27
subj05,parietal,B1,1,0.001,0.011233240329780276,100000.0,26
subj05,parietal,B1,2,0.001,1.4174741629268062,100000.0,37
subj05,parietal,B1,3,0.001,58.57020818056673,100000.0,25
subj06,V1,B0,0,0.001,0.001,100000.0,8
subj06,V1,B0,1,0.001,2.0565123083486534,100000.0,19
subj06,V1,B0,2,0.001,0.001,100000.0,6
subj06,V1,B0,3,0.001,100000.0,100000.0,11
subj06,V1,B1,0,0.001,0.10476157527896651,100000.0,12
subj06,V1,B1,1,0.001,13.219411484660315,100000.0,15
