participant,ROI,beta,fold,n_voxels,v2v_lambda_median,v2v_r_model,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas,v2i_r_model,val_score,test_mean_r,test_median_r,finite_frac,target_constant,prediction_constant,null_mean,null_p95_mean,fraction_voxels_above_null_p95
subj02,ventral,B0,1,164,178.8649529057435,8,0.001,344.53258282403567,100000.0,53,9,0.24346811929443174,0.15496653040702119,0.16237534254662062,1.0,0,0,-0.001712276143022656,0.3437230370876668,0.22560975609756098
subj02,ventral,B0,2,164,178.8649529057435,6,0.001,14.571119709035626,100000.0,51,10,0.27160331840530477,0.22565305136263394,0.2353997320042025,1.0,0,0,0.001779408002246137,0.3442735958996173,0.3231707317073171
subj02,ventral,B0,3,164,77.7616833490255,10,0.001,30.670810265729866,100000.0,45,12,0.13668089192014954,0.0617937212901182,0.059321248185434834,1.0,0,0,0.0007565316802346283,0.34317621454679115,0.11585365853658537
subj02,ventral,B1,0,164,376.49358067924715,11,0.001,3.9612874724438454,100000.0,54,3,0.12483017370501909,-0.12407498352191278,-0.13902352854814765,1.0,0,0,-0.0007824707206179227,0.34384089725133177,0.024390243902439025
subj02,ventral,B1,1,164,657.9332246575682,7,0.001,312.57158496882414,100000.0,53,1,0.13027935532765017,-0.027528996941381095,-0.02408274404845321,1.0,0,0,0.0013970335236260392,0.34538676852519745,0.018292682926829267
subj02,ventral,B1,2,164,414.9907157460532,3,0.001,3.656204260683201,100000.0,67,11,0.11422123325737386,0.010165175612678271,0.019339892656661778,1.0,0,0,0.0005644232717827805,0.3433411058740799,0.04878048780487805
subj02,ventral,B1,3,164,27.825594022071257,7,0.001,546.2277217684348,100000.0,49,9,0.059060210604631985,0.048022790415232545,0.05655220701449663,1.0,0,0,0.0009845676877297592,0.3469014714182457,0.07926829268292683
subj02,lateral,B0,0,136,215.44346900318865,2,0.001,2044.1144009972213,100000.0,38,8,0.18970055559547983,0.07705184530103891,0.10705741422712206,1.0,0,0,0.00039590063828161964,0.34456046742184043,0.14705882352941177
subj02,lateral,B0,1,136,123.28467394420684,5,0.001,135.89075008482675,100000.0,45,12,0.22756340481484685,0.13249728428504426,0.12318486098244912,1.0,0,0,0.0016730064419204094,0.3442835616928594,0.13970588235294118
subj02,lateral,B0,2,136,123.28467394420684,1,0.001,0.10476157527896651,47508.10162102803,64,3,0.14394750596488246,-0.0034045635507723945,-0.020525801347849638,1.0,0,0,0.0009653719229463861,0.343384644843822,0.16176470588235295
subj02,lateral,B0,3,136,102.35310218990269,2,0.001,135.89075008482675,100000.0,45,3,0.20812069561780314,0.057302280328048065,0.06999646750937456,1.0,0,0,-0.0008383594147371195,0.3427067779656959,0.058823529411764705
subj02,lateral,B1,0,136,376.49358067924715,6,0.001,8.338130418350593,100000.0,49,2,0.1741251508267642,-0.006657904405093129,0.008084629120614386,1.0,0,0,-0.001504545712844734,0.344556285567383,0.014705882352941176
subj02,lateral,B1,1,136,376.49358067924715,1,0.001,0.011233240329780276,100000.0,57,11,0.08733930384762394,-0.029573387491016973,-0.03875188523016327,1.0,0,0,0.005618365390724131,0.3483658843781754,0.051470588235294115
subj02,lateral,B1,2,136,178.8649529057435,1,0.001,0.004883660344395097,68926.12104349709,52,1,0.12679790867390728,-0.1391155831080001,-0.16044782728961135,1.0,0,0,-0.004548129010270746,0.3355633433958581,0.014705882352941176
subj02,lateral,B1,3,136,58.57020818056673,9,0.001,44.498094193309555,100000.0,39,2,0.21324092264691624,-0.053838340054894636,-0.040333413191502535,1.0,0,0,0.00291076637593982,0.3489839374193979,0.014705882352941176
subj02,parietal,B0,0,68,25.463445511451443,5,0.001,58.57020818056673,100000.0,31,4,0.2645847828356722,0.15971831593216845,0.19125457039095495,1.0,0,0,0.0012325387086739583,0.347909660199321,0.2647058823529412
subj02,parietal,B0,1,68,259.5024211399737,1,0.001,0.034900241342755704,100000.0,36,5,0.26969849085023867,0.20591013482921056,0.2187304548855442,1.0,0,0,0.0021473525335711555,0.3461449263148817,0.27941176470588236
subj02,parietal,B0,2,68,13.219411484660315,1,0.001,0.050634274516523754,68926.12104349709,43,1,0.07685105733956074,0.1949956041321778,0.21689369178351706,1.0,0,0,0.004803996955808105,0.34768147554333867,0.1323529411764706
subj02,parietal,B0,3,68,48.62601580065353,11,0.001,15.922827933410938,100000.0,32,10,0.31409342667642365,0.2541727298694751,0.2638530769753349,1.0,0,0,-0.004113787018673519,0.3385916493167087,0.3088235294117647
subj02,parietal,B1,0,68,0.8252125115371542,1,0.001,0.08848483273141058,100000.0,41,11,0.044167979663654454,-0.08792927130637761,-0.13368120921132276,1.0,0,0,-0.00019532573506633188,0.33795659240674925,0.0
subj02,parietal,B1,1,68,1481.8907296134423,12,0.001,0.9770099572992257,100000.0,25,12,0.051074340263229615,-0.0018099247133837862,-0.0008881838127821578,1.0,0,0,0.0003857645899444539,0.34133673101973644,0.029411764705882353
subj02,parietal,B1,2,68,135.89075008482675,2,0.001,102.35310218990269,100000.0,33,12,0.10021648356968588,-0.0765228301370321,-0.10149441096018408,1.0,0,0,-0.00158559848416906,0.33905295738062186,0.014705882352941176
subj02,parietal,B1,3,68,6.922462358690275,12,0.001,5.747149864916974,100000.0,37,4,0.12713533699646576,0.1234369740242094,0.17455435479008496,1.0,0,0,-0.001335539147002517,0.3380063250182357,0.10294117647058823
subj03,V1,B0,0,26,16.1992570506926,3,0.013530477745798075,2.0802295963591697,100000.0,23,12,0.4391679105412602,0.5629025780681028,0.6191425849663846,1.0,0,0,-0.0007993701847610545,0.35263774579963947,0.8846153846153846
subj03,V1,B0,1,26,40.37017258596558,4,0.001,14.571119709035626,100000.0,20,11,0.4901216642668841,0.18492779756255326,0.20947533452788702,1.0,0,0,0.005007744214953977,0.3464515458364614,0.23076923076923078
subj03,V1,B0,2,26,14.571119709035626,4,0.006428073117284319,19.40029083850091,100000.0,18,8,0.41968900700631895,0.5128118420160414,0.556370256603744,1.0,0,0,-0.0004588899811741554,0.3402479867331092,0.8846153846153846
subj03,V1,B0,3,26,40.37017258596558,6,0.00210490414451202,602.0804732130015,100000.0,17,2,0.6380538099495647,0.29923947105480075,0.2959540660016663,1.0,0,0,-0.0007270038666444512,0.35516504653574105,0.38461538461538464
subj03,V1,B1,0,26,4.328761281083062,2,0.001,30.670810265729866,100000.0,16,1,0.1632147536843851,-0.23646086748784034,-0.2603281385919901,1.0,0,0,0.004472276631812647,0.34588351066572187,0.038461538461538464
subj03,V1,B1,1,26,8.338130418350593,3,0.001,5.719573269145923,100000.0,9,11,0.18423035248485473,-0.02879695414639384,-0.11158939947081051,1.0,0,0,0.0023662508161565675,0.3431674813114459,0.0
subj03,V1,B1,2,26,3.2887304520439846,6,0.001,1052.1527260297862,100000.0,8,9,0.314617543821859,0.018388967150593988,0.0017056801619125522,1.0,0,0,-0.0015125324750058066,0.3413698687898403,0.038461538461538464
