subject,roi,fold,pair,s1,s2,AXIS_SINGULAR_GAP,s2_over_s1
subj02,ventral,1,18,9.231986553904536,5.2195868983526745,0.4346193132024087,0.5653806867975913
subj02,ventral,1,19,10.168716657018408,5.180641327432665,0.49053145031266,0.50946854968734
subj02,ventral,1,20,10.406358062332677,7.128958699000694,0.31494201369016944,0.6850579863098305
subj02,ventral,1,21,9.940911841586157,7.840755160214091,0.2112639881370247,0.7887360118629753
subj02,ventral,1,22,10.39077548488033,7.430397046838671,0.28490447535406,0.7150955246459401
subj02,ventral,1,23,10.532404084770757,5.618681049808744,0.4665338507157136,0.5334661492842864
subj02,ventral,1,24,11.118541596742753,6.053703428412609,0.45553080179273875,0.5444691982072613
subj02,ventral,2,0,10.752069276323517,5.3292781882684235,0.504348600133771,0.495651399866229
subj02,ventral,2,1,12.42556845268421,6.911394977422305,0.44377635488143125,0.5562236451185687
subj02,ventral,2,2,10.916710203310055,5.705801238560274,0.4773332686957085,0.5226667313042915
subj02,ventral,2,3,9.379339732310479,5.744240025615325,0.3875645632253576,0.6124354367746424
subj02,ventral,2,4,10.566413075997902,5.201202774050381,0.5077607948277969,0.49223920517220304
subj02,ventral,2,5,10.135776715790106,6.633477632288245,0.34553830275737774,0.6544616972426223
subj02,ventral,2,6,12.276660574588263,7.360335076763638,0.4004611407112646,0.5995388592887354
subj02,ventral,2,7,10.228162729116525,7.060043344295348,0.30974471845295215,0.6902552815470478
subj02,ventral,2,8,9.205085454979592,6.2420753321399385,0.32188838847082957,0.6781116115291704
subj02,ventral,2,9,10.286809152736954,5.967574753966947,0.41988087215760317,0.5801191278423968
subj02,ventral,2,10,10.423928042673905,6.237322890657933,0.40163411862367776,0.5983658813763223
subj02,ventral,2,11,12.196537911876792,7.5472423984384225,0.38119797167284336,0.6188020283271566
subj02,ventral,2,12,10.920925926686223,6.001531412164534,0.45045580819303294,0.5495441918069671
subj02,ventral,2,13,9.569703004785714,5.739631054042551,0.40022892547739275,0.5997710745226073
subj02,ventral,2,14,10.375774565241171,5.882105975843885,0.43309234998715845,0.5669076500128416
subj02,ventral,2,15,9.971540146232895,5.6952572185503545,0.4288487901538519,0.5711512098461481
subj02,ventral,2,16,12.336390656101026,6.151013366016467,0.5013927867974535,0.49860721320254653
subj02,ventral,2,17,10.483959365195872,5.447631908315951,0.4803841069433435,0.5196158930566565
subj02,ventral,2,18,8.851573570514129,5.520626826215074,0.3763112533340874,0.6236887466659127
subj02,ventral,2,19,9.885443905170725,5.370192019816643,0.45675762552173443,0.5432423744782656
subj02,ventral,2,20,10.24522349987237,6.630775692180382,0.3527934561639397,0.6472065438360602
subj02,ventral,2,21,12.307374664388876,7.457496355223501,0.3940627827962688,0.6059372172037313
subj02,ventral,2,22,10.731789046429629,6.440731667402114,0.39984548340102827,0.6001545165989717
subj02,ventral,2,23,9.711152751765315,5.620089912927879,0.42127468730154133,0.5787253126984586
subj02,ventral,2,24,10.428998538730244,5.904335371581192,0.43385404172277703,0.5661459582772229
subj02,ventral,3,0,11.362796351593838,5.133676795501912,0.5482030446861066,0.45179695531389336
subj02,ventral,3,1,12.461782147787046,6.981290175028003,0.4397839657092918,0.5602160342907082
subj02,ventral,3,2,10.451695504617238,6.282017230296556,0.398947546116192,0.601052453883808
subj02,ventral,3,3,10.248455814193294,5.448717529743306,0.468337705842741,0.531662294157259
subj02,ventral,3,4,10.993158359117432,4.9807529795289405,0.5469224751594671,0.45307752484053293
subj02,ventral,3,5,10.793246860134841,6.5645322356999944,0.39179263471251846,0.6082073652874815
subj02,ventral,3,6,12.381361328001644,7.4064702363000094,0.40180485488703394,0.598195145112966
subj02,ventral,3,7,10.369088041084474,6.730763365926925,0.35088183847429527,0.6491181615257047
subj02,ventral,3,8,9.97455039109311,6.2727343861217815,0.37112610191201284,0.6288738980879872
subj02,ventral,3,9,10.713429289466786,5.91602456893149,0.4477935673922823,0.5522064326077177
subj02,ventral,3,10,10.708132498889416,5.897242661247936,0.4492744031828554,0.5507255968171446
subj02,ventral,3,11,12.24182280401503,6.938731547832738,0.4331945773992908,0.5668054226007092
subj02,ventral,3,12,10.052855258600529,6.451013471040958,0.3582904254468484,0.6417095745531516
subj02,ventral,3,13,9.79214903500446,5.727737845049373,0.4150683548040214,0.5849316451959786
