subject,roi,T,R_AXIS,DELTA_AXIS,E_AXIS,AXIS_FIDELITY,ARF,TOTAL_ZERO_BASE
subj01,lateral,1,0.29410781549111675,0.16815786668414687,0.16245854045726596,0.38196182826929764,0.4207404930765464,0.2733646536775592
subj01,lateral,2,0.37562555250468804,0.24967560369771816,0.2439710790014814,0.5971764618787876,0.6247024815453717,0.40588338971236937
subj01,lateral,4,0.4595495847016282,0.33359963589465835,0.32790302528039145,0.8211516819775797,0.8346851566576592,0.5423139025936542
subj01,lateral,8,0.5256211707291237,0.3996712219221539,,0.9999999999999932,1.0,0.6497227118779607
subj02,lateral,1,0.2314887830079301,0.11583181505627707,0.10926184627713573,0.30364333589514847,0.37757656974406867,0.18874199039286002
subj02,lateral,2,0.29527085049151336,0.17961388253986033,0.17301968141739776,0.5260432822405754,0.5854867560770334,0.29267159179273766
subj02,lateral,4,0.36709227997124844,0.2514353120195954,0.2448448721357263,0.7908998172283855,0.8196028230997121,0.4097009204472145
subj02,lateral,8,0.4224339819120056,0.30677701396035256,,0.9999999999999871,0.9999999788590131,0.49987737991952824
subj03,lateral,1,0.2753603161893626,0.1223123459348048,0.11748966881760911,0.3468536485342288,0.4157827177594345,0.22145339263123456
subj03,lateral,2,0.32923177806850784,0.17618380781395007,0.17133362309444075,0.5466445022675529,0.5989107794329785,0.31899070914628125
subj03,lateral,4,0.392353107396099,0.23930513714154125,0.2344614608685762,0.7858214540377041,0.8134823965157152,0.4332754317566981
subj03,lateral,8,0.4472216822784741,0.2941737120239163,,0.999999999999981,0.9999999962708617,0.5326180775352326
subj04,lateral,1,0.24736167401180473,0.11224272427792245,0.10598010756197362,0.283219173100179,0.3817941857668009,0.22097965149363036
subj04,lateral,2,0.2979794002004159,0.16286045046653363,0.1566042634376287,0.47802327367994935,0.5539706335488058,0.32063410628807293
subj04,lateral,4,0.36750149111246266,0.2323825413785804,0.22612626664829402,0.7434674922436877,0.7904503721093861,0.45750683028586697
subj04,lateral,8,0.42910646200027086,0.2939875122663886,,0.999999999999975,0.9999999874685043,0.5787925981130543
subj05,lateral,1,0.20616828112743973,0.08875491701166692,0.08232704266002151,0.256654490858757,0.3052797133298109,0.177351920109825
subj05,lateral,2,0.26123037249709463,0.14381700838132183,0.13742613887565308,0.45134584240796666,0.4946702286345405,0.28737813565332276
subj05,lateral,4,0.334585713665174,0.21717234954940118,0.21076187695076673,0.7218896139273716,0.746981855719472,0.43395830320347695
subj05,lateral,8,0.4081464649038914,0.2907331007881186,,0.9999999999999882,1.0,0.580948925426613
subj06,lateral,1,0.2061667963555563,0.11550231843546636,0.1103369023833294,0.28064723925461876,0.33789353962588553,0.1943163473726327
subj06,lateral,2,0.2744770836893073,0.18381260576921737,0.1786493314624178,0.48669712553478867,0.5377302623230028,0.3092387636710196
subj06,lateral,4,0.35862777923233463,0.2679633013122447,0.262798505461763,0.7532841860763639,0.7839069344813232,0.4508104308745977
subj06,lateral,8,0.4324949807183272,0.3418305027982373,,0.9999999999999833,1.0,0.5750815708640176
subj07,lateral,1,0.3201640718451396,0.18022209554609417,0.17289421874046387,0.37651060864032804,0.4346584915851703,0.28893975496333485
subj07,lateral,2,0.39519555576405896,0.2552535794650135,0.24790642671758872,0.569402262538743,0.615618942204574,0.4092334321197139
subj07,lateral,4,0.483147972815976,0.3432059965169305,0.33587683364063103,0.804702849007533,0.8277420162994396,0.5502425007048378
subj07,lateral,8,0.5545711588774761,0.4146291825784306,,0.9999999999999871,0.9999999973401633,0.6647512007439644
subj08,lateral,1,0.16275775660079086,0.09368192746156209,0.08839323730532116,0.25890463859129753,0.47793340024480024,0.14440948185245256
subj08,lateral,2,0.18679289979196415,0.11771707065273537,0.11240724514681563,0.408058879530923,0.6005525437870948,0.18145934481466539
subj08,lateral,4,0.22224884824433533,0.15317301910510656,0.14785240148075443,0.653353448219709,0.7814367597923529,0.23611423165711437
subj08,lateral,8,0.2650904339766132,0.19601460483738442,,0.9999999999999943,0.999999990670665,0.3021539830261722
