subject,roi,fold,R_IN_ORACLE,R_IN_SELF,SELF_IN,R_OUT_ORACLE,R_OUT_SELF,SELF_OUT
subj02,lateral,5,0.15951372117609472,0.1595137211760947,0.9999999999999996,0.5506226506705284,0.5506226506705272,0.9999999999999973
subj03,lateral,0,0.2359119967835906,0.23591199678359018,0.9999999999999888,0.6736865264670886,0.6736865264670886,1.0
subj03,lateral,1,0.18387866189254182,0.18387866189254182,1.0,0.6466342058359704,0.6466342058359696,0.9999999999999984
subj03,lateral,2,0.22665710219201585,0.22665710219201574,0.9999999999999987,0.6653456240923645,0.6653456240923643,0.9999999999999996
subj03,lateral,3,0.22750779633030913,0.2275077963303092,1.0000000000000049,0.6787833009955051,0.6787833009955044,0.9999999999999986
subj03,lateral,4,0.21764630155656933,0.2176463015565695,1.0000000000000018,0.6204182533031595,0.6204182533031601,1.0000000000000013
subj03,lateral,5,0.13224882976139082,0.1322488297613909,1.0000000000000024,0.6115984898265441,0.6115984898265447,1.0000000000000013
subj04,lateral,0,0.14531420461930894,0.14531420461930883,0.9999999999999936,0.5852609289962023,0.5852609289962023,1.0
subj04,lateral,1,0.15257597873847023,0.15257597873847034,1.0000000000000062,0.6552879629405646,0.6552879629405648,1.0000000000000004
subj04,lateral,2,0.16702515698898684,0.16702515698898673,0.999999999999985,0.6957206498233697,0.69572064982337,1.0000000000000007
subj04,lateral,3,0.13722336630149495,0.1372233663014949,0.9999999999999943,0.666083106464421,0.6660831064644206,0.9999999999999992
subj04,lateral,4,0.12455634819143874,0.12455634819143874,1.0,0.3878389401990313,0.387838940199031,0.9999999999999989
subj04,lateral,5,0.16138012901141613,0.16138012901141613,-4860990828.727374,0.6712853157620011,0.6712853157620007,0.9999999999999991
subj05,lateral,0,0.14512207544658395,0.14512207544658415,1.0000000000000926,0.6168386025059156,0.6168386025059158,1.0000000000000004
subj05,lateral,1,0.16524668000809534,0.16524668000809523,-868344291.9003581,0.6482757173651328,0.648275717365133,1.0000000000000004
subj05,lateral,2,0.1295492304937011,0.12954923049370107,0.9999999999999923,0.5488923108298351,0.5488923108298353,1.0000000000000002
subj05,lateral,3,0.05963117694661847,0.0596311769466184,0.9999999999999966,0.4868165440107439,0.48681654401074426,1.0000000000000007
subj05,lateral,4,0.13880539779619996,0.13880539779619977,-6488525553.29571,0.6587584861629632,0.6587584861629632,1.0
subj05,lateral,5,0.16851257783397008,0.16851257783397006,0.9999999999999997,0.5073900387142092,0.5073900387142085,0.9999999999999984
subj06,lateral,0,0.15056202899785548,0.1505620289978553,0.9999999999999821,0.7403794939951951,0.7403794939951949,0.9999999999999997
subj06,lateral,1,0.047628002683597175,0.04762800268359717,-1490324540.1505506,0.6472138930151711,0.6472138930151716,1.0000000000000009
subj06,lateral,2,0.11325935814109475,0.11325935814109474,0.9999999999999989,0.5696736077651523,0.5696736077651526,1.0000000000000007
subj06,lateral,3,0.10731228033047852,0.10731228033047857,1.0000000000000047,0.5203021629705821,0.520302162970582,0.9999999999999998
subj06,lateral,4,0.11035552421549064,0.11035552421549066,1.0000000000000018,0.7389620274656219,0.7389620274656215,0.9999999999999993
subj06,lateral,5,0.06844630561253646,0.0684463056125364,0.999999999999989,0.6490765190607195,0.6490765190607192,0.9999999999999994
subj07,lateral,0,0.182577392799297,0.182577392799297,1.0,0.7152703756993322,0.7152703756993327,1.0000000000000009
subj07,lateral,1,0.11081160424813172,0.11081160424813169,0.9999999999999948,0.7537185024933242,0.7537185024933246,1.0000000000000007
subj07,lateral,2,0.1674258788610685,0.16742587886106872,1.0000000000004254,0.7634615154550743,0.7634615154550743,1.0
subj07,lateral,3,0.14963335178455603,0.14963335178455583,-2992570808.0814905,0.7871206742676057,0.7871206742676056,0.9999999999999998
subj07,lateral,4,0.11773844509081578,0.11773844509081574,0.9999999999999974,0.739831390103044,0.7398313901030446,1.0000000000000009
subj07,lateral,5,0.17701798106796712,0.17701798106796685,0.9999999999999862,0.7774742406081474,0.7774742406081478,1.0000000000000007
subj08,lateral,0,0.19799595257451813,0.1979959525745181,0.9999999999999997,0.4179340267619748,0.4179340267619751,1.000000000000001
subj08,lateral,1,0.08717647971552021,0.08717647971552037,1.0000000000000038,0.39048692900208254,0.39048692900208276,1.0000000000000007
subj08,lateral,2,0.12921199724509208,0.12921199724509208,1.0,0.3729472109922551,0.3729472109922547,0.9999999999999988
