subject,roi,fold,di,dj,SIM
subj02,ventral,2,1,6,0.3750212299091193
subj02,ventral,2,2,3,0.4091754177343459
subj02,ventral,2,2,4,0.3364555328287118
subj02,ventral,2,2,5,0.33909603178067743
subj02,ventral,2,2,6,0.405624477414739
subj02,ventral,2,3,4,0.3056475550429727
subj02,ventral,2,3,5,0.3217353341870781
subj02,ventral,2,3,6,0.37330929936965945
subj02,ventral,2,4,5,0.2869185970495279
subj02,ventral,2,4,6,0.30036937563397403
subj02,ventral,2,5,6,0.330461858584086
subj02,ventral,3,0,1,0.3631852959030897
subj02,ventral,3,0,2,0.38788605767516904
subj02,ventral,3,0,3,0.3856347810421705
subj02,ventral,3,0,4,0.3087560705661265
subj02,ventral,3,0,5,0.3395504305783928
subj02,ventral,3,0,6,0.366225498684045
subj02,ventral,3,1,2,0.3742690207345866
subj02,ventral,3,1,3,0.3957206915412322
subj02,ventral,3,1,4,0.35342673299030397
subj02,ventral,3,1,5,0.31837224946480736
subj02,ventral,3,1,6,0.3984358546508286
subj02,ventral,3,2,3,0.41573147534052973
subj02,ventral,3,2,4,0.3388895219138741
subj02,ventral,3,2,5,0.32277549244080633
subj02,ventral,3,2,6,0.35872561251351126
subj02,ventral,3,3,4,0.35283908789254514
subj02,ventral,3,3,5,0.3242651293295384
subj02,ventral,3,3,6,0.3941586233514635
subj02,ventral,3,4,5,0.28108129790707537
subj02,ventral,3,4,6,0.292903869477228
subj02,ventral,3,5,6,0.32655881158305256
subj02,ventral,4,0,1,0.3811682437956172
subj02,ventral,4,0,2,0.38537035542914966
subj02,ventral,4,0,3,0.3579051370661501
subj02,ventral,4,0,4,0.2985574438068831
subj02,ventral,4,0,5,0.32320679825762594
subj02,ventral,4,0,6,0.3503487443988509
subj02,ventral,4,1,2,0.38555640016413933
subj02,ventral,4,1,3,0.3933058068408211
subj02,ventral,4,1,4,0.31680609951820776
subj02,ventral,4,1,5,0.3364681402547544
subj02,ventral,4,1,6,0.38022954755489513
subj02,ventral,4,2,3,0.39676332457521474
subj02,ventral,4,2,4,0.3065466572060182
subj02,ventral,4,2,5,0.30916944535758933
subj02,ventral,4,2,6,0.3675307808477835
subj02,ventral,4,3,4,0.32490207761676704
subj02,ventral,4,3,5,0.34342663578304194
subj02,ventral,4,3,6,0.3550915564337716
subj02,ventral,4,4,5,0.2830558819822932
subj02,ventral,4,4,6,0.3098444473436364
subj02,ventral,4,5,6,0.3234110535619503
subj02,ventral,5,0,1,0.3928162816104872
subj02,ventral,5,0,2,0.38588864013748436
subj02,ventral,5,0,3,0.342882570931428
subj02,ventral,5,0,4,0.3299962129642335
