subject,roi,fold,R0,R_IN_XSUB,R_OUT_XSUB,R_COMP_XSUB,R_native
subj06,ventral,2,0.0879529212148983,0.08155070706906943,0.08943333518190694,0.08303112103607807,0.5840331911986075
subj06,ventral,3,0.022920926806815012,0.010771977615981905,0.031235295127882257,0.01908634593704915,0.5578240909323804
subj06,ventral,4,0.05746171939490791,0.04826682133241676,0.05829188314376015,0.049096985081269,0.7374574948845338
subj06,ventral,5,0.04037001597669514,0.039684556027291734,0.04495621403168696,0.04427075408228355,0.6760030002361428
subj07,ventral,0,0.04909128624831283,0.03833589915027745,0.0622043541942222,0.051448967096186814,0.7626209014107093
subj07,ventral,1,0.04960039466467116,0.051055320799058675,0.05635793088634771,0.05781285702073523,0.7454942856236798
subj07,ventral,2,0.029029886594618904,0.04850621176835025,0.0409443846585339,0.06042070983226525,0.7536390597152491
subj07,ventral,3,0.04246593698577296,0.032927276910792405,0.049954496456525666,0.04041583638154511,0.7755069248945388
subj07,ventral,4,0.08212049288907314,0.05022946903670594,0.08919095424343779,0.05729993039107059,0.7194261811164174
subj07,ventral,5,0.08552139280510399,0.056373816170875446,0.08848576731482793,0.059338190680599395,0.772726524265001
subj08,ventral,0,0.07772693248099158,0.06904596771979657,0.07775329811546718,0.06907233335427217,0.6891949586365824
subj08,ventral,1,0.0611981838034457,0.05397303543751903,0.06595646857395585,0.058731320208029174,0.6023801099956159
subj08,ventral,2,0.08242595104951156,0.01966090092758246,0.08612362712970988,0.023358577007780774,0.6566394815532366
subj08,ventral,3,0.10113737392592892,0.06112707353397104,0.10807607813559846,0.06806577774364057,0.6780715077158267
subj08,ventral,4,0.05034875602711626,0.062171106198621554,0.058785246286375714,0.070607596457881,0.6620016314142465
subj08,ventral,5,0.055102901016561324,0.026783558929509448,0.056740663495300075,0.028421321408248195,0.7032884378644424
subj01,lateral,0,0.12951659164603532,0.08966136443683617,0.13274419924758532,0.09288897203838618,0.7197956797265068
subj01,lateral,1,0.11338771962475133,0.06631981068423079,0.12122539258573611,0.07415748364521557,0.7188450615464419
subj01,lateral,2,0.09944987000629948,0.09033771963553851,0.10590009404167396,0.09678794367091298,0.7524598372802835
subj01,lateral,3,0.15490599365820598,0.10372323041810814,0.1576867499325578,0.10650398669245997,0.6934039670855824
subj01,lateral,4,0.13724521381212826,0.09716622347104048,0.14192614706294868,0.1018471567218609,0.7688854330692434
subj01,lateral,5,0.1211943040943988,0.08224160584766901,0.12488697156790762,0.08593427332117784,0.7931570366810314
