subject,roi,fold,di,dj,SIM
subj02,ventral,4,1,5,0.15080082963519398
subj02,ventral,4,1,6,0.2471475274878132
subj02,ventral,4,2,3,0.18784364802252532
subj02,ventral,4,2,4,0.13840472077238108
subj02,ventral,4,2,5,0.21932982910838886
subj02,ventral,4,2,6,0.38596354965926727
subj02,ventral,4,3,4,0.11084749261544158
subj02,ventral,4,3,5,0.1215153370417069
subj02,ventral,4,3,6,0.2779683077665246
subj02,ventral,4,4,5,0.10333935640864655
subj02,ventral,4,4,6,0.16179325081905127
subj02,ventral,4,5,6,0.22372342309634963
subj02,ventral,5,0,1,0.09203953806029133
subj02,ventral,5,0,2,0.24984738931158387
subj02,ventral,5,0,3,0.23438704482528444
subj02,ventral,5,0,4,0.13226307273540233
subj02,ventral,5,0,5,0.15019966083810848
subj02,ventral,5,0,6,0.25330954966508595
subj02,ventral,5,1,2,0.12901683212132536
subj02,ventral,5,1,3,0.1329863315208675
subj02,ventral,5,1,4,0.08782342863423112
subj02,ventral,5,1,5,0.08891866311313223
subj02,ventral,5,1,6,0.1401849112727465
subj02,ventral,5,2,3,0.34668597028952386
subj02,ventral,5,2,4,0.1954054288909506
subj02,ventral,5,2,5,0.2339927938243175
subj02,ventral,5,2,6,0.35013988482387776
subj02,ventral,5,3,4,0.16655049445318465
subj02,ventral,5,3,5,0.19814786307393992
subj02,ventral,5,3,6,0.3546635759447707
subj02,ventral,5,4,5,0.1541885040918563
subj02,ventral,5,4,6,0.19697393562059531
subj02,ventral,5,5,6,0.22954118485140942
subj03,ventral,0,0,1,0.10776862084259581
subj03,ventral,0,0,2,0.22742907760192882
subj03,ventral,0,0,3,0.18796772437842635
subj03,ventral,0,0,4,0.1788575618249873
subj03,ventral,0,0,5,0.035398239923201014
subj03,ventral,0,0,6,0.19474523788618928
subj03,ventral,0,1,2,0.2004931020283356
subj03,ventral,0,1,3,0.2691375779221208
subj03,ventral,0,1,4,0.16724173506001716
subj03,ventral,0,1,5,0.021640009127179814
subj03,ventral,0,1,6,0.2564015145274486
subj03,ventral,0,2,3,0.28529181834491746
subj03,ventral,0,2,4,0.284311835588403
subj03,ventral,0,2,5,0.08864618678819933
subj03,ventral,0,2,6,0.30041438790873964
subj03,ventral,0,3,4,0.2250124443449839
subj03,ventral,0,3,5,0.05704818901304682
subj03,ventral,0,3,6,0.30594443451247144
subj03,ventral,0,4,5,0.07809127250995637
subj03,ventral,0,4,6,0.26571770241819126
subj03,ventral,0,5,6,0.058411683632472795
subj03,ventral,1,0,1,0.05771568279850686
subj03,ventral,1,0,2,0.1610562535702476
subj03,ventral,1,0,3,0.1469692262612216
subj03,ventral,1,0,4,0.09478249755202586
subj03,ventral,1,0,5,0.10644437879765496
subj03,ventral,1,0,6,0.14630466879992698
subj03,ventral,1,1,2,0.20235672313433295
subj03,ventral,1,1,3,0.3008828367247572
subj03,ventral,1,1,4,0.22891094065605233
subj03,ventral,1,1,5,0.1534422668939007
subj03,ventral,1,1,6,0.27470616874375753
subj03,ventral,1,2,3,0.3200395907985915
subj03,ventral,1,2,4,0.2735851828019886
subj03,ventral,1,2,5,0.272351144871758
subj03,ventral,1,2,6,0.36265382731529916
subj03,ventral,1,3,4,0.28432786337487564
subj03,ventral,1,3,5,0.2250316192098013
subj03,ventral,1,3,6,0.40625298903672524
subj03,ventral,1,4,5,0.23790021636935216
subj03,ventral,1,4,6,0.309758074407791
subj03,ventral,1,5,6,0.2579772045056121
subj03,ventral,2,0,1,0.04157338974782129
subj03,ventral,2,0,2,0.11940511436809906
subj03,ventral,2,0,3,0.03379360325368953
subj03,ventral,2,0,4,0.035531036708894084
subj03,ventral,2,0,5,0.053597995673534835
subj03,ventral,2,0,6,0.10685078957756043
subj03,ventral,2,1,2,0.26701496041719924
subj03,ventral,2,1,3,0.267344983591081
subj03,ventral,2,1,4,0.050992349813690226
subj03,ventral,2,1,5,0.14492224216053223
subj03,ventral,2,1,6,0.2976920422707363
subj03,ventral,2,2,3,0.19543625093946715
subj03,ventral,2,2,4,0.08689119248585744
subj03,ventral,2,2,5,0.2096051637190559
subj03,ventral,2,2,6,0.3707415683810593
subj03,ventral,2,3,4,0.04412242793901468
subj03,ventral,2,3,5,0.09036526745975085
subj03,ventral,2,3,6,0.21888284954524442
subj03,ventral,2,4,5,0.07397926977003144
subj03,ventral,2,4,6,0.0835589604753633
subj03,ventral,2,5,6,0.19856975754245842
subj03,ventral,3,0,1,0.024027430765349272
subj03,ventral,3,0,2,0.054572068440105516
subj03,ventral,3,0,3,0.04535751590973303
subj03,ventral,3,0,4,0.02557548095241725
subj03,ventral,3,0,5,0.024413772954958127
subj03,ventral,3,0,6,0.04225183435875756
subj03,ventral,3,1,2,0.2873329379126275
subj03,ventral,3,1,3,0.33205548256257345
subj03,ventral,3,1,4,0.1681314201441744
subj03,ventral,3,1,5,0.10022210827497886
subj03,ventral,3,1,6,0.29910924523225785
subj03,ventral,3,2,3,0.3237986125643147
subj03,ventral,3,2,4,0.26063676580906414
subj03,ventral,3,2,5,0.1505606562042851
subj03,ventral,3,2,6,0.390998777305728
subj03,ventral,3,3,4,0.1699517659180168
subj03,ventral,3,3,5,0.1073773059802326
subj03,ventral,3,3,6,0.31197107337700614
subj03,ventral,3,4,5,0.12434234530963578
subj03,ventral,3,4,6,0.26991376230687525
subj03,ventral,3,5,6,0.1476577983057571
subj03,ventral,4,0,1,0.09148932483606596
subj03,ventral,4,0,2,0.2100343945731527
subj03,ventral,4,0,3,0.1504815950515601
subj03,ventral,4,0,4,0.08072534031672596
subj03,ventral,4,0,5,0.11753070470872394
subj03,ventral,4,0,6,0.2203543234680192
subj03,ventral,4,1,2,0.16287240335591202
subj03,ventral,4,1,3,0.2749063478129532
subj03,ventral,4,1,4,0.10984937500634218
subj03,ventral,4,1,5,0.11845818019589974
subj03,ventral,4,1,6,0.2449894242164921
subj03,ventral,4,2,3,0.18784364802252532
subj03,ventral,4,2,4,0.13840472077238108
subj03,ventral,4,2,5,0.21932982910838886
subj03,ventral,4,2,6,0.38596354965926727
subj03,ventral,4,3,4,0.11084749261544158
subj03,ventral,4,3,5,0.1215153370417069
subj03,ventral,4,3,6,0.2779683077665246
subj03,ventral,4,4,5,0.10333935640864655
subj03,ventral,4,4,6,0.16179325081905127
subj03,ventral,4,5,6,0.22372342309634963
subj03,ventral,5,0,1,0.1778666180252449
subj03,ventral,5,0,2,0.24984738931158387
subj03,ventral,5,0,3,0.23438704482528444
subj03,ventral,5,0,4,0.13226307273540233
subj03,ventral,5,0,5,0.15019966083810848
subj03,ventral,5,0,6,0.25330954966508595
subj03,ventral,5,1,2,0.2741191039014326
subj03,ventral,5,1,3,0.35955499978510097
subj03,ventral,5,1,4,0.12789440908935992
subj03,ventral,5,1,5,0.1622241636559315
subj03,ventral,5,1,6,0.31176562273089553
subj03,ventral,5,2,3,0.34668597028952386
subj03,ventral,5,2,4,0.1954054288909506
subj03,ventral,5,2,5,0.2339927938243175
subj03,ventral,5,2,6,0.35013988482387776
subj03,ventral,5,3,4,0.16655049445318465
subj03,ventral,5,3,5,0.19814786307393992
subj03,ventral,5,3,6,0.3546635759447707
subj03,ventral,5,4,5,0.1541885040918563
subj03,ventral,5,4,6,0.19697393562059531
subj03,ventral,5,5,6,0.22954118485140942
subj04,ventral,0,0,1,0.10776862084259581
subj04,ventral,0,0,2,0.18822242619413831
subj04,ventral,0,0,3,0.18796772437842635
subj04,ventral,0,0,4,0.1788575618249873
subj04,ventral,0,0,5,0.035398239923201014
subj04,ventral,0,0,6,0.19474523788618928
subj04,ventral,0,1,2,0.18124520381548093
subj04,ventral,0,1,3,0.2691375779221208
subj04,ventral,0,1,4,0.16724173506001716
subj04,ventral,0,1,5,0.021640009127179814
subj04,ventral,0,1,6,0.2564015145274486
subj04,ventral,0,2,3,0.24314828863360038
subj04,ventral,0,2,4,0.24410008655097276
subj04,ventral,0,2,5,0.060755077185041875
subj04,ventral,0,2,6,0.2598943793905934
subj04,ventral,0,3,4,0.2250124443449839
subj04,ventral,0,3,5,0.05704818901304682
subj04,ventral,0,3,6,0.30594443451247144
subj04,ventral,0,4,5,0.07809127250995637
subj04,ventral,0,4,6,0.26571770241819126
subj04,ventral,0,5,6,0.058411683632472795
subj04,ventral,1,0,1,0.05771568279850686
subj04,ventral,1,0,2,0.08554526302896011
subj04,ventral,1,0,3,0.1469692262612216
subj04,ventral,1,0,4,0.09478249755202586
subj04,ventral,1,0,5,0.10644437879765496
subj04,ventral,1,0,6,0.14630466879992698
subj04,ventral,1,1,2,0.12205003032673781
subj04,ventral,1,1,3,0.3008828367247572
subj04,ventral,1,1,4,0.22891094065605233
subj04,ventral,1,1,5,0.1534422668939007
subj04,ventral,1,1,6,0.27470616874375753
subj04,ventral,1,2,3,0.16324766787800898
subj04,ventral,1,2,4,0.15375930059448734
subj04,ventral,1,2,5,0.13637149997339765
subj04,ventral,1,2,6,0.19295597558044295
subj04,ventral,1,3,4,0.28432786337487564
subj04,ventral,1,3,5,0.2250316192098013
subj04,ventral,1,3,6,0.40625298903672524
subj04,ventral,1,4,5,0.23790021636935216
subj04,ventral,1,4,6,0.309758074407791
subj04,ventral,1,5,6,0.2579772045056121
subj04,ventral,2,0,1,0.04157338974782129
subj04,ventral,2,0,2,0.10141951214190704
subj04,ventral,2,0,3,0.03379360325368953
subj04,ventral,2,0,4,0.035531036708894084
subj04,ventral,2,0,5,0.053597995673534835
subj04,ventral,2,0,6,0.10685078957756043
subj04,ventral,2,1,2,0.173090677878263
subj04,ventral,2,1,3,0.267344983591081
subj04,ventral,2,1,4,0.050992349813690226
subj04,ventral,2,1,5,0.14492224216053223
subj04,ventral,2,1,6,0.2976920422707363
subj04,ventral,2,2,3,0.09379591920002794
subj04,ventral,2,2,4,0.10946217319423673
subj04,ventral,2,2,5,0.17771910905688726
subj04,ventral,2,2,6,0.29975687135425033
subj04,ventral,2,3,4,0.04412242793901468
subj04,ventral,2,3,5,0.09036526745975085
subj04,ventral,2,3,6,0.21888284954524442
subj04,ventral,2,4,5,0.07397926977003144
subj04,ventral,2,4,6,0.0835589604753633
subj04,ventral,2,5,6,0.19856975754245842
subj04,ventral,3,0,1,0.024027430765349272
subj04,ventral,3,0,2,0.027497306679516803
subj04,ventral,3,0,3,0.04535751590973303
subj04,ventral,3,0,4,0.02557548095241725
subj04,ventral,3,0,5,0.024413772954958127
subj04,ventral,3,0,6,0.04225183435875756
subj04,ventral,3,1,2,0.15658392411865885
subj04,ventral,3,1,3,0.33205548256257345
subj04,ventral,3,1,4,0.1681314201441744
subj04,ventral,3,1,5,0.10022210827497886
subj04,ventral,3,1,6,0.29910924523225785
subj04,ventral,3,2,3,0.16866451623465
subj04,ventral,3,2,4,0.13698153399956586
subj04,ventral,3,2,5,0.08147290345976319
subj04,ventral,3,2,6,0.18435191480494714
subj04,ventral,3,3,4,0.1699517659180168
subj04,ventral,3,3,5,0.1073773059802326
subj04,ventral,3,3,6,0.31197107337700614
subj04,ventral,3,4,5,0.12434234530963578
subj04,ventral,3,4,6,0.26991376230687525
subj04,ventral,3,5,6,0.1476577983057571
subj04,ventral,4,0,1,0.09148932483606596
subj04,ventral,4,0,2,0.14388753918204844
subj04,ventral,4,0,3,0.1504815950515601
subj04,ventral,4,0,4,0.08072534031672596
subj04,ventral,4,0,5,0.11753070470872394
subj04,ventral,4,0,6,0.2203543234680192
subj04,ventral,4,1,2,0.14095206931245102
subj04,ventral,4,1,3,0.2749063478129532
subj04,ventral,4,1,4,0.10984937500634218
subj04,ventral,4,1,5,0.11845818019589974
subj04,ventral,4,1,6,0.2449894242164921
subj04,ventral,4,2,3,0.15543040920644044
subj04,ventral,4,2,4,0.10496145080748116
