subject,roi,M,T,N_TRIALS,q,R_COMP,TOTAL_RECOVERY,FULL_CAPACITY_FRACTION
subj06,ventral,10,2,20,6,0.48449052779077817,0.7426546329760233,0.7638945552301295
subj06,ventral,10,4,40,6,0.5681487084858178,0.8880501852453222,0.9134484202455799
subj06,ventral,10,8,80,6,0.6165643602368053,0.972195218837121,1.0
subj07,ventral,2,1,2,2,0.3263889874507676,0.3866090590814964,0.3907708092756406
subj07,ventral,2,2,4,2,0.4280193389974709,0.5320867683332104,0.5378145498204661
subj07,ventral,2,4,8,2,0.5294056380745659,0.6772151312166841,0.6845051833704395
subj07,ventral,2,8,16,2,0.614710878558968,0.7993244301020126,0.8079289584337194
subj07,ventral,4,1,4,4,0.44436057436042625,0.5554782596619932,0.5614578447252182
subj07,ventral,4,2,8,4,0.5410171931363867,0.6938363708910109,0.7013053465485402
subj07,ventral,4,4,16,4,0.6238729298319649,0.8124393530650589,0.8211850602747707
subj07,ventral,4,8,32,4,0.68671354988434,0.9023919047786656,0.9121059287951466
subj07,ventral,6,1,6,6,0.5112952580998721,0.6512912162414827,0.6583022039096894
subj07,ventral,6,2,12,6,0.5983805817567431,0.7759485966621712,0.7843014899711818
subj07,ventral,6,4,24,6,0.6698593820046139,0.8782661815358447,0.8877204981527417
subj07,ventral,6,8,48,6,0.7211830306242512,0.9517328843268272,0.9619780516944281
subj07,ventral,8,1,8,6,0.5413874938935703,0.69436643405688,0.7018411157123202
subj07,ventral,8,2,16,6,0.6241100495428997,0.812778775608032,0.8215281366168489
subj07,ventral,8,4,32,6,0.6912878884181978,0.9089397940766936,0.9187243044900067
subj07,ventral,8,8,64,6,0.7365288883143178,0.9736995526427169,0.9841811857215599
subj07,ventral,10,1,10,6,0.5621150970334101,0.724036745899468,0.7318308210692882
subj07,ventral,10,2,20,6,0.641499095845633,0.8376701450040251,0.8466874554024978
subj07,ventral,10,4,40,6,0.7054721695212082,0.9292437356733146,0.9392468129590191
subj07,ventral,10,8,80,6,0.7474621759259401,0.9893498934328698,0.999999998530906
subj08,ventral,2,1,2,2,0.17766155542421558,0.1790388325496044,0.2891262388080348
subj08,ventral,2,2,4,2,0.20899492658373695,0.2317940032330718,0.3743195114639033
subj08,ventral,2,4,8,2,0.2603707907491345,0.31829419082085336,0.5140069386957338
subj08,ventral,2,8,16,2,0.3239989672398735,0.42542327354729687,0.6870075571345845
subj08,ventral,4,1,4,4,0.22868699356601466,0.2649490170830467,0.4278608818781437
subj08,ventral,4,2,8,4,0.269516438250408,0.33369247632560023,0.5388733227571146
subj08,ventral,4,4,16,4,0.3287989408345372,0.4335048625015602,0.700058353906795
subj08,ventral,4,8,32,4,0.39844995364594576,0.5507744359041549,0.8894346484328501
subj08,ventral,6,1,6,6,0.26372774481231126,0.32394620584591505,0.5231342650003767
subj08,ventral,6,2,12,6,0.3113866637564417,0.4041882707896077,0.6527155748256188
subj08,ventral,6,4,24,6,0.37149399252830617,0.5053893950651687,0.8161432514266195
subj08,ventral,6,8,48,6,0.4323092245799103,0.6077823974236822,0.9814956681654688
subj08,ventral,8,1,8,6,0.2770006034183838,0.34629336784313636,0.5592222510773656
subj08,ventral,8,2,16,6,0.3294910915643612,0.4346702184316531,0.7019402639491154
subj08,ventral,8,4,32,6,0.3902132151372826,0.5369064565001075,0.8670395251634408
subj08,ventral,8,8,64,6,0.44042688791928636,0.6214498931055051,1.0
subj08,ventral,10,1,10,6,0.29018198958043256,0.36848652009870747,0.5950615298951021
subj08,ventral,10,2,20,6,0.34314808109787354,0.4576641315409305,0.7390726754940924
subj08,ventral,10,4,40,6,0.40167511751193696,0.5562045592498458,0.8982036462912804
subj08,ventral,10,8,80,6,0.4391149637006861,0.619241040897306,1.0
subj01,lateral,2,1,2,2,0.30068036975768386,0.28404928031017374,0.2836899981102209
subj01,lateral,2,2,4,2,0.4012048463370548,0.44746618888605016,0.44690020738955794
subj01,lateral,2,4,8,2,0.5094717935515896,0.6234695904136106,0.6226809894856207
subj01,lateral,2,8,16,2,0.6045538184993036,0.7780390157596999,0.7770549063511986
subj01,lateral,4,1,4,4,0.4116408984184297,0.46443148357752334,0.4638440433806502
subj01,lateral,4,2,8,4,0.5165107258675657,0.6349123812431996,0.6341093068018167
subj01,lateral,4,4,16,4,0.6126804483883023,0.7912500145014035,0.7902491950463698
subj01,lateral,4,8,32,4,0.6839714082987852,0.9071436622418052,0.9059962536995705
subj01,lateral,6,1,6,6,0.4755368605087235,0.5683035051048654,0.567584681479148
subj01,lateral,6,2,12,6,0.5754707421255473,0.7307603171322785,0.7298360085964821
subj01,lateral,6,4,24,6,0.6603610543774859,0.868761656391174,0.8676627956624933
subj01,lateral,6,8,48,6,0.7177656042711624,0.9620809593214154,0.9608640628616874
subj01,lateral,8,1,8,6,0.508210969901103,0.6214199413108951,0.6206339328993795
subj01,lateral,8,2,16,6,0.6048794011766042,0.7785682969499215,0.7775835180755084
subj01,lateral,8,4,32,6,0.6827679798768768,0.9051873172888887,0.9040423832465639
subj01,lateral,8,8,64,6,0.7327213220920457,0.9863936168450997,0.9851459683092804
subj01,lateral,10,1,10,6,0.5305382012114236,0.6577160479104678,0.6568841300531878
subj01,lateral,10,2,20,6,0.6248700002798989,0.8110658738307197,0.8100399901138577
subj01,lateral,10,4,40,6,0.6973156010306387,0.9288365553349455,0.9276617083484192
subj01,lateral,10,8,80,6,0.7418702217899872,1.0,1.0
subj02,lateral,2,1,2,2,0.248553573923285,0.2165481902822188,0.2404207447987195
subj02,lateral,2,2,4,2,0.32939848933625315,0.3482808255756612,0.386675757367846
subj02,lateral,2,4,8,2,0.41510377188413344,0.48793317935609837,0.541723568504155
subj02,lateral,2,8,16,2,0.49058172933930416,0.6109206324488013,0.6782693185975152
subj02,lateral,4,1,4,4,0.349526987393344,0.381079178817975,0.42308984378626324
subj02,lateral,4,2,8,4,0.44148412284670335,0.5309186056443642,0.5894477641681626
subj02,lateral,4,4,16,4,0.5252945831720286,0.6674834439822445,0.7410676881385263
subj02,lateral,4,8,32,4,0.5889704245028087,0.7712399553247651,0.8562624524179021
subj02,lateral,6,1,6,6,0.4146245497157553,0.4871523114584821,0.5408566167125485
subj02,lateral,6,2,12,6,0.5032825833046539,0.6316160213274483,0.7012461940986169
subj02,lateral,6,4,24,6,0.5787021641433668,0.7545083527234284,0.8376863361555263
subj02,lateral,6,8,48,6,0.6367922306837704,0.8491631310808474,0.9427759805519543
subj02,lateral,8,1,8,6,0.44005597608969893,0.5285915138919026,0.5868641307902404
subj02,lateral,8,2,16,6,0.529445897924532,0.6742477980481292,0.7485777534061361
subj02,lateral,8,4,32,6,0.6008422637078338,0.7905845072519863,0.8777395729428012
subj02,lateral,8,8,64,6,0.6554262611517891,0.8795263261828692,0.9764864538252852
subj02,lateral,10,1,10,6,0.45857929502923467,0.558774310247387,0.6203743179242747
subj02,lateral,10,2,20,6,0.5476106104003177,0.7038462635986179,0.7814391923462336
subj02,lateral,10,4,40,6,0.616061415560593,0.8153833331305703,0.9052722536827912
subj02,lateral,10,8,80,6,0.6684237689703982,0.9007050972712715,1.0
subj03,lateral,2,1,2,2,0.2783389437487985,0.2268463656249303,0.22892966859044328
subj03,lateral,2,2,4,2,0.3609382503916693,0.3763970634326676,0.3798538043696424
subj03,lateral,2,4,8,2,0.4568566882146442,0.5500627985589327,0.5551144442236066
subj03,lateral,2,8,16,2,0.5466211034969323,0.7125863291959584,0.7191305522374352
subj03,lateral,4,1,4,4,0.3856670262873145,0.42116990525704967,0.425037829304189
subj03,lateral,4,2,8,4,0.4773181480433165,0.587109424250034,0.5925012972970239
subj03,lateral,4,4,16,4,0.5655765033198562,0.7469061484046056,0.7537655564874485
subj03,lateral,4,8,32,4,0.6323243988127256,0.8677569733554238,0.8757262466164508
subj03,lateral,6,1,6,6,0.44503922207032565,0.528666610382156,0.5335217585532219
subj03,lateral,6,2,12,6,0.5360273840235659,0.6934058033052111,0.6997738769675333
subj03,lateral,6,4,24,6,0.6163343470313396,0.8388060838252327,0.8465094790156706
subj03,lateral,6,8,48,6,0.6727011071827582,0.9408612784318037,0.9495019242102516
subj03,lateral,8,1,8,6,0.4694965714203305,0.5729480191551741,0.578209837232367
subj03,lateral,8,2,16,6,0.5637670325770181,0.743629999690378,0.7504593204041198
subj03,lateral,8,4,32,6,0.6395630600295665,0.8808629772696321,0.8889526129475102
subj03,lateral,8,8,64,6,0.6898138555147119,0.9718448733125331,0.9807700650431256
subj03,lateral,10,1,10,6,0.4871114670328744,0.6048407799752644,0.6103954935679391
subj03,lateral,10,2,20,6,0.5836178497438057,0.7795710224423302,0.7867304169444549
subj03,lateral,10,4,40,6,0.6547863163647416,0.9084255404479756,0.9167683041380587
subj03,lateral,10,8,80,6,0.700338214351434,0.9908998178632894,1.0
